metr_id,release_date,p50_min,p50_lo,p50_hi,p80_min
gpt2,2019-02-14,0.053778,0.009994,0.141825,0.0128
davinci_002,2020-05-28,0.144057,0.093319,0.221209,0.056238
gpt_3_5_turbo_instruct,2022-03-15,0.599247,0.255148,1.115905,0.25538
gpt_4,2023-03-14,3.987428,1.93292,7.995283,0.889561
gpt_4_1106_inspect,2023-11-06,4.044959,1.866859,8.443226,0.783032
claude_3_opus_inspect,2024-03-04,3.952262,1.706313,8.76484,0.638973
gpt_4_turbo_inspect,2024-04-09,3.732787,1.980046,6.736613,0.927933
gpt_4o_inspect,2024-05-13,6.991195,4.001482,12.905741,1.267009
claude_3_5_sonnet_20240620_inspect,2024-06-20,11.395377,5.489734,22.384214,1.671757
o1_preview,2024-09-12,20.326586,11.716193,33.379877,4.420545
claude_3_5_sonnet_20241022_inspect,2024-10-22,20.522872,10.144026,40.82028,2.595677
o1_inspect,2024-12-05,38.831588,21.164512,64.95249,7.090121
claude_3_7_sonnet_inspect,2025-02-24,60.388937,33.006168,104.226017,12.09179
o3_inspect,2025-04-16,119.732634,74.615398,190.943818,29.981603
claude_4_opus_inspect,2025-05-22,100.366123,59.994073,163.454074,20.429752
claude_4_1_opus_inspect,2025-08-05,100.472004,59.272391,159.451918,23.455761
gpt_5_2025_08_07_inspect,2025-08-07,203.012577,112.641357,405.551565,38.312431
gemini_3_pro,2025-11-18,224.325884,139.565157,379.235434,54.142849
gpt_5_1_codex_max_inspect,2025-11-19,223.714694,134.31077,396.206723,50.632499
claude_opus_4_5_inspect,2025-11-24,292.994594,161.717714,623.704698,49.430584
gpt_5_2,2025-12-11,352.249302,198.067494,815.177445,66.002649
gpt_5_3_codex,2026-02-05,349.530732,194.913134,816.351994,54.739407
claude_opus_4_6_inspect,2026-02-05,718.80683,316.685725,3633.786163,69.874587
gemini_3_1_pro,2026-02-19,384.147435,233.50073,694.750898,89.801503
gpt_5_4,2026-03-05,341.735276,186.581591,768.779526,53.877851
claude_mythos_preview_early_inspect,2026-04-07,1044.780145,508.876789,3304.261235,185.911829
