task,subtask,n,no_cot,filler300,filler1000,win/lose@1000,reasoning_low
olympiad,usamo,43,0.6046511627906976,0.627906976744186,0.627906976744186,1/0,0.627906976744186
olympiad,imo,29,0.5862068965517241,0.6551724137931034,0.6551724137931034,2/0,0.6896551724137931
math_comp,amc_12a_2023,25,0.84,0.96,1.0,4/0,1.0
math_comp,amc_12b_2023,25,0.8,1.0,1.0,5/0,1.0
math_comp,updated_amc_12a_2023,25,0.84,0.96,1.0,4/0,1.0
math_comp,updated_amc_12b_2023,25,0.8,0.96,0.96,4/0,0.96
math_comp,smc,17,0.9411764705882353,0.9411764705882353,0.9411764705882353,0/0,1.0
math_comp,aime_ii_2024,15,0.6,0.8666666666666667,0.8,4/1,1.0
math_comp,aime_i_2024,14,0.5714285714285714,0.7142857142857143,0.7857142857142857,3/0,1.0
AMPS_Hard,amps_hard_characteristic_polynomial,20,0.15,0.4,0.4,5/0,0.9
AMPS_Hard,amps_hard_gcd,20,0.9,0.95,0.95,1/0,1.0
AMPS_Hard,amps_hard_geometric_mean,20,0.4,0.5,0.5,2/0,0.5
AMPS_Hard,amps_hard_std,20,0.2,0.2,0.2,0/0,1.0
AMPS_Hard,amps_hard_variance,20,0.2,0.2,0.25,1/0,1.0
AMPS_Hard,amps_hard_complete_square,10,1.0,1.0,1.0,0/0,1.0
AMPS_Hard,amps_hard_derivatives,10,0.8,0.8,0.7,0/1,0.9
AMPS_Hard,amps_hard_determinant,10,0.5,0.7,0.6,1/0,0.9
AMPS_Hard,amps_hard_factor_polynomials,10,0.8,0.9,0.9,1/0,0.9
AMPS_Hard,amps_hard_integral,10,0.8,0.8,0.8,0/0,0.8
