split,k,n,base,filler,gain,win,lose,p
family AIME,300,88,0.3068181818181818,0.6704545454545454,0.3636363636363636,32,0,4.656612873077393e-10
family AIME,1000,88,0.3068181818181818,0.7727272727272727,0.4659090909090909,41,0,9.094947017729282e-13
family BRUMO,300,16,0.5,0.875,0.375,6,0,0.03125
family BRUMO,1000,16,0.5,0.875,0.375,6,0,0.03125
family CMIMC,300,16,0.125,0.3125,0.1875,3,0,0.25
family CMIMC,1000,16,0.125,0.4375,0.3125,5,0,0.0625
family HMMT,300,66,0.24242424242424243,0.6212121212121212,0.3787878787878788,25,0,5.960464477539063e-08
family HMMT,1000,66,0.24242424242424243,0.696969696969697,0.4545454545454546,30,0,1.862645149230957e-09
family SMT,300,28,0.32142857142857145,0.6785714285714286,0.35714285714285715,10,0,0.001953125
family SMT,1000,28,0.32142857142857145,0.8214285714285714,0.49999999999999994,14,0,0.0001220703125
  aime_2024_I,300,15,0.5333333333333333,0.6666666666666666,0.1333333333333333,2,0,0.5
  aime_2024_I,1000,15,0.5333333333333333,0.7333333333333333,0.19999999999999996,3,0,0.25
  aime_2024_II,300,14,0.42857142857142855,0.9285714285714286,0.5,7,0,0.015625
  aime_2024_II,1000,14,0.42857142857142855,0.9285714285714286,0.5,7,0,0.015625
  aime_2025_I,300,15,0.06666666666666667,0.4,0.33333333333333337,5,0,0.0625
  aime_2025_I,1000,15,0.06666666666666667,0.7333333333333333,0.6666666666666666,10,0,0.001953125
  aime_2025_II,300,15,0.26666666666666666,0.6666666666666666,0.39999999999999997,6,0,0.03125
  aime_2025_II,1000,15,0.26666666666666666,0.6666666666666666,0.39999999999999997,6,0,0.03125
  aime_2026,300,29,0.27586206896551724,0.6896551724137931,0.4137931034482759,12,0,0.00048828125
  aime_2026,1000,29,0.27586206896551724,0.7931034482758621,0.5172413793103449,15,0,6.103515625e-05
  brumo_2025,300,16,0.5,0.875,0.375,6,0,0.03125
  brumo_2025,1000,16,0.5,0.875,0.375,6,0,0.03125
  cmimc_2025,300,16,0.125,0.3125,0.1875,3,0,0.25
  cmimc_2025,1000,16,0.125,0.4375,0.3125,5,0,0.0625
  hmmt_feb_2024,300,17,0.11764705882352941,0.47058823529411764,0.3529411764705882,6,0,0.03125
  hmmt_feb_2024,1000,17,0.11764705882352941,0.5294117647058824,0.4117647058823529,7,0,0.015625
  hmmt_feb_2025,300,14,0.21428571428571427,0.8571428571428571,0.6428571428571428,9,0,0.00390625
  hmmt_feb_2025,1000,14,0.21428571428571427,0.9285714285714286,0.7142857142857143,10,0,0.001953125
  hmmt_feb_2026,300,15,0.2,0.4666666666666667,0.26666666666666666,4,0,0.125
  hmmt_feb_2026,1000,15,0.2,0.5333333333333333,0.3333333333333333,5,0,0.0625
  hmmt_nov_2025,300,20,0.4,0.7,0.29999999999999993,6,0,0.03125
  hmmt_nov_2025,1000,20,0.4,0.8,0.4,8,0,0.0078125
  smt_2025,300,28,0.32142857142857145,0.6785714285714286,0.35714285714285715,10,0,0.001953125
  smt_2025,1000,28,0.32142857142857145,0.8214285714285714,0.49999999999999994,14,0,0.0001220703125
contest position early,300,72,0.3194444444444444,0.75,0.4305555555555556,31,0,9.313225746154785e-10
contest position early,1000,70,0.32857142857142857,0.8428571428571429,0.5142857142857142,36,0,2.9103830456733704e-11
contest position middle,300,65,0.3230769230769231,0.6,0.2769230769230769,18,0,7.62939453125e-06
contest position middle,1000,67,0.3283582089552239,0.746268656716418,0.41791044776119407,28,0,7.450580596923828e-09
contest position late,300,68,0.22058823529411764,0.5588235294117647,0.3382352941176471,23,0,2.384185791015625e-07
contest position late,1000,70,0.22857142857142856,0.6428571428571429,0.41428571428571437,29,0,3.725290298461914e-09
