model,ops,height,n,no_filler,filler_1000
deepseek/deepseek-v3.2:off,5,3,26,0.2692307692307692,0.34615384615384615
deepseek/deepseek-v3.2:off,5,4,54,0.25925925925925924,0.25925925925925924
deepseek/deepseek-v3.2:off,5,5,20,0.3,0.1
deepseek/deepseek-v3.2:off,6,3,11,0.18181818181818182,0.2727272727272727
deepseek/deepseek-v3.2:off,6,4,51,0.0196078431372549,0.058823529411764705
deepseek/deepseek-v3.2:off,6,5,28,0.03571428571428571,0.0
deepseek/deepseek-v3.2:off,6,6,10,0.0,0.0
deepseek/deepseek-v3.2:off,7,4,37,0.08108108108108109,0.08108108108108109
deepseek/deepseek-v3.2:off,7,5,45,0.2,0.08888888888888889
deepseek/deepseek-v3.2:off,7,6,15,0.2,0.06666666666666667
deepseek/deepseek-v3.2:off,10,5,48,0.0625,0.10416666666666667
deepseek/deepseek-v3.2:off,10,6,29,0.0,0.0
deepseek/deepseek-v3.2:off,10,7,17,0.0,0.058823529411764705
deepseek/deepseek-v3.2:off,15,5,9,0.0,0.0
deepseek/deepseek-v3.2:off,15,6,25,0.0,0.0
deepseek/deepseek-v3.2:off,15,7,43,0.023255813953488372,0.0
deepseek/deepseek-v3.2:off,15,8,17,0.0,0.058823529411764705
deepseek/deepseek-v3.2:off,15,9,6,0.0,0.0
gpt-5.6-sol:none,5,3,26,0.7307692307692307,0.8846153846153846
gpt-5.6-sol:none,5,4,54,0.7222222222222222,0.8148148148148148
gpt-5.6-sol:none,5,5,20,0.7,0.85
gpt-5.6-sol:none,6,3,11,0.45454545454545453,0.5454545454545454
gpt-5.6-sol:none,6,4,51,0.5294117647058824,0.7058823529411765
gpt-5.6-sol:none,6,5,28,0.25,0.75
gpt-5.6-sol:none,6,6,10,0.1,0.4
gpt-5.6-sol:none,7,4,37,0.5135135135135135,0.5405405405405406
gpt-5.6-sol:none,7,5,45,0.37777777777777777,0.6666666666666666
gpt-5.6-sol:none,7,6,15,0.2,0.4666666666666667
gpt-5.6-sol:none,10,5,48,0.14583333333333334,0.3541666666666667
gpt-5.6-sol:none,10,6,29,0.2413793103448276,0.3103448275862069
gpt-5.6-sol:none,10,7,17,0.17647058823529413,0.29411764705882354
gpt-5.6-sol:none,15,5,9,0.2222222222222222,0.3333333333333333
gpt-5.6-sol:none,15,6,25,0.08,0.12
gpt-5.6-sol:none,15,7,43,0.023255813953488372,0.16279069767441862
gpt-5.6-sol:none,15,8,17,0.17647058823529413,0.29411764705882354
gpt-5.6-sol:none,15,9,6,0.0,0.0
gpt-6-astra:low,5,3,26,1.0,1.0
gpt-6-astra:low,5,4,54,0.9629629629629629,1.0
gpt-6-astra:low,5,5,20,0.95,1.0
gpt-6-astra:low,6,3,11,0.6363636363636364,1.0
gpt-6-astra:low,6,4,51,0.8235294117647058,1.0
gpt-6-astra:low,6,5,28,0.9285714285714286,1.0
gpt-6-astra:low,6,6,10,0.8,0.9
gpt-6-astra:low,7,4,37,0.918918918918919,1.0
gpt-6-astra:low,7,5,45,0.8666666666666667,1.0
gpt-6-astra:low,7,6,15,0.5333333333333333,1.0
gpt-6-astra:low,10,5,48,0.75,1.0
gpt-6-astra:low,10,6,29,0.6896551724137931,1.0
gpt-6-astra:low,10,7,17,0.5882352941176471,1.0
gpt-6-astra:low,15,5,9,0.6666666666666666,0.8888888888888888
gpt-6-astra:low,15,6,25,0.52,0.96
gpt-6-astra:low,15,7,43,0.5348837209302325,0.9302325581395349
gpt-6-astra:low,15,8,17,0.35294117647058826,0.8823529411764706
gpt-6-astra:low,15,9,6,0.3333333333333333,0.8333333333333334
