model_eff,task,depths,tau,p
gpt-6-astra:low,aime,None,0.2657759317215878,1.4635013625429209e-27
claude-opus-4-5-20251101:off,aime,None,-0.0038426027846948994,0.8748350988021689
claude-opus-5:off,aime,None,0.004442085191066042,0.8560015266796732
gpt-5.6-sol:none,aime,None,0.061511272698291986,0.011684455104972112
deepseek/deepseek-v3.2:off,aime,None,-0.021398889174731893,0.38037512575124655
gpt-6-astra:low,aimepp,AIME,0.15939417826583457,0.01002134971629309
claude-opus-4-5-20251101:off,aimepp,AIME,0.06221710168382551,0.31482557108199105
claude-opus-5:off,aimepp,AIME,-0.055631739790567174,0.3699667800136264
gpt-5.6-sol:none,aimepp,AIME,0.08417540226644035,0.1738630769648113
deepseek/deepseek-v3.2:off,aimepp,AIME,0.018122009407318743,0.7696979437812898
gpt-6-astra:low,aimepp,None,0.040311228579818704,0.16221471529994036
claude-opus-4-5-20251101:off,aimepp,None,0.025920889205435213,0.36726603824483717
claude-opus-5:off,aimepp,None,-0.021775270377445713,0.44928777984309254
gpt-5.6-sol:none,aimepp,None,0.04792584755729461,0.09551345188008548
deepseek/deepseek-v3.2:off,aimepp,None,0.007933959643670989,0.7825734705778226
gpt-6-astra:low,arith,"(15,)",0.2984676237991277,1.202025836433874e-16
claude-opus-4-5-20251101:off,arith,"(15,)",0.06116317487723923,0.08962736222111475
claude-opus-5:off,arith,"(15,)",0.026054463888493966,0.5262981801104231
gpt-5.6-sol:none,arith,"(15,)",0.07784989441615231,0.030738060364805007
deepseek/deepseek-v3.2:off,arith,"(15,)",0.030015011259383214,0.4048672779607112
