model_eff,task,depths,arm,k,filler_tokens,n,acc_k0,acc,paired_gain,gain_se,p_paired
gpt-6-astra:low,aime,None,CB,10.0,23,214,0.2897196261682243,0.37155963302752293,0.08878504672897196,0.02447871876047781,0.00028670002064812294
gpt-6-astra:low,aime,None,CB,30.0,63,214,0.2897196261682243,0.45871559633027525,0.17757009345794392,0.028587756214416126,5.251339363354646e-10
gpt-6-astra:low,aime,None,CB,100.0,203,214,0.2897196261682243,0.5412844036697247,0.2616822429906542,0.03154073567537769,0.0
gpt-6-astra:low,aime,None,CB,300.0,603,214,0.2897196261682243,0.6422018348623854,0.35514018691588783,0.032790101746569864,0.0
gpt-6-astra:low,aime,None,CB,1000.0,2004,214,0.2897196261682243,0.7293577981651376,0.4485981308411215,0.03407791733638943,0.0
gpt-6-astra:low,aime,None,XB,4.0,4,212,0.2897196261682243,0.3101851851851852,0.02358490566037736,0.016970074991661564,0.1645914896911327
gpt-6-astra:low,aime,None,XB,16.0,16,213,0.2897196261682243,0.35023041474654376,0.06572769953051644,0.020555560135822225,0.0013859411042176362
gpt-6-astra:low,aime,None,XB,64.0,64,213,0.2897196261682243,0.43317972350230416,0.15023474178403756,0.026282536607223198,1.0896894719891748e-08
gpt-6-astra:low,aime,None,XB,256.0,256,214,0.2897196261682243,0.5825688073394495,0.29906542056074764,0.03137126573071734,0.0
gpt-6-astra:low,aime,None,XB,300.0,300,213,0.2897196261682243,0.5852534562211982,0.3004694835680751,0.03148731198588204,0.0
gpt-6-astra:low,aime,None,XB,1024.0,1024,214,0.2897196261682243,0.6788990825688074,0.397196261682243,0.034175546935766334,0.0
gpt-6-astra:low,aime,None,XB,4096.0,4096,214,0.2897196261682243,0.7064220183486238,0.4252336448598131,0.034515818414250526,0.0
gpt-6-astra:low,aime,None,XB,8192.0,8192,214,0.2897196261682243,0.7339449541284404,0.4485981308411215,0.034715722935937464,0.0
gpt-6-astra:low,aime,None,XB,16384.0,16384,214,0.2897196261682243,0.7064220183486238,0.4252336448598131,0.034515818414250526,0.0
gpt-6-astra:low,aime,None,RB,1.0,115,211,0.2897196261682243,0.4604651162790698,0.17535545023696683,0.027908290480200413,3.31514815599121e-10
gpt-6-astra:low,aime,None,RB,5.0,577,213,0.2897196261682243,0.6175115207373272,0.3333333333333333,0.03305312287815935,0.0
claude-opus-4-5-20251101:off,aime,None,CB,10.0,23,218,0.30275229357798167,0.3165137614678899,0.013761467889908258,0.01522024748913839,0.3659130428814197
claude-opus-4-5-20251101:off,aime,None,CB,30.0,63,218,0.30275229357798167,0.3073394495412844,0.0045871559633027525,0.01657436607250935,0.781962802993166
claude-opus-4-5-20251101:off,aime,None,CB,100.0,203,218,0.30275229357798167,0.3302752293577982,0.027522935779816515,0.01829570010913573,0.13249409399135037
claude-opus-4-5-20251101:off,aime,None,CB,300.0,603,218,0.30275229357798167,0.30275229357798167,0.0,0.017203067924632876,1.0
claude-opus-4-5-20251101:off,aime,None,CB,1000.0,2004,218,0.30275229357798167,0.2981651376146789,-0.0045871559633027525,0.018954299802336254,0.8087713571448369
claude-opus-4-5-20251101:off,aime,None,XB,300.0,300,218,0.30275229357798167,0.3165137614678899,0.013761467889908258,0.0189338252624124,0.46733671452106385
claude-opus-4-5-20251101:off,aime,None,RB,1.0,115,218,0.30275229357798167,0.30275229357798167,0.0,0.015926946062377587,1.0
claude-opus-4-5-20251101:off,aime,None,RB,5.0,575,218,0.30275229357798167,0.3211009174311927,0.01834862385321101,0.018348623853211007,0.3173105078629139
claude-opus-5:off,aime,None,CB,10.0,23,217,0.45622119815668205,0.46543778801843316,0.009216589861751152,0.009216589861751154,0.31731050786291415
claude-opus-5:off,aime,None,CB,30.0,63,217,0.45622119815668205,0.4608294930875576,0.004608294930875576,0.012216569677870095,0.7060125200557188
claude-opus-5:off,aime,None,CB,100.0,203,217,0.45622119815668205,0.48847926267281105,0.03225806451612903,0.01891751479970422,0.08815793541979455
claude-opus-5:off,aime,None,CB,300.0,603,215,0.45622119815668205,0.48148148148148145,0.027906976744186046,0.01855023557048223,0.1324783716590301
claude-opus-5:off,aime,None,CB,1000.0,2004,214,0.45622119815668205,0.4511627906976744,0.0,0.022946102670122332,1.0
claude-opus-5:off,aime,None,XB,300.0,300,217,0.45622119815668205,0.48847926267281105,0.03225806451612903,0.017753956423538976,0.0692246541609014
