hops,model,filler,n,no filler,with filler,gain,win/lose,p,tau (3 doses),tau p
2,gpt-6-astra,count 300,150,0.8066666666666666,0.92,0.1133333333333334,20/3,0.00048828125,,
2,gpt-6-astra,count 1000,150,0.8066666666666666,0.9466666666666667,0.14,22/1,5.7220458984375e-06,0.17298897951146758,0.00010110489285138815
2,gpt-5.6-sol,count 300,150,0.19333333333333333,0.36,0.16666666666666666,27/2,1.6242265701293945e-06,,
2,gpt-5.6-sol,count 1000,150,0.19333333333333333,0.3333333333333333,0.13999999999999999,23/2,1.9431114196777344e-05,0.118095462529113,0.0079498135524592
2,claude-opus-5,count 300,120,0.15833333333333333,0.18333333333333332,0.024999999999999994,4/1,0.375,,
2,claude-opus-5,count 1000,125,0.152,0.176,0.023999999999999994,4/1,0.375,0.026020582241492417,0.5800264242510381
2,claude-opus-4.5,count 300,149,0.11409395973154363,0.20134228187919462,0.08724832214765099,15/2,0.002349853515625,,
2,claude-opus-4.5,count 1000,149,0.11409395973154363,0.2080536912751678,0.09395973154362416,17/3,0.0025768280029296875,0.09962001794187089,0.025321493285766956
2,deepseek-v3.2,count 300,150,0.02666666666666667,0.04,0.013333333333333332,6/4,0.75390625,,
2,deepseek-v3.2,count 1000,149,0.026845637583892617,0.040268456375838924,0.013422818791946307,5/3,0.7265625,0.028271005753311113,0.5256357633921187
3,gpt-6-astra,count 300,150,0.5,0.7733333333333333,0.2733333333333333,42/1,1.000444171950221e-11,,
3,gpt-6-astra,count 1000,150,0.5,0.7466666666666667,0.2466666666666667,38/1,1.4551915228366852e-10,0.20243756777135968,5.3701643801003825e-06
3,gpt-5.6-sol,count 300,150,0.05333333333333334,0.1,0.04666666666666667,11/4,0.11846923828124999,,
3,gpt-5.6-sol,count 1000,150,0.05333333333333334,0.08,0.026666666666666665,9/5,0.4239501953125,0.038324040381224285,0.38905506484717556
3,claude-opus-5,count 300,137,0.0364963503649635,0.0364963503649635,0.0,2/2,1.0,,
3,claude-opus-5,count 1000,138,0.036231884057971016,0.050724637681159424,0.014492753623188408,5/3,0.7265625,0.02416811580271732,0.59632525595105
3,claude-opus-4.5,count 300,150,0.02,0.04,0.02,6/3,0.5078125,,
3,claude-opus-4.5,count 1000,150,0.02,0.04,0.02,6/3,0.5078125,0.04288450139351179,0.3351318791170461
3,deepseek-v3.2,count 300,150,0.02,0.02,0.0,3/3,1.0,,
3,deepseek-v3.2,count 1000,150,0.02,0.02,0.0,3/3,1.0,0.0,1.0
