dataset,model,n calls,doses,acc at 0,acc at max,tau,p
Gen-Arithmetic 15 ops,gpt-6-astra,900,9,0.5,0.91,0.2791546957178694,2.3579861541429316e-22
Gen-Arithmetic 15 ops,gpt-5.6-sol,700,7,0.08,0.17,0.10012523486435178,0.002423632998980294
Gen-Arithmetic 15 ops,claude-opus-5,573,6,0.17,0.18,0.020654993041790415,0.5756391928494339
Gen-Arithmetic 15 ops,claude-opus-4.5,699,7,0.05,0.14,0.061693776695867675,0.061857095547815634
Gen-Arithmetic 15 ops,deepseek-v3.2,700,7,0.01,0.01,0.03444446313176675,0.29681108782316157
"n-hop, 2 hops",gpt-6-astra,1350,9,0.8066666666666666,0.94,0.13904281271424182,2.9628594232353546e-09
"n-hop, 2 hops",gpt-5.6-sol,1050,7,0.19333333333333333,0.32666666666666666,0.13272131604093756,8.449820434312361e-07
"n-hop, 2 hops",claude-opus-5,1049,7,0.12666666666666668,0.14,0.009401762100891173,0.72732208918531
"n-hop, 2 hops",claude-opus-4.5,1050,7,0.11333333333333333,0.13333333333333333,0.013702912906778926,0.6111361161054467
"n-hop, 2 hops",deepseek-v3.2,1050,7,0.02666666666666667,0.03333333333333333,-0.010989614830591193,0.6834393690647436
"n-hop, 3 hops",gpt-6-astra,1350,9,0.5,0.7533333333333333,0.18091569101409335,1.1581499892941233e-14
"n-hop, 3 hops",gpt-5.6-sol,450,3,0.05333333333333334,0.08,0.038324040381224285,0.38905506484717556
"n-hop, 3 hops",claude-opus-5,448,3,0.03355704697986577,0.04697986577181208,0.026279336679638,0.5556530273801791
"n-hop, 3 hops",claude-opus-4.5,450,3,0.02,0.04,0.04288450139351179,0.3351318791170461
"n-hop, 3 hops",deepseek-v3.2,450,3,0.02,0.02,0.0,1.0
"n-hop, 4 hops",gpt-6-astra,1350,9,0.08,0.44,0.28506608827075497,4.764143128989931e-34
"n-hop, 4 hops",gpt-5.6-sol,1050,7,0.04,0.02,-0.0026260358420506173,0.922376842497905
"n-hop, 4 hops",claude-opus-5,1050,7,0.02666666666666667,0.05333333333333334,0.03115776729480644,0.24763118875552514
"n-hop, 4 hops",claude-opus-4.5,1048,7,0.013422818791946308,0.013333333333333334,0.01129263780594184,0.6754951271696652
"n-hop, 4 hops",deepseek-v3.2,1050,7,0.02,0.013333333333333334,0.021827915063488183,0.4179780828148054
"n-hop, 2-7 hops pooled",gpt-6-astra,8096,9,0.2477777777777778,0.41888888888888887,0.12616535589858247,1.0137905015614826e-39
"n-hop, 2-7 hops pooled",gpt-5.6-sol,2700,3,0.06777777777777778,0.09,0.030519878042322694,0.0926180333842102
"n-hop, 2-7 hops pooled",claude-opus-5,2698,3,0.047830923248053395,0.05339265850945495,0.009649517356676287,0.5950561898022579
"n-hop, 2-7 hops pooled",claude-opus-4.5,2698,3,0.044543429844097995,0.057777777777777775,0.022877947771056114,0.20760319478326517
"n-hop, 2-7 hops pooled",deepseek-v3.2,2699,3,0.023333333333333334,0.026696329254727477,0.00831793961263322,0.6467648706546252
"AIME-Plus-Plus, AIME tier",gpt-6-astra,306,9,0.6470588235294118,0.8823529411764706,0.21635060763573785,1.1329585852471403e-05
"AIME-Plus-Plus, AIME tier",gpt-5.6-sol,238,7,0.2647058823529412,0.23529411764705882,0.012740576553225485,0.8222087043722065
"AIME-Plus-Plus, AIME tier",claude-opus-5,233,7,0.3235294117647059,0.20689655172413793,-0.04122745639275449,0.47194969825434185
"AIME-Plus-Plus, AIME tier",claude-opus-4.5,237,7,0.20588235294117646,0.29411764705882354,0.06831674341841054,0.22922851087450835
"AIME-Plus-Plus, AIME tier",deepseek-v3.2,238,7,0.058823529411764705,0.08823529411764706,0.03653920476209348,0.5192897384655031
AIME/HMMT 2024-26,gpt-6-astra,1954,9,0.2897196261682243,0.7064220183486238,0.28883296339948017,9.264530726739622e-50
AIME/HMMT 2024-26,gpt-5.6-sol,1306,6,0.08796296296296297,0.15137614678899083,0.06091595798982042,0.012588020997189439
AIME/HMMT 2024-26,claude-opus-5,1303,6,0.4541284403669725,0.44907407407407407,0.004410216248995568,0.8568056718513617
AIME/HMMT 2024-26,claude-opus-4.5,1307,6,0.30275229357798167,0.2981651376146789,-0.00370843702876473,0.87921700133463
AIME/HMMT 2024-26,deepseek-v3.2,1307,6,0.03225806451612903,0.01834862385321101,-0.021573972038971333,0.37667248201018033
