model,hops,n,no_filler,count_300,count_1000,gain,win,lose,p
claude-opus-4-5-20251101:off,2,150,0.11333333333333333,0.20666666666666667,0.21333333333333335,0.10000000000000002,18,3,0.0014896392822265625
claude-opus-4-5-20251101:off,3,150,0.02,0.04,0.04,0.02,6,3,0.5078125
claude-opus-4-5-20251101:off,4,149,0.013422818791946308,0.013333333333333334,0.02,0.006711409395973153,3,2,1.0
claude-opus-4-5-20251101:off,5,150,0.02666666666666667,0.013333333333333334,0.02666666666666667,0.0,2,2,1.0
claude-opus-4-5-20251101:off,6,150,0.013333333333333334,0.006666666666666667,0.006666666666666667,-0.006666666666666667,1,2,1.0
claude-opus-4-5-20251101:off,7,149,0.08053691275167785,0.04666666666666667,0.04,-0.040268456375838924,4,10,0.1795654296875
claude-opus-5:off,2,150,0.12666666666666668,0.14666666666666667,0.14666666666666667,0.01999999999999999,4,1,0.375
claude-opus-5:off,3,149,0.03355704697986577,0.04,0.04697986577181208,0.013513513513513514,5,3,0.7265625
claude-opus-5:off,4,150,0.02666666666666667,0.04,0.04,0.013333333333333332,4,2,0.6875
claude-opus-5:off,5,150,0.04666666666666667,0.06,0.03333333333333333,-0.013333333333333336,4,6,0.75390625
claude-opus-5:off,6,150,0.02666666666666667,0.006666666666666667,0.02,-0.006666666666666668,3,4,1.0
claude-opus-5:off,7,150,0.02666666666666667,0.03333333333333333,0.03333333333333333,0.0066666666666666645,5,4,1.0
deepseek/deepseek-v3.2:off,2,150,0.02666666666666667,0.04,0.040268456375838924,0.013422818791946307,5,3,0.7265625
deepseek/deepseek-v3.2:off,3,150,0.02,0.02,0.02,0.0,3,3,1.0
deepseek/deepseek-v3.2:off,4,150,0.02,0.006666666666666667,0.013333333333333334,-0.006666666666666666,2,3,1.0
deepseek/deepseek-v3.2:off,5,150,0.02,0.02,0.02,0.0,3,3,1.0
deepseek/deepseek-v3.2:off,6,150,0.02,0.04,0.02,0.0,3,3,1.0
deepseek/deepseek-v3.2:off,7,150,0.03333333333333333,0.02,0.04666666666666667,0.013333333333333336,7,5,0.7744140625
gpt-5.6-sol:none,2,150,0.19333333333333333,0.36,0.3333333333333333,0.13999999999999999,23,2,1.9431114196777344e-05
gpt-5.6-sol:none,3,150,0.05333333333333334,0.1,0.08,0.026666666666666665,9,5,0.4239501953125
gpt-5.6-sol:none,4,150,0.04,0.02666666666666667,0.006666666666666667,-0.03333333333333333,0,5,0.0625
gpt-5.6-sol:none,5,150,0.04666666666666667,0.03333333333333333,0.03333333333333333,-0.013333333333333336,4,6,0.75390625
gpt-5.6-sol:none,6,150,0.02666666666666667,0.03333333333333333,0.03333333333333333,0.0066666666666666645,3,2,1.0
gpt-5.6-sol:none,7,150,0.04666666666666667,0.04666666666666667,0.05333333333333334,0.006666666666666668,6,5,1.0
gpt-6-astra:low,2,150,0.8066666666666666,0.92,0.9466666666666667,0.14,22,1,5.7220458984375e-06
gpt-6-astra:low,3,150,0.5,0.7733333333333333,0.7466666666666667,0.2466666666666667,38,1,1.4551915228366852e-10
gpt-6-astra:low,4,150,0.08,0.4266666666666667,0.48,0.39999999999999997,62,2,2.2562247209423347e-16
gpt-6-astra:low,5,150,0.04,0.21333333333333335,0.30666666666666664,0.26666666666666666,43,3,4.6219383875722997e-10
gpt-6-astra:low,6,150,0.02,0.09333333333333334,0.09333333333333334,0.07333333333333333,14,3,0.012725830078125
gpt-6-astra:low,7,150,0.04,0.06,0.06666666666666667,0.026666666666666665,9,5,0.4239501953125
