hops,cond,n,original,rewritten,Δ,rewr>orig / orig>rewr,p
2,no filler,150,0.8066666666666666,0.76,-0.046666666666666634,9/16,0.2295229434967041
2,count 300,150,0.92,0.9333333333333333,0.013333333333333308,3/1,0.625
2,count 1000,150,0.9466666666666667,0.94,-0.00666666666666671,1/2,1.0
3,no filler,150,0.5,0.5133333333333333,0.013333333333333308,11/9,0.8238029479980469
3,count 300,150,0.7733333333333333,0.74,-0.033333333333333326,0/5,0.0625
3,count 1000,150,0.7466666666666667,0.78,0.033333333333333326,6/1,0.125
4,no filler,149,0.08053691275167785,0.087248322147651,0.0067114093959731586,7/6,1.0
4,count 300,149,0.42953020134228187,0.38926174496644295,-0.040268456375838924,10/16,0.32693958282470703
4,count 1000,150,0.48,0.4666666666666667,-0.013333333333333308,5/7,0.7744140625
5,no filler,149,0.040268456375838924,0.026845637583892617,-0.013422818791946307,3/5,0.7265625
5,count 300,150,0.21333333333333335,0.26666666666666666,0.053333333333333316,13/5,0.09625244140625
5,count 1000,150,0.30666666666666664,0.28,-0.026666666666666616,8/12,0.5034446716308594
6,no filler,150,0.02,0.013333333333333334,-0.006666666666666666,1/2,1.0
6,count 300,150,0.09333333333333334,0.06,-0.03333333333333334,2/7,0.1796875
6,count 1000,150,0.09333333333333334,0.08,-0.013333333333333336,7/9,0.803619384765625
7,no filler,150,0.04,0.04,0.0,3/3,1.0
7,count 300,150,0.06,0.06,0.0,6/6,1.0
7,count 1000,150,0.06666666666666667,0.04666666666666667,-0.019999999999999997,3/6,0.5078125
