model,hops,cond,n,base,filler,gain,win,lose,p
gpt-6-astra:low,2,XB@16,150,0.8066666666666666,0.8533333333333334,0.046666666666666745,10,3,0.09228515625
gpt-6-astra:low,2,XB@64,150,0.8066666666666666,0.8733333333333333,0.06666666666666665,15,5,0.04138946533203125
gpt-6-astra:low,2,XB@256,150,0.8066666666666666,0.9066666666666666,0.09999999999999998,18,3,0.0014896392822265625
gpt-6-astra:low,2,XB@1024,150,0.8066666666666666,0.92,0.1133333333333334,20,3,0.00048828125
gpt-6-astra:low,2,XB@4096,150,0.8066666666666666,0.9466666666666667,0.14,22,1,5.7220458984375e-06
gpt-6-astra:low,2,XB@8192,150,0.8066666666666666,0.94,0.1333333333333333,22,2,3.5881996154785156e-05
gpt-6-astra:low,2,XB@16384,150,0.8066666666666666,0.94,0.1333333333333333,22,2,3.5881996154785156e-05
gpt-6-astra:low,3,XB@16,150,0.5,0.56,0.06000000000000005,16,7,0.0931396484375
gpt-6-astra:low,3,XB@64,150,0.5,0.6933333333333334,0.19333333333333336,30,1,2.9802322387695312e-08
gpt-6-astra:low,3,XB@256,150,0.5,0.76,0.26,40,1,3.8198777474462986e-11
gpt-6-astra:low,3,XB@1024,150,0.5,0.76,0.26,41,2,2.1532287064474076e-10
gpt-6-astra:low,3,XB@4096,150,0.5,0.78,0.28,43,1,5.115907697472721e-12
gpt-6-astra:low,3,XB@8192,150,0.5,0.78,0.28,43,1,5.115907697472721e-12
gpt-6-astra:low,3,XB@16384,150,0.5,0.7533333333333333,0.2533333333333333,42,4,5.100190492157708e-09
gpt-6-astra:low,4,XB@16,150,0.08,0.15333333333333332,0.07333333333333332,14,3,0.012725830078125
gpt-6-astra:low,4,XB@64,150,0.08,0.2,0.12000000000000001,21,3,0.0002771615982055664
gpt-6-astra:low,4,XB@256,150,0.08,0.32666666666666666,0.24666666666666665,40,3,3.0213413992896676e-09
gpt-6-astra:low,4,XB@1024,150,0.08,0.44666666666666666,0.36666666666666664,57,2,6.144390551909851e-15
gpt-6-astra:low,4,XB@4096,150,0.08,0.5133333333333333,0.4333333333333333,67,2,8.185726402265558e-18
gpt-6-astra:low,4,XB@8192,150,0.08,0.4866666666666667,0.4066666666666667,63,2,1.1633489310769463e-16
gpt-6-astra:low,4,XB@16384,150,0.08,0.44,0.36,56,2,1.1879386363489175e-14
gpt-6-astra:low,5,XB@16,150,0.04,0.07333333333333333,0.03333333333333333,8,3,0.2265625
gpt-6-astra:low,5,XB@64,150,0.04,0.11333333333333333,0.07333333333333333,15,4,0.0192108154296875
gpt-6-astra:low,5,XB@256,150,0.04,0.14,0.1,19,4,0.002599477767944336
gpt-6-astra:low,5,XB@1024,150,0.04,0.26,0.22,35,2,1.0244548320770264e-08
gpt-6-astra:low,5,XB@4096,150,0.04,0.2866666666666667,0.24666666666666667,39,2,7.839844329282641e-10
gpt-6-astra:low,5,XB@8192,150,0.04,0.30666666666666664,0.26666666666666666,43,3,4.6219383875722997e-10
gpt-6-astra:low,5,XB@16384,150,0.04,0.26666666666666666,0.22666666666666666,37,3,1.946500560734421e-08
gpt-6-astra:low,6,XB@16,150,0.02,0.02,0.0,3,3,1.0
gpt-6-astra:low,6,XB@64,150,0.02,0.04,0.02,4,1,0.375
gpt-6-astra:low,6,XB@256,150,0.02,0.06666666666666667,0.04666666666666666,8,1,0.0390625
gpt-6-astra:low,6,XB@1024,150,0.02,0.08,0.06,10,1,0.01171875
gpt-6-astra:low,6,XB@4096,150,0.02,0.09333333333333334,0.07333333333333333,12,1,0.00341796875
gpt-6-astra:low,6,XB@8192,150,0.02,0.06,0.039999999999999994,9,3,0.14599609375
gpt-6-astra:low,6,XB@16384,150,0.02,0.04666666666666667,0.02666666666666667,5,1,0.21875
gpt-6-astra:low,7,XB@16,150,0.04,0.05333333333333334,0.013333333333333336,4,2,0.6875
gpt-6-astra:low,7,XB@64,150,0.04,0.03333333333333333,-0.006666666666666668,4,5,1.0
gpt-6-astra:low,7,XB@256,150,0.04,0.05333333333333334,0.013333333333333336,6,4,0.75390625
gpt-6-astra:low,7,XB@1024,150,0.04,0.06,0.019999999999999997,7,4,0.548828125
gpt-6-astra:low,7,XB@4096,150,0.04,0.07333333333333333,0.03333333333333333,9,4,0.266845703125
gpt-6-astra:low,7,XB@8192,150,0.04,0.04,0.0,4,4,1.0
gpt-6-astra:low,7,XB@16384,150,0.04,0.06666666666666667,0.026666666666666665,8,4,0.3876953125
