model,hops,cond,n,base,filler,gain,win,lose,p
gpt-6-astra:low,2,XB@16,150,0.76,0.82,0.05999999999999994,17,8,0.10775214433670044
gpt-6-astra:low,2,XB@64,150,0.76,0.9,0.14,25,4,0.00010371580719947815
gpt-6-astra:low,2,XB@256,150,0.76,0.9133333333333333,0.15333333333333332,27,4,3.39532271027565e-05
gpt-6-astra:low,2,XB@1024,150,0.76,0.9333333333333333,0.17333333333333334,27,1,2.1606683731079102e-07
gpt-6-astra:low,2,XB@4096,150,0.76,0.94,0.17999999999999994,28,1,1.1175870895385742e-07
gpt-6-astra:low,2,XB@8192,150,0.76,0.9266666666666666,0.16666666666666663,28,3,4.649162292480469e-06
gpt-6-astra:low,3,XB@16,150,0.5133333333333333,0.5666666666666667,0.053333333333333344,16,8,0.15158963203430176
gpt-6-astra:low,3,XB@64,150,0.5133333333333333,0.6933333333333334,0.18000000000000005,32,5,7.427530363202095e-06
gpt-6-astra:low,3,XB@256,150,0.5133333333333333,0.7733333333333333,0.26,43,4,2.781192165457469e-09
gpt-6-astra:low,3,XB@1024,150,0.5133333333333333,0.78,0.2666666666666667,45,5,4.209852022540872e-09
gpt-6-astra:low,3,XB@4096,150,0.5133333333333333,0.7466666666666667,0.2333333333333334,41,6,1.7716986633331544e-07
gpt-6-astra:low,3,XB@8192,150,0.5133333333333333,0.7666666666666667,0.2533333333333334,42,4,5.100190492157708e-09
gpt-6-astra:low,4,XB@16,149,0.087248322147651,0.10067114093959731,0.013422818791946303,7,5,0.7744140625
gpt-6-astra:low,4,XB@64,149,0.087248322147651,0.174496644295302,0.087248322147651,19,6,0.01463329792022705
gpt-6-astra:low,4,XB@256,149,0.087248322147651,0.35570469798657717,0.2684563758389262,44,4,1.5138326148189662e-09
gpt-6-astra:low,4,XB@1024,149,0.087248322147651,0.44966442953020136,0.36241610738255037,58,4,2.5917592724744587e-13
gpt-6-astra:low,4,XB@4096,149,0.087248322147651,0.4899328859060403,0.4026845637583893,63,3,1.3002836654618655e-15
gpt-6-astra:low,4,XB@8192,149,0.087248322147651,0.44966442953020136,0.36241610738255037,57,3,6.253851603243987e-14
gpt-6-astra:low,5,XB@16,149,0.026845637583892617,0.04697986577181208,0.020134228187919465,4,1,0.375
gpt-6-astra:low,5,XB@64,149,0.026845637583892617,0.087248322147651,0.060402684563758385,12,3,0.03515625
gpt-6-astra:low,5,XB@256,149,0.026845637583892617,0.174496644295302,0.1476510067114094,24,2,1.049041748046875e-05
gpt-6-astra:low,5,XB@1024,149,0.026845637583892617,0.24161073825503357,0.21476510067114096,35,3,6.677873898297548e-08
gpt-6-astra:low,5,XB@4096,149,0.026845637583892617,0.31543624161073824,0.2885906040268456,45,2,1.6044054973463062e-11
gpt-6-astra:low,5,XB@8192,149,0.026845637583892617,0.33557046979865773,0.3087248322147651,47,1,3.481659405224491e-13
gpt-6-astra:low,6,XB@16,149,0.013422818791946308,0.026845637583892617,0.013422818791946308,4,2,0.6875
gpt-6-astra:low,6,XB@64,150,0.013333333333333334,0.02666666666666667,0.013333333333333334,3,1,0.625
gpt-6-astra:low,6,XB@256,150,0.013333333333333334,0.05333333333333334,0.04,8,2,0.109375
gpt-6-astra:low,6,XB@1024,150,0.013333333333333334,0.07333333333333333,0.06,10,1,0.01171875
gpt-6-astra:low,6,XB@4096,150,0.013333333333333334,0.04666666666666667,0.03333333333333333,7,2,0.1796875
gpt-6-astra:low,6,XB@8192,150,0.013333333333333334,0.06,0.04666666666666666,8,1,0.0390625
gpt-6-astra:low,7,XB@16,150,0.04,0.06,0.019999999999999997,6,3,0.5078125
gpt-6-astra:low,7,XB@64,150,0.04,0.04666666666666667,0.006666666666666668,5,4,1.0
gpt-6-astra:low,7,XB@256,150,0.04,0.08666666666666667,0.04666666666666667,10,3,0.09228515625
gpt-6-astra:low,7,XB@1024,150,0.04,0.06,0.019999999999999997,7,4,0.548828125
gpt-6-astra:low,7,XB@4096,150,0.04,0.04666666666666667,0.006666666666666668,5,4,1.0
gpt-6-astra:low,7,XB@8192,150,0.04,0.05333333333333334,0.013333333333333336,6,4,0.75390625
