task,cond,where,n,base,acc,gain,win,lose,p
nhop,300 dots,"after, user",450,0.20666666666666667,0.43333333333333335,0.22666666666666668,109,7,1.1979893557656218e-24
nhop,300 dots,"before, user",450,0.20666666666666667,0.21333333333333335,0.006666666666666682,26,23,0.7754496546815659
nhop,300 dots,model-emitted,450,0.20666666666666667,0.4622222222222222,0.25555555555555554,121,6,6.387974055984638e-29
nhop,count 1..300,"after, user",450,0.20666666666666667,0.4711111111111111,0.2644444444444444,125,6,4.8190491938743374e-30
nhop,count 1..300,model-emitted,450,0.20666666666666667,0.4955555555555556,0.2888888888888889,137,7,2.0745989755018755e-32
nhop,count 1..1000,"after, user",450,0.20666666666666667,0.5111111111111111,0.3044444444444444,143,6,4.0125543027098464e-35
nhop,count 1..1000,model-emitted,450,0.20666666666666667,0.4866666666666667,0.28,132,6,5.162619485755383e-32
nhop,2000 dots,"before, user",450,0.20666666666666667,0.2222222222222222,0.015555555555555545,25,18,0.3603776529357674
arith,300 dots,"after, user",100,0.5,0.93,0.43000000000000005,43,0,2.2737367544323206e-13
arith,300 dots,"before, user",100,0.5,0.5,0.0,7,7,1.0
arith,300 dots,model-emitted,100,0.5,0.9,0.4,40,0,1.8189894035458565e-12
arith,count 1..300,"after, user",100,0.5,0.91,0.41000000000000003,41,0,9.094947017729282e-13
arith,count 1..300,model-emitted,100,0.5,0.9,0.4,40,0,1.8189894035458565e-12
arith,count 1..1000,"after, user",100,0.5,0.92,0.42000000000000004,42,0,4.547473508864641e-13
arith,count 1..1000,model-emitted,100,0.5,0.91,0.41000000000000003,41,0,9.094947017729282e-13
arith,2000 dots,"before, user",100,0.5,0.43,-0.07,8,15,0.21003961563110352
aime,300 dots,"after, user",217,0.2857142857142857,0.5852534562211982,0.2995391705069125,65,0,5.421010862427522e-20
aime,300 dots,"before, user",218,0.28440366972477066,0.3256880733944954,0.041284403669724745,13,4,0.049041748046875
aime,300 dots,model-emitted,218,0.28440366972477066,0.573394495412844,0.2889908256880734,65,2,3.088620938868081e-17
aime,count 1..300,"after, user",218,0.28440366972477066,0.6422018348623854,0.3577981651376147,78,0,6.617444900424222e-24
aime,count 1..300,model-emitted,217,0.2857142857142857,0.6359447004608295,0.3502304147465438,76,0,2.6469779601696886e-23
aime,count 1..1000,"after, user",218,0.28440366972477066,0.7293577981651376,0.4449541284403669,97,0,1.262177448353619e-29
aime,count 1..1000,model-emitted,218,0.28440366972477066,0.6834862385321101,0.39908256880733944,87,0,1.2924697071141057e-26
aime,2000 dots,"before, user",218,0.28440366972477066,0.3211009174311927,0.03669724770642202,13,5,0.09625244140625
