task,depth,cond,mean,size
arith,7,count 1000,1.0,100
arith,7,count 300,1.0,100
arith,7,no filler,0.83,100
arith,10,count 1000,1.0,100
arith,10,count 300,0.98,100
arith,10,no filler,0.7,100
arith,15,count 1000,0.92,100
arith,15,count 300,0.91,100
arith,15,no filler,0.5,100
arithbal,7,count 1000,1.0,100
arithbal,7,count 300,1.0,100
arithbal,7,no filler,0.94,100
arithbal,10,count 1000,0.98,100
arithbal,10,count 300,0.97,100
arithbal,10,no filler,0.68,100
arithbal,15,count 1000,0.96,100
arithbal,15,count 300,0.94,100
arithbal,15,no filler,0.65,100
arithchain,7,count 1000,0.97,100
arithchain,7,count 300,0.98,100
arithchain,7,no filler,0.66,100
arithchain,10,count 1000,0.91,100
arithchain,10,count 300,0.89,100
arithchain,10,no filler,0.38,100
arithchain,15,count 1000,0.83,100
arithchain,15,count 300,0.83,100
arithchain,15,no filler,0.1919191919191919,99
