model_eff,task,arm,k,filler_tokens,n,acc,baseline,gain,gain_se,parse,compliant,max_reasoning_tokens
gpt-4o:default,gsm8k,XB,20,20,100,0.52,0.515,0.0050000000000000044,0.061195383812833466,1.0,1.0,0
gpt-4o:default,gsm8k,XB,140,140,100,0.54,0.515,0.025000000000000022,0.06109725853096847,1.0,1.0,0
gpt-4o:default,gsm8k,XB,700,700,100,0.55,0.515,0.03500000000000003,0.061023561023591535,1.0,1.0,0
gpt-4o:default,gsm8k,XC,20,20,100,0.57,0.515,0.05499999999999994,0.060826597800633236,1.0,0.52,0
gpt-4o:default,gsm8k,XC,140,140,100,0.55,0.515,0.03500000000000003,0.061023561023591535,1.0,0.51,0
gpt-4o:default,gsm8k,XC,700,700,100,0.5,0.515,-0.015000000000000013,0.06122805729402167,0.99,0.0,0
gpt-4o:default,gsm8k,CB,10,28,100,0.58,0.515,0.06499999999999995,0.06070317125159113,1.0,1.0,0
gpt-4o:default,gsm8k,CB,50,148,100,0.54,0.515,0.025000000000000022,0.06109725853096847,1.0,1.0,0
gpt-4o:default,gsm8k,CB,100,298,100,0.57,0.515,0.05499999999999994,0.060826597800633236,1.0,1.0,0
gpt-4o:default,gsm8k,CB,500,1498,100,0.51,0.515,-0.0050000000000000044,0.06121989055854314,1.0,1.0,0
gpt-4o:default,gsm8k,CB,1000,2999,100,0.5,0.515,-0.015000000000000013,0.06122805729402167,1.0,1.0,0
gpt-4o:default,gsm8k,CC,10,28,100,0.58,0.515,0.06499999999999995,0.06070317125159113,1.0,1.0,0
gpt-4o:default,gsm8k,CC,100,298,100,0.53,0.515,0.015000000000000013,0.06115451741286166,1.0,1.0,0
gpt-4o:default,gsm8k,RB,1,59,100,0.54,0.515,0.025000000000000022,0.06109725853096847,1.0,1.0,0
gpt-4o:default,gsm8k,RB,3,177,100,0.58,0.515,0.06499999999999995,0.06070317125159113,1.0,1.0,0
gpt-4o:default,gsm8k,C,1,58,100,0.5,0.515,-0.015000000000000013,0.06122805729402167,0.97,0.94,0
gpt-4o:default,gsm8k,C,3,176,100,0.55,0.515,0.03500000000000003,0.061023561023591535,1.0,0.99,0
gpt-5.6-sol:none,gsm8k,XB,20,20,100,0.87,0.865,0.0050000000000000044,0.04141104925016994,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,XB,140,140,100,0.9,0.865,0.03500000000000003,0.03852109811518877,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,XB,700,700,100,0.89,0.865,0.025000000000000022,0.03953321388402415,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,XC,20,20,100,0.87,0.865,0.0050000000000000044,0.04141104925016994,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,XC,140,140,100,0.9,0.865,0.03500000000000003,0.03852109811518877,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,XC,700,700,100,0.92,0.865,0.05500000000000005,0.036330083952559204,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,CB,10,28,100,0.89,0.865,0.025000000000000022,0.03953321388402415,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,CB,50,148,100,0.9,0.865,0.03500000000000003,0.03852109811518877,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,CB,100,298,100,0.91,0.865,0.04500000000000004,0.03745497296755131,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,CB,500,1498,100,0.91,0.865,0.04500000000000004,0.03745497296755131,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,CB,1000,2999,100,0.91,0.865,0.04500000000000004,0.03745497296755131,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,CC,10,28,100,0.89,0.865,0.025000000000000022,0.03953321388402415,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,CC,100,298,100,0.9,0.865,0.03500000000000003,0.03852109811518877,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,RB,1,59,100,0.88,0.865,0.015000000000000013,0.04049537010572937,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,RB,3,177,100,0.9,0.865,0.03500000000000003,0.03852109811518877,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,C,1,58,100,0.88,0.865,0.015000000000000013,0.04049537010572937,1.0,1.0,0
gpt-5.6-sol:none,gsm8k,C,3,176,100,0.9,0.865,0.03500000000000003,0.03852109811518877,1.0,1.0,0
claude-fable-5-1:low,gsm8k,XB,20,20,100,0.92,0.915,0.0050000000000000044,0.03353915622075188,1.0,0.99,6
claude-fable-5-1:low,gsm8k,XB,140,140,100,0.91,0.915,-0.0050000000000000044,0.03475449611201405,1.0,1.0,4
claude-fable-5-1:low,gsm8k,XB,700,700,100,0.92,0.915,0.0050000000000000044,0.03353915622075188,1.0,1.0,4
claude-fable-5-1:low,gsm8k,XC,20,20,100,0.92,0.915,0.0050000000000000044,0.03353915622075188,1.0,1.0,6
claude-fable-5-1:low,gsm8k,XC,140,140,100,0.92,0.915,0.0050000000000000044,0.03353915622075188,1.0,1.0,18
claude-fable-5-1:low,gsm8k,XC,700,700,100,0.91,0.915,-0.0050000000000000044,0.03475449611201405,1.0,1.0,74
claude-fable-5-1:low,gsm8k,CB,10,28,100,0.93,0.915,0.015000000000000013,0.032247092892228275,0.99,0.99,8
claude-fable-5-1:low,gsm8k,CB,50,148,100,0.92,0.915,0.0050000000000000044,0.03353915622075188,0.99,0.99,8
claude-fable-5-1:low,gsm8k,CB,100,298,100,0.92,0.915,0.0050000000000000044,0.03353915622075188,0.99,0.99,8
claude-fable-5-1:low,gsm8k,CB,500,1498,100,0.91,0.915,-0.0050000000000000044,0.03475449611201405,1.0,1.0,4
claude-fable-5-1:low,gsm8k,CB,1000,2999,100,0.91,0.915,-0.0050000000000000044,0.03475449611201405,1.0,0.99,6
claude-fable-5-1:low,gsm8k,CC,10,28,100,0.92,0.915,0.0050000000000000044,0.03353915622075188,1.0,1.0,4
claude-fable-5-1:low,gsm8k,CC,100,298,100,0.92,0.915,0.0050000000000000044,0.03353915622075188,1.0,1.0,4
claude-fable-5-1:low,gsm8k,RB,1,59,100,0.92,0.915,0.0050000000000000044,0.03353915622075188,0.99,0.99,6
claude-fable-5-1:low,gsm8k,RB,3,177,100,0.92,0.915,0.0050000000000000044,0.03353915622075188,0.99,0.99,7
gpt-6-astra:low,gsm8k,XB,20,20,100,0.94,0.94,0.0,0.029086079144497987,1.0,1.0,0
gpt-6-astra:low,gsm8k,XB,140,140,100,0.96,0.94,0.020000000000000018,0.025806975801127893,1.0,1.0,0
gpt-6-astra:low,gsm8k,XB,700,700,100,0.94,0.94,0.0,0.029086079144497987,1.0,1.0,0
gpt-6-astra:low,gsm8k,XC,20,20,100,0.93,0.94,-0.009999999999999898,0.030545048698602528,1.0,1.0,0
gpt-6-astra:low,gsm8k,XC,140,140,100,0.96,0.94,0.020000000000000018,0.025806975801127893,1.0,1.0,0
gpt-6-astra:low,gsm8k,XC,700,700,100,0.95,0.94,0.010000000000000009,0.02751363298439522,1.0,1.0,0
gpt-6-astra:low,gsm8k,CB,10,28,100,0.95,0.94,0.010000000000000009,0.02751363298439522,1.0,1.0,0
gpt-6-astra:low,gsm8k,CB,50,148,100,0.95,0.94,0.010000000000000009,0.02751363298439522,1.0,1.0,0
gpt-6-astra:low,gsm8k,CB,100,298,100,0.95,0.94,0.010000000000000009,0.02751363298439522,1.0,1.0,0
gpt-6-astra:low,gsm8k,CB,500,1498,100,0.95,0.94,0.010000000000000009,0.02751363298439522,1.0,1.0,0
gpt-6-astra:low,gsm8k,CB,1000,2999,100,0.95,0.94,0.010000000000000009,0.02751363298439522,1.0,1.0,0
gpt-6-astra:low,gsm8k,CC,10,28,100,0.94,0.94,0.0,0.029086079144497987,1.0,1.0,0
gpt-6-astra:low,gsm8k,CC,100,298,100,0.96,0.94,0.020000000000000018,0.025806975801127893,1.0,1.0,0
gpt-6-astra:low,gsm8k,RB,1,59,100,0.96,0.94,0.020000000000000018,0.025806975801127893,1.0,1.0,0
gpt-6-astra:low,gsm8k,RB,3,177,100,0.96,0.94,0.020000000000000018,0.025806975801127893,1.0,1.0,0
gpt-6-astra:low,gsm8k,C,1,58,100,0.94,0.94,0.0,0.029086079144497987,1.0,1.0,0
gpt-6-astra:low,gsm8k,C,3,176,100,0.95,0.94,0.010000000000000009,0.02751363298439522,1.0,1.0,0
gpt-4o:default,gpqa,XB,20,20,100,0.34,0.415,-0.07499999999999996,0.05880369886325179,1.0,1.0,0
gpt-4o:default,gpqa,XB,140,140,100,0.42,0.415,0.0050000000000000044,0.06041419535175487,1.0,1.0,0
gpt-4o:default,gpqa,XB,700,700,100,0.34,0.415,-0.07499999999999996,0.05880369886325179,1.0,1.0,0
gpt-4o:default,gpqa,XC,20,20,100,0.39,0.415,-0.024999999999999967,0.05994059559263654,1.0,0.12,0
gpt-4o:default,gpqa,XC,140,140,100,0.37,0.415,-0.044999999999999984,0.05953885286096802,0.99,0.06,0
gpt-4o:default,gpqa,XC,700,700,100,0.34,0.415,-0.07499999999999996,0.05880369886325179,0.99,0.0,0
