           model_eff    task arm    k  filler_tokens   n  acc  baseline   gain  gain_se  parse  compliant  max_reasoning_tokens
      gpt-4o:default   gsm8k  XB   20             20 100 0.52     0.515  0.005    0.061   1.00       1.00                     0
      gpt-4o:default   gsm8k  XB  140            140 100 0.54     0.515  0.025    0.061   1.00       1.00                     0
      gpt-4o:default   gsm8k  XB  700            700 100 0.55     0.515  0.035    0.061   1.00       1.00                     0
      gpt-4o:default   gsm8k  XC   20             20 100 0.57     0.515  0.055    0.061   1.00       0.52                     0
      gpt-4o:default   gsm8k  XC  140            140 100 0.55     0.515  0.035    0.061   1.00       0.51                     0
      gpt-4o:default   gsm8k  XC  700            700 100 0.50     0.515 -0.015    0.061   0.99       0.00                     0
      gpt-4o:default   gsm8k  CB   10             28 100 0.58     0.515  0.065    0.061   1.00       1.00                     0
      gpt-4o:default   gsm8k  CB   50            148 100 0.54     0.515  0.025    0.061   1.00       1.00                     0
      gpt-4o:default   gsm8k  CB  100            298 100 0.57     0.515  0.055    0.061   1.00       1.00                     0
      gpt-4o:default   gsm8k  CB  500           1498 100 0.51     0.515 -0.005    0.061   1.00       1.00                     0
      gpt-4o:default   gsm8k  CB 1000           2999 100 0.50     0.515 -0.015    0.061   1.00       1.00                     0
      gpt-4o:default   gsm8k  CC   10             28 100 0.58     0.515  0.065    0.061   1.00       1.00                     0
      gpt-4o:default   gsm8k  CC  100            298 100 0.53     0.515  0.015    0.061   1.00       1.00                     0
      gpt-4o:default   gsm8k  RB    1             59 100 0.54     0.515  0.025    0.061   1.00       1.00                     0
      gpt-4o:default   gsm8k  RB    3            177 100 0.58     0.515  0.065    0.061   1.00       1.00                     0
      gpt-4o:default   gsm8k   C    1              0 100 0.50     0.515 -0.015    0.061   0.97       0.94                     0
      gpt-4o:default   gsm8k   C    3              0 100 0.55     0.515  0.035    0.061   1.00       0.99                     0
    gpt-5.6-sol:none   gsm8k  XB   20             20 100 0.87     0.865  0.005    0.041   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  XB  140            140 100 0.90     0.865  0.035    0.039   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  XB  700            700 100 0.89     0.865  0.025    0.040   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  XC   20             20 100 0.87     0.865  0.005    0.041   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  XC  140            140 100 0.90     0.865  0.035    0.039   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  XC  700            700 100 0.92     0.865  0.055    0.036   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  CB   10             28 100 0.89     0.865  0.025    0.040   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  CB   50            148 100 0.90     0.865  0.035    0.039   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  CB  100            298 100 0.91     0.865  0.045    0.037   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  CB  500           1498 100 0.91     0.865  0.045    0.037   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  CB 1000           2999 100 0.91     0.865  0.045    0.037   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  CC   10             28 100 0.89     0.865  0.025    0.040   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  CC  100            298 100 0.90     0.865  0.035    0.039   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  RB    1             59 100 0.88     0.865  0.015    0.040   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k  RB    3            177 100 0.90     0.865  0.035    0.039   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k   C    1              0 100 0.88     0.865  0.015    0.040   1.00       1.00                     0
    gpt-5.6-sol:none   gsm8k   C    3              0 100 0.90     0.865  0.035    0.039   1.00       1.00                     0
