model_eff,depth,arm,k,n,acc,compliant,acc_compliant,incomplete,reason_tok,out_tok,latency
gpt-5.6-sol:low,1,B,0,24,1.0,1.0,1.0,0.0,0.0,8.0,1.004318356513977
gpt-5.6-sol:low,2,B,0,24,0.9583333333333334,1.0,0.9583333333333334,0.0,0.0,8.0,0.9610939025878906
gpt-5.6-sol:low,3,B,0,24,0.25,1.0,0.25,0.0,0.0,8.0,1.0339425802230835
gpt-5.6-sol:low,4,B,0,24,0.125,1.0,0.125,0.0,0.0,8.0,1.0564066171646118
gpt-5.6-sol:low,6,B,0,24,0.125,1.0,0.125,0.0,0.0,8.0,1.1043545007705688
gpt-5.6-sol:low,8,B,0,24,0.041666666666666664,1.0,0.041666666666666664,0.0,0.0,8.0,0.9208548069000244
gpt-5.6-sol:low,12,B,0,24,0.125,0.7916666666666666,0.15789473684210525,0.20833333333333334,7.916666666666667,14.25,0.9898008108139038
gpt-5.6-sol:low,16,B,0,24,0.16666666666666666,0.75,0.2222222222222222,0.25,9.5,15.5,0.9520474672317505
gpt-5.6-sol:none,1,B,0,24,1.0,1.0,1.0,0.0,0.0,8.0,0.9598261117935181
gpt-5.6-sol:none,2,B,0,24,0.9166666666666666,1.0,0.9166666666666666,0.0,0.0,8.0,1.0742721557617188
gpt-5.6-sol:none,3,B,0,24,0.20833333333333334,1.0,0.20833333333333334,0.0,0.0,8.0,1.0873275995254517
gpt-5.6-sol:none,4,B,0,24,0.125,1.0,0.125,0.0,0.0,8.0,0.9959577322006226
gpt-5.6-sol:none,6,B,0,24,0.125,1.0,0.125,0.0,0.0,8.0,1.003039002418518
gpt-5.6-sol:none,8,B,0,24,0.125,1.0,0.125,0.0,0.0,8.0,1.0168403387069702
gpt-5.6-sol:none,12,B,0,24,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0,8.0,1.1398165225982666
gpt-5.6-sol:none,16,B,0,24,0.08333333333333333,1.0,0.08333333333333333,0.0,0.0,8.0,0.9756830930709839
gpt-6-astra:low,1,B,0,24,1.0,1.0,1.0,0.0,0.0,8.0,1.2951761484146118
gpt-6-astra:low,2,B,0,24,1.0,1.0,1.0,0.0,0.0,8.0,1.245671272277832
gpt-6-astra:low,3,B,0,24,1.0,1.0,1.0,0.0,0.0,8.0,1.3605856895446777
gpt-6-astra:low,4,B,0,24,1.0,1.0,1.0,0.0,0.0,8.0,1.393103837966919
gpt-6-astra:low,6,B,0,24,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,8.0,1.3961337804794312
gpt-6-astra:low,8,B,0,24,0.20833333333333334,1.0,0.20833333333333334,0.0,0.0,8.0,1.2920770645141602
gpt-6-astra:low,12,B,0,24,0.08333333333333333,1.0,0.08333333333333333,0.0,0.0,8.0,1.3038681745529175
gpt-6-astra:low,16,B,0,24,0.041666666666666664,1.0,0.041666666666666664,0.0,0.0,8.0,1.2964414358139038
