model_eff,depth,arm,k,n,acc,compliant,rt
gpt-5.6-sol:none,3,B,0,40,0.25,1.0,0.0
gpt-5.6-sol:none,3,XB,1,40,0.15,1.0,0.0
gpt-5.6-sol:none,3,XB,2,40,0.175,1.0,0.0
gpt-5.6-sol:none,3,XB,5,40,0.225,1.0,0.0
gpt-5.6-sol:none,3,XB,10,40,0.3,1.0,0.0
gpt-5.6-sol:none,3,XB,20,40,0.25,1.0,0.0
gpt-5.6-sol:none,3,XB,40,40,0.25,1.0,0.0
gpt-5.6-sol:none,3,XB,70,40,0.35,1.0,0.0
gpt-5.6-sol:none,3,XB,140,80,0.3625,1.0,0.0
gpt-5.6-sol:none,3,XB,280,40,0.5,1.0,0.0
gpt-5.6-sol:none,3,XB,560,40,0.5,1.0,0.0
gpt-5.6-sol:none,3,XB,1130,40,0.45,1.0,0.0
gpt-5.6-sol:none,3,XC,1,40,0.3,1.0,0.0
gpt-5.6-sol:none,3,XC,2,40,0.225,1.0,0.0
gpt-5.6-sol:none,3,XC,5,40,0.175,1.0,0.0
gpt-5.6-sol:none,3,XC,10,40,0.225,1.0,0.0
gpt-5.6-sol:none,3,XC,20,40,0.225,1.0,0.0
gpt-5.6-sol:none,3,XC,40,40,0.25,1.0,0.0
gpt-5.6-sol:none,3,XC,70,40,0.375,1.0,0.0
gpt-5.6-sol:none,3,XC,140,80,0.625,1.0,0.0
gpt-5.6-sol:none,3,XC,280,40,0.85,1.0,0.0
gpt-5.6-sol:none,3,XC,560,40,0.725,1.0,0.0
gpt-5.6-sol:none,3,XC,1130,40,0.625,0.975,0.0
gpt-5.6-sol:none,4,B,0,40,0.275,1.0,0.0
gpt-5.6-sol:none,4,XB,1,40,0.125,1.0,0.0
gpt-5.6-sol:none,4,XB,2,40,0.15,1.0,0.0
gpt-5.6-sol:none,4,XB,5,40,0.1,1.0,0.0
gpt-5.6-sol:none,4,XB,10,40,0.15,1.0,0.0
gpt-5.6-sol:none,4,XB,20,40,0.025,1.0,0.0
gpt-5.6-sol:none,4,XB,40,40,0.125,1.0,0.0
gpt-5.6-sol:none,4,XB,70,40,0.075,1.0,0.0
gpt-5.6-sol:none,4,XB,140,40,0.15,1.0,0.0
gpt-5.6-sol:none,4,XB,180,40,0.225,1.0,0.0
gpt-5.6-sol:none,4,XB,360,40,0.05,1.0,0.0
gpt-5.6-sol:none,4,XB,720,40,0.15,1.0,0.0
gpt-5.6-sol:none,4,XB,1450,40,0.125,1.0,0.0
gpt-5.6-sol:none,4,XC,1,40,0.075,1.0,0.0
