model_eff,depth,arm,k,n,acc,compliant,rt
deepseek/deepseek-chat-v3-0324:default,2,B,0,40,0.275,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,2,XB,1,40,0.2,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,2,XB,5,40,0.15,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,2,XB,20,40,0.225,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,2,XB,70,40,0.275,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,2,XB,140,40,0.25,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,2,XB,340,39,0.23076923076923078,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,2,XB,700,40,0.175,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,2,XC,1,40,0.225,0.375,0.0
deepseek/deepseek-chat-v3-0324:default,2,XC,5,40,0.25,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,2,XC,20,40,0.225,0.875,0.0
deepseek/deepseek-chat-v3-0324:default,2,XC,70,40,0.175,0.9,0.0
deepseek/deepseek-chat-v3-0324:default,2,XC,140,40,0.125,0.8,0.0
deepseek/deepseek-chat-v3-0324:default,2,XC,340,40,0.275,0.25,0.0
deepseek/deepseek-chat-v3-0324:default,2,XC,700,40,0.175,0.0,0.0
deepseek/deepseek-chat-v3-0324:default,3,B,0,40,0.075,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,3,XB,1,40,0.075,0.975,0.0
deepseek/deepseek-chat-v3-0324:default,3,XB,5,40,0.125,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,3,XB,20,40,0.125,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,3,XB,70,40,0.025,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,3,XB,140,40,0.2,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,3,XB,340,40,0.15,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,3,XB,700,40,0.175,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,3,XC,1,39,0.0,0.15384615384615385,0.0
deepseek/deepseek-chat-v3-0324:default,3,XC,5,40,0.05,1.0,0.0
deepseek/deepseek-chat-v3-0324:default,3,XC,20,40,0.15,0.55,0.0
deepseek/deepseek-chat-v3-0324:default,3,XC,70,40,0.075,0.775,0.0
deepseek/deepseek-chat-v3-0324:default,3,XC,140,40,0.1,0.575,0.0
