model_eff,depth,arm,k,n,acc,compliant,rt
claude-opus-5:off,3,B,0,200,0.165,1.0,4.0
claude-opus-5:off,3,XB,1,200,0.225,1.0,4.0
claude-opus-5:off,3,XB,5,200,0.36,1.0,4.0
claude-opus-5:off,3,XB,20,200,0.415,1.0,4.0
claude-opus-5:off,3,XB,70,200,0.455,1.0,4.0
claude-opus-5:off,3,XB,140,200,0.59,1.0,4.0
claude-opus-5:off,3,XB,340,200,0.585,1.0,4.0
claude-opus-5:off,3,XB,700,200,0.495,0.79,3.16
google/gemini-2.5-flash:off,2,B,0,200,0.165,1.0,0.0
google/gemini-2.5-flash:off,2,XB,1,200,0.195,1.0,0.0
google/gemini-2.5-flash:off,2,XB,5,200,0.205,1.0,0.0
google/gemini-2.5-flash:off,2,XB,20,200,0.23,1.0,0.0
google/gemini-2.5-flash:off,2,XB,70,200,0.2,1.0,0.0
google/gemini-2.5-flash:off,2,XB,140,200,0.345,1.0,0.0
google/gemini-2.5-flash:off,2,XB,340,200,0.35,1.0,0.0
google/gemini-2.5-flash:off,2,XB,700,200,0.555,1.0,0.0
google/gemini-2.5-flash:off,2,XC,1,200,0.13,0.0,0.0
google/gemini-2.5-flash:off,2,XC,5,200,0.23,1.0,0.0
google/gemini-2.5-flash:off,2,XC,20,200,0.21,0.355,0.0
google/gemini-2.5-flash:off,2,XC,70,200,0.335,1.0,0.0
google/gemini-2.5-flash:off,2,XC,140,200,0.375,1.0,0.0
google/gemini-2.5-flash:off,2,XC,340,200,0.475,0.99,0.0
google/gemini-2.5-flash:off,2,XC,700,200,0.565,0.98,0.0
