model_eff,task,depth,arm,k0_acc,threshold_tokens,acc_at_max,max_tokens,n_min,compliant
gpt-4o:default,perm,2,XB,0.125,inf,0.15,700,40,1.0
gpt-4o:default,perm,2,XC,0.125,inf,0.1,700,40,0.43214285714285705
gpt-4o:default,perm,3,XB,0.2,inf,0.2,700,40,1.0
gpt-4o:default,perm,3,XC,0.2,inf,0.15,700,40,0.1571428571428571
gpt-4o:default,lookup,2,XB,0.45,inf,0.625,700,40,1.0
gpt-4o:default,lookup,2,XC,0.45,inf,0.625,700,40,0.45
gpt-4o:default,lookup,3,XB,0.225,inf,0.2,700,40,1.0
gpt-4o:default,lookup,3,XC,0.225,inf,0.25,700,40,0.3892857142857143
gpt-4o:default,modchain,2,XB,0.675,inf,0.7,700,40,1.0
gpt-4o:default,modchain,2,XC,0.675,inf,0.725,700,40,0.6
gpt-4o:default,modchain,3,XB,0.325,inf,0.325,700,40,1.0
gpt-4o:default,modchain,3,XC,0.325,inf,0.325,700,40,0.3678571428571429
gpt-4o:default,modchain,4,XB,0.25,inf,0.3,700,40,1.0
gpt-4o:default,modchain,4,XC,0.25,inf,0.3,700,40,0.2857142857142857
gpt-4o:default,reach,2,XB,0.7,inf,0.6,700,40,1.0
gpt-4o:default,reach,2,XC,0.7,inf,0.65,700,40,0.2285714285714286
gpt-4o:default,reach,3,XB,0.525,inf,0.575,700,40,1.0
gpt-4o:default,reach,3,XC,0.525,inf,0.6,700,40,0.21428571428571427
gpt-4o:default,stack,4,XB,0.6,inf,0.5,700,40,1.0
gpt-4o:default,stack,4,XC,0.6,inf,0.6,700,40,0.2214285714285714
gpt-4o:default,stack,6,XB,0.475,inf,0.325,700,40,1.0
gpt-4o:default,stack,6,XC,0.475,inf,0.45,700,40,0.16785714285714287
gpt-4o:default,xor,8,XB,0.525,inf,0.6,700,40,1.0
gpt-4o:default,xor,8,XC,0.525,inf,0.625,700,40,0.18571428571428572
gpt-4o:default,xor,12,XB,0.4,inf,0.475,700,40,1.0
gpt-4o:default,xor,12,XC,0.4,inf,0.45,700,40,0.1357142857142857
meta-llama/llama-3.3-70b-instruct:default,perm,2,XB,0.1,inf,0.125,700,40,1.0
meta-llama/llama-3.3-70b-instruct:default,perm,2,XC,0.1,inf,0.05,700,40,0.14285714285714285
meta-llama/llama-3.3-70b-instruct:default,perm,3,XB,0.15,inf,0.2,700,40,1.0
meta-llama/llama-3.3-70b-instruct:default,perm,3,XC,0.15,inf,0.175,700,40,0.14285714285714285
meta-llama/llama-3.3-70b-instruct:default,lookup,2,XB,0.3,inf,0.325,700,39,1.0
meta-llama/llama-3.3-70b-instruct:default,lookup,2,XC,0.3,inf,0.375,700,39,0.14285714285714285
meta-llama/llama-3.3-70b-instruct:default,lookup,3,XB,0.45,inf,0.35,700,40,1.0
meta-llama/llama-3.3-70b-instruct:default,lookup,3,XC,0.45,inf,0.275,700,40,0.14285714285714285
meta-llama/llama-3.3-70b-instruct:default,modchain,2,XB,0.475,inf,0.325,700,39,1.0
meta-llama/llama-3.3-70b-instruct:default,modchain,2,XC,0.475,inf,0.2631578947368421,700,38,0.14285714285714285
meta-llama/llama-3.3-70b-instruct:default,modchain,3,XB,0.125,inf,0.15384615384615385,700,39,1.0
meta-llama/llama-3.3-70b-instruct:default,modchain,3,XC,0.125,inf,0.2,700,40,0.14285714285714285
meta-llama/llama-3.3-70b-instruct:default,modchain,4,XB,0.175,inf,0.2,700,40,1.0
meta-llama/llama-3.3-70b-instruct:default,modchain,4,XC,0.175,inf,0.2,700,40,0.14285714285714285
meta-llama/llama-3.3-70b-instruct:default,reach,2,XB,0.6,inf,0.575,700,38,1.0
meta-llama/llama-3.3-70b-instruct:default,reach,2,XC,0.6,inf,0.55,700,39,0.175
meta-llama/llama-3.3-70b-instruct:default,reach,3,XB,0.55,inf,0.575,700,39,1.0
meta-llama/llama-3.3-70b-instruct:default,reach,3,XC,0.55,inf,0.5,700,39,0.14285714285714285
meta-llama/llama-3.3-70b-instruct:default,stack,4,XB,0.55,inf,0.575,700,39,1.0
meta-llama/llama-3.3-70b-instruct:default,stack,4,XC,0.55,inf,0.475,700,40,0.14285714285714285
meta-llama/llama-3.3-70b-instruct:default,stack,6,XB,0.358974358974359,inf,0.275,700,39,1.0
meta-llama/llama-3.3-70b-instruct:default,stack,6,XC,0.358974358974359,inf,0.325,700,39,0.1465201465201465
meta-llama/llama-3.3-70b-instruct:default,xor,4,XB,0.7,20.0,0.7,700,40,1.0
meta-llama/llama-3.3-70b-instruct:default,xor,4,XC,0.7,inf,0.5641025641025641,700,39,0.18214285714285716
meta-llama/llama-3.3-70b-instruct:default,xor,6,XB,0.65,inf,0.625,700,39,1.0
meta-llama/llama-3.3-70b-instruct:default,xor,6,XC,0.65,inf,0.625,700,40,0.14285714285714285
deepseek/deepseek-chat-v3-0324:default,perm,2,XB,0.275,inf,0.175,700,40,1.0
deepseek/deepseek-chat-v3-0324:default,perm,2,XC,0.275,inf,0.175,700,40,0.6
deepseek/deepseek-chat-v3-0324:default,perm,3,XB,0.075,inf,0.175,700,40,0.9964285714285713
deepseek/deepseek-chat-v3-0324:default,perm,3,XC,0.075,inf,0.075,700,40,0.475
deepseek/deepseek-chat-v3-0324:default,lookup,2,XB,0.475,inf,0.425,700,40,1.0
deepseek/deepseek-chat-v3-0324:default,lookup,2,XC,0.475,inf,0.4,700,39,0.6139194139194138
deepseek/deepseek-chat-v3-0324:default,lookup,3,XB,0.2,inf,0.25,700,40,0.9928571428571429
deepseek/deepseek-chat-v3-0324:default,lookup,3,XC,0.2,inf,0.05,700,40,0.617857142857143
deepseek/deepseek-chat-v3-0324:default,modchain,2,XB,0.9,140.0,0.975,700,40,1.0
deepseek/deepseek-chat-v3-0324:default,modchain,2,XC,0.9,inf,0.85,700,40,0.6571428571428571
deepseek/deepseek-chat-v3-0324:default,modchain,3,XB,0.375,inf,0.475,700,40,1.0
deepseek/deepseek-chat-v3-0324:default,modchain,3,XC,0.375,inf,0.375,700,40,0.5821428571428572
deepseek/deepseek-chat-v3-0324:default,modchain,4,XB,0.425,inf,0.35,700,40,1.0
deepseek/deepseek-chat-v3-0324:default,modchain,4,XC,0.425,inf,0.35,700,40,0.5928571428571429
deepseek/deepseek-chat-v3-0324:default,reach,2,XB,0.675,inf,0.625,700,40,0.9964285714285713
deepseek/deepseek-chat-v3-0324:default,reach,2,XC,0.675,inf,0.625,700,39,0.6032051282051283
deepseek/deepseek-chat-v3-0324:default,reach,3,XB,0.525,inf,0.5,700,40,0.982142857142857
deepseek/deepseek-chat-v3-0324:default,reach,3,XC,0.525,inf,0.55,700,40,0.6535714285714287
deepseek/deepseek-chat-v3-0324:default,stack,4,XB,0.575,inf,0.625,700,38,0.9856227106227106
deepseek/deepseek-chat-v3-0324:default,stack,4,XC,0.575,inf,0.55,700,39,0.5458791208791209
deepseek/deepseek-chat-v3-0324:default,stack,6,XB,0.425,inf,0.475,700,40,0.9964285714285713
deepseek/deepseek-chat-v3-0324:default,stack,6,XC,0.425,inf,0.4,700,40,0.5928571428571429
deepseek/deepseek-chat-v3-0324:default,xor,8,XB,0.55,inf,0.575,700,40,0.9928571428571428
deepseek/deepseek-chat-v3-0324:default,xor,8,XC,0.55,inf,0.475,700,39,0.7177655677655678
deepseek/deepseek-chat-v3-0324:default,xor,12,XB,0.575,inf,0.55,700,39,1.0
deepseek/deepseek-chat-v3-0324:default,xor,12,XC,0.575,inf,0.55,700,39,0.6880952380952381
claude-fable-5-1:low,perm,3,XB,0.875,140.0,0.975,1130,40,1.0
claude-fable-5-1:low,perm,3,XC,0.875,560.0,0.975,1130,40,1.0
claude-fable-5-1:low,perm,4,XB,0.1875,inf,0.25,1450,40,1.0
claude-fable-5-1:low,perm,4,XC,0.1875,inf,0.4,1450,40,1.0
claude-fable-5-1:low,perm,6,XB,0.05,inf,0.075,2090,40,1.0
claude-fable-5-1:low,perm,6,XC,0.05,inf,0.125,2090,40,0.93125
qwen/qwen3.5-397b-a17b:off,perm,2,XB,0.075,inf,0.075,700,40,1.0
qwen/qwen3.5-397b-a17b:off,perm,2,XC,0.075,inf,0.075,700,40,0.8678571428571429
qwen/qwen3.5-397b-a17b:off,perm,3,XB,0.075,inf,0.125,700,40,1.0
qwen/qwen3.5-397b-a17b:off,perm,3,XC,0.075,inf,0.15,700,40,0.8571428571428571
qwen/qwen3.5-397b-a17b:off,lookup,2,XB,0.2,inf,0.075,700,40,1.0
qwen/qwen3.5-397b-a17b:off,lookup,2,XC,0.2,inf,0.1,700,40,0.8892857142857143
qwen/qwen3.5-397b-a17b:off,lookup,3,XB,0.225,inf,0.2,700,40,1.0
qwen/qwen3.5-397b-a17b:off,lookup,3,XC,0.225,inf,0.175,700,40,0.8535714285714285
qwen/qwen3.5-397b-a17b:off,modchain,3,XB,0.4,inf,0.325,700,40,1.0
qwen/qwen3.5-397b-a17b:off,modchain,3,XC,0.4,inf,0.325,700,40,0.85
qwen/qwen3.5-397b-a17b:off,modchain,4,XB,0.3,inf,0.325,700,40,1.0
qwen/qwen3.5-397b-a17b:off,modchain,4,XC,0.3,inf,0.325,700,40,0.85
deepseek/deepseek-v3.2:off,perm,2,XB,0.125,inf,0.15,700,40,1.0
deepseek/deepseek-v3.2:off,perm,2,XC,0.125,inf,0.125,700,40,0.6928571428571428
deepseek/deepseek-v3.2:off,perm,3,XB,0.125,inf,0.125,700,40,1.0
deepseek/deepseek-v3.2:off,perm,3,XC,0.125,inf,0.175,700,40,0.6964285714285714
deepseek/deepseek-v3.2:off,lookup,2,XB,0.325,inf,0.25,700,40,1.0
deepseek/deepseek-v3.2:off,lookup,2,XC,0.325,inf,0.3,700,40,0.7000000000000001
deepseek/deepseek-v3.2:off,lookup,3,XB,0.2,inf,0.2,700,40,1.0
deepseek/deepseek-v3.2:off,lookup,3,XC,0.2,inf,0.225,700,40,0.7000000000000001
deepseek/deepseek-v3.2:off,modchain,3,XB,0.6,inf,0.525,700,40,1.0
deepseek/deepseek-v3.2:off,modchain,3,XC,0.6,inf,0.375,700,40,0.6357142857142858
deepseek/deepseek-v3.2:off,modchain,4,XB,0.375,inf,0.3,700,40,1.0
deepseek/deepseek-v3.2:off,modchain,4,XC,0.375,inf,0.325,700,40,0.625
moonshotai/kimi-k2.6:off,perm,2,XB,0.225,inf,0.275,700,40,0.9928571428571429
moonshotai/kimi-k2.6:off,perm,2,XC,0.225,inf,0.15,700,40,0.8607142857142858
moonshotai/kimi-k2.6:off,perm,3,XB,0.075,inf,0.075,700,40,0.9892857142857142
moonshotai/kimi-k2.6:off,perm,3,XC,0.075,inf,0.275,700,40,0.8607142857142858
moonshotai/kimi-k2.6:off,lookup,2,XB,0.6,inf,0.425,700,40,1.0
moonshotai/kimi-k2.6:off,lookup,2,XC,0.6,inf,0.5,700,40,0.8357142857142856
moonshotai/kimi-k2.6:off,lookup,3,XB,0.3,inf,0.375,700,40,1.0
moonshotai/kimi-k2.6:off,lookup,3,XC,0.3,inf,0.275,700,40,0.8035714285714286
moonshotai/kimi-k2.6:off,modchain,3,XB,0.425,inf,0.45,700,40,0.9964285714285713
moonshotai/kimi-k2.6:off,modchain,3,XC,0.425,inf,0.525,700,40,0.8571428571428571
moonshotai/kimi-k2.6:off,modchain,4,XB,0.325,inf,0.3,700,40,0.9964285714285713
moonshotai/kimi-k2.6:off,modchain,4,XC,0.325,inf,0.25,700,40,0.8571428571428571
