model_eff,depth,arm,k,n,acc,compliant,rt
claude-fable-5-1:low,3,B,0,80,0.875,1.0,4.0
claude-fable-5-1:low,3,XB,1,40,0.875,1.0,4.0
claude-fable-5-1:low,3,XB,2,40,0.85,1.0,4.0
claude-fable-5-1:low,3,XB,5,40,0.825,1.0,4.0
claude-fable-5-1:low,3,XB,10,40,0.9,1.0,4.0
claude-fable-5-1:low,3,XB,20,40,0.85,1.0,4.0
claude-fable-5-1:low,3,XB,40,40,0.925,1.0,4.0
claude-fable-5-1:low,3,XB,70,40,0.9,1.0,4.0
claude-fable-5-1:low,3,XB,140,80,0.9375,1.0,4.0
claude-fable-5-1:low,3,XB,280,40,0.975,1.0,4.0
claude-fable-5-1:low,3,XB,560,40,0.975,1.0,4.0
claude-fable-5-1:low,3,XB,1130,40,0.975,1.0,4.0
claude-fable-5-1:low,3,XC,1,40,0.8,1.0,5.0
claude-fable-5-1:low,3,XC,2,40,0.825,1.0,5.0
claude-fable-5-1:low,3,XC,5,40,0.75,1.0,5.0
claude-fable-5-1:low,3,XC,10,40,0.825,1.0,5.0
claude-fable-5-1:low,3,XC,20,40,0.925,1.0,6.0
claude-fable-5-1:low,3,XC,40,40,0.9,1.0,8.0
claude-fable-5-1:low,3,XC,70,40,0.9,1.0,11.0
claude-fable-5-1:low,3,XC,140,80,0.9,1.0,18.0
claude-fable-5-1:low,3,XC,280,40,0.925,1.0,32.0
claude-fable-5-1:low,3,XC,560,40,0.975,1.0,60.0
claude-fable-5-1:low,3,XC,1130,40,0.975,1.0,117.0
claude-fable-5-1:low,4,B,0,80,0.1875,1.0,4.0
claude-fable-5-1:low,4,XB,1,40,0.1,1.0,4.0
claude-fable-5-1:low,4,XB,2,40,0.175,1.0,4.0
claude-fable-5-1:low,4,XB,5,40,0.1,1.0,4.0
claude-fable-5-1:low,4,XB,10,40,0.15,1.0,4.0
claude-fable-5-1:low,4,XB,20,40,0.1,1.0,4.0
claude-fable-5-1:low,4,XB,40,40,0.175,1.0,4.0
claude-fable-5-1:low,4,XB,70,40,0.175,1.0,4.0
claude-fable-5-1:low,4,XB,140,40,0.25,1.0,4.0
claude-fable-5-1:low,4,XB,180,40,0.175,1.0,4.0
claude-fable-5-1:low,4,XB,360,40,0.4,1.0,4.0
claude-fable-5-1:low,4,XB,720,40,0.275,1.0,4.0
claude-fable-5-1:low,4,XB,1450,40,0.25,1.0,4.0
claude-fable-5-1:low,4,XC,1,40,0.15,1.0,5.0
claude-fable-5-1:low,4,XC,2,40,0.075,1.0,5.0
claude-fable-5-1:low,4,XC,5,40,0.175,1.0,5.0
claude-fable-5-1:low,4,XC,10,40,0.15,1.0,5.0
claude-fable-5-1:low,4,XC,20,40,0.175,1.0,6.0
claude-fable-5-1:low,4,XC,40,40,0.125,1.0,8.0
claude-fable-5-1:low,4,XC,70,40,0.225,1.0,11.0
claude-fable-5-1:low,4,XC,140,40,0.45,1.0,18.0
claude-fable-5-1:low,4,XC,180,40,0.425,1.0,22.0
claude-fable-5-1:low,4,XC,360,40,0.475,1.0,40.0
claude-fable-5-1:low,4,XC,720,40,0.325,1.0,76.0
claude-fable-5-1:low,4,XC,1450,40,0.4,1.0,149.0
claude-fable-5-1:low,6,B,0,80,0.05,1.0,4.0
claude-fable-5-1:low,6,XB,1,40,0.025,1.0,4.0
claude-fable-5-1:low,6,XB,2,40,0.025,1.0,4.0
claude-fable-5-1:low,6,XB,5,40,0.025,1.0,4.0
claude-fable-5-1:low,6,XB,10,40,0.1,1.0,4.0
claude-fable-5-1:low,6,XB,20,40,0.05,1.0,4.0
claude-fable-5-1:low,6,XB,40,40,0.1,1.0,4.0
claude-fable-5-1:low,6,XB,70,40,0.075,1.0,4.0
claude-fable-5-1:low,6,XB,140,40,0.025,1.0,4.0
claude-fable-5-1:low,6,XB,260,40,0.075,1.0,4.0
claude-fable-5-1:low,6,XB,520,40,0.05,1.0,4.0
claude-fable-5-1:low,6,XB,1040,40,0.1,1.0,4.0
claude-fable-5-1:low,6,XB,2090,40,0.075,1.0,4.0
claude-fable-5-1:low,6,XC,1,40,0.05,1.0,5.0
claude-fable-5-1:low,6,XC,2,40,0.075,1.0,5.0
claude-fable-5-1:low,6,XC,5,40,0.175,1.0,5.0
claude-fable-5-1:low,6,XC,10,40,0.125,1.0,5.0
claude-fable-5-1:low,6,XC,20,40,0.05,1.0,6.0
claude-fable-5-1:low,6,XC,40,40,0.075,1.0,8.0
claude-fable-5-1:low,6,XC,70,40,0.1,1.0,11.0
claude-fable-5-1:low,6,XC,140,40,0.1,1.0,18.0
claude-fable-5-1:low,6,XC,260,40,0.075,1.0,30.0
claude-fable-5-1:low,6,XC,520,40,0.175,1.0,56.0
claude-fable-5-1:low,6,XC,1040,40,0.075,1.0,108.0
claude-fable-5-1:low,6,XC,2090,40,0.125,0.175,211.35
