model,prompt,task,depth,n,no_filler,count_300,count_1000,gain,win,lose,p
claude-opus-4-5-20251101:off,0-shot,aimepp,AIME,34,0.20588235294117646,0.2647058823529412,0.29411764705882354,0.08823529411764708,3,0,0.25
claude-opus-5:off,0-shot,aimepp,AIME,34,0.3235294117647059,0.20588235294117646,0.24242424242424243,-0.09090909090909088,0,3,0.25
deepseek/deepseek-v3.2:off,0-shot,aimepp,AIME,34,0.058823529411764705,0.14705882352941177,0.11764705882352941,0.058823529411764705,2,0,0.5
deepseek/deepseek-v3.2:off,5-shot,aimepp,AIME,34,0.08823529411764706,0.058823529411764705,0.17647058823529413,0.08823529411764706,4,1,0.375
gpt-5.6-sol:none,0-shot,aimepp,AIME,34,0.2647058823529412,0.29411764705882354,0.38235294117647056,0.11764705882352938,4,0,0.125
gpt-6-astra:low,0-shot,aimepp,AIME,34,0.6470588235294118,0.8823529411764706,0.8823529411764706,0.23529411764705876,8,0,0.0078125
claude-opus-4-5-20251101:off,0-shot,aimepp,all,157,0.044585987261146494,0.05732484076433121,0.0641025641025641,0.019230769230769225,3,0,0.25
claude-opus-5:off,0-shot,aimepp,all,157,0.07006369426751592,0.050955414012738856,0.05161290322580645,-0.01935483870967742,0,3,0.25
deepseek/deepseek-v3.2:off,0-shot,aimepp,all,157,0.012738853503184714,0.03184713375796178,0.025477707006369428,0.012738853503184714,2,0,0.5
deepseek/deepseek-v3.2:off,5-shot,aimepp,all,157,0.01910828025477707,0.01910828025477707,0.03821656050955414,0.01910828025477707,4,1,0.375
gpt-5.6-sol:none,0-shot,aimepp,all,157,0.05732484076433121,0.07006369426751592,0.09554140127388536,0.038216560509554146,6,0,0.03125
gpt-6-astra:low,0-shot,aimepp,all,153,0.1568627450980392,0.21656050955414013,0.21019108280254778,0.05882352941176472,11,2,0.0224609375
claude-opus-4-5-20251101:off,0-shot,arith,10,100,0.11,0.15,0.15,0.039999999999999994,7,3,0.34375
claude-opus-5:off,0-shot,arith,10,99,0.2222222222222222,0.26,0.21052631578947367,0.02631578947368421,3,2,1.0
deepseek/deepseek-v3.2:off,0-shot,arith,10,100,0.04,0.04,0.06,0.019999999999999997,3,1,0.625
deepseek/deepseek-v3.2:off,5-shot,arith,10,100,0.08,0.08,0.1,0.020000000000000004,5,3,0.7265625
gpt-5.6-sol:none,0-shot,arith,10,100,0.19,0.35,0.33,0.14,21,7,0.012540951371192932
gpt-6-astra:low,0-shot,arith,10,100,0.7,0.98,1.0,0.30000000000000004,30,0,1.862645149230957e-09
claude-opus-4-5-20251101:off,0-shot,arith,15,100,0.05,0.12,0.12,0.06999999999999999,7,0,0.015625
claude-opus-5:off,0-shot,arith,15,100,0.17,0.18,0.25806451612903225,0.03225806451612903,2,1,1.0
deepseek/deepseek-v3.2:off,0-shot,arith,15,100,0.01,0.02,0.01,0.0,1,1,1.0
deepseek/deepseek-v3.2:off,5-shot,arith,15,100,0.03,0.04,0.05,0.020000000000000004,2,0,0.5
gpt-5.6-sol:none,0-shot,arith,15,100,0.08,0.17,0.18,0.09999999999999999,11,1,0.00634765625
gpt-6-astra:low,0-shot,arith,15,100,0.5,0.91,0.92,0.42000000000000004,42,0,4.547473508864641e-13
claude-opus-4-5-20251101:off,0-shot,arith,5,100,0.51,0.65,0.66,0.15000000000000002,18,3,0.0014896392822265625
claude-opus-5:off,0-shot,arith,5,100,0.76,0.71,0.7333333333333333,0.06666666666666665,5,2,0.453125
deepseek/deepseek-v3.2:off,0-shot,arith,5,100,0.27,0.27,0.25,-0.020000000000000018,7,9,0.803619384765625
deepseek/deepseek-v3.2:off,5-shot,arith,5,100,0.34,0.33,0.34,0.0,10,10,1.0
gpt-5.6-sol:none,0-shot,arith,5,100,0.72,0.85,0.84,0.12,13,1,0.0018310546875
gpt-6-astra:low,0-shot,arith,5,100,0.97,1.0,1.0,0.030000000000000027,3,0,0.25
claude-opus-4-5-20251101:off,0-shot,arith,6,100,0.26,0.4,0.42,0.15999999999999998,21,5,0.002493917942047119
claude-opus-5:off,0-shot,arith,6,100,0.53,0.61,0.5263157894736842,-0.026315789473684292,3,4,1.0
deepseek/deepseek-v3.2:off,0-shot,arith,6,100,0.04,0.07,0.06,0.019999999999999997,3,1,0.625
deepseek/deepseek-v3.2:off,5-shot,arith,6,100,0.09,0.09,0.11,0.020000000000000004,6,4,0.75390625
gpt-5.6-sol:none,0-shot,arith,6,100,0.4,0.69,0.67,0.27,30,3,1.4011748135089874e-06
gpt-6-astra:low,0-shot,arith,6,100,0.83,1.0,0.99,0.16000000000000003,17,1,0.00014495849609375
claude-opus-4-5-20251101:off,0-shot,arith,7,100,0.29,0.51,0.5,0.21000000000000002,21,0,9.5367431640625e-07
claude-opus-5:off,0-shot,arith,7,100,0.55,0.61,0.4883720930232558,0.0,3,3,1.0
deepseek/deepseek-v3.2:off,0-shot,arith,7,100,0.16,0.08,0.09,-0.07,4,11,0.11846923828124999
deepseek/deepseek-v3.2:off,5-shot,arith,7,100,0.18,0.19,0.14,-0.03999999999999998,5,9,0.4239501953125
gpt-5.6-sol:none,0-shot,arith,7,100,0.41,0.61,0.59,0.18,22,4,0.0005335211753845215
gpt-6-astra:low,0-shot,arith,7,100,0.83,1.0,1.0,0.17000000000000004,17,0,1.52587890625e-05
