model,cell,prompt,n,no_filler,filler,gain,win,lose,p
gpt-5.6-sol,Gen-Arithmetic 5-7 ops,"0-shot (filler = counting 300, ~600 tok)",300,0.51,0.7166666666666667,0.20666666666666667,72,10,1.0224592793857492e-12
gpt-5.6-sol,Gen-Arithmetic 5-7 ops,3-shot (filler = 500 dots),300,0.6266666666666667,0.81,0.18333333333333335,64,9,2.378889919863532e-11
gpt-5.6-sol,"n-hop, 2 hops","0-shot (filler = counting 300, ~600 tok)",150,0.19333333333333333,0.36,0.16666666666666666,27,2,1.6242265701293945e-06
gpt-5.6-sol,"n-hop, 2 hops",3-shot (filler = 500 dots),147,0.24489795918367346,0.41496598639455784,0.17006802721088438,28,3,4.649162292480469e-06
gpt-5.6-sol,"n-hop, 3 hops","0-shot (filler = counting 300, ~600 tok)",150,0.05333333333333334,0.1,0.04666666666666667,11,4,0.11846923828124999
gpt-5.6-sol,"n-hop, 3 hops",3-shot (filler = 500 dots),147,0.061224489795918366,0.10884353741496598,0.047619047619047616,13,6,0.1670684814453125
claude-opus-5,Gen-Arithmetic 5-7 ops,"0-shot (filler = counting 300, ~600 tok)",300,0.6133333333333333,0.6433333333333333,0.030000000000000027,34,25,0.2975952082844287
claude-opus-5,"n-hop, 2 hops","0-shot (filler = counting 300, ~600 tok)",150,0.12666666666666668,0.14666666666666667,0.01999999999999999,4,1,0.375
claude-opus-5,"n-hop, 3 hops","0-shot (filler = counting 300, ~600 tok)",149,0.03355704697986577,0.03355704697986577,0.0,2,2,1.0
claude-opus-4.5,Gen-Arithmetic 5-7 ops,"0-shot (filler = counting 300, ~600 tok)",300,0.35333333333333333,0.52,0.16666666666666669,59,9,3.914123197106857e-10
claude-opus-4.5,Gen-Arithmetic 5-7 ops,3-shot (filler = 500 dots),300,0.4033333333333333,0.6066666666666667,0.20333333333333337,68,7,1.1671767873150363e-13
claude-opus-4.5,"n-hop, 2 hops","0-shot (filler = counting 300, ~600 tok)",150,0.11333333333333333,0.20666666666666667,0.09333333333333334,16,2,0.001312255859375
claude-opus-4.5,"n-hop, 2 hops",3-shot (filler = 500 dots),147,0.14285714285714285,0.1360544217687075,-0.006802721088435354,4,5,1.0
claude-opus-4.5,"n-hop, 3 hops","0-shot (filler = counting 300, ~600 tok)",150,0.02,0.04,0.02,6,3,0.5078125
claude-opus-4.5,"n-hop, 3 hops",3-shot (filler = 500 dots),147,0.04081632653061224,0.04081632653061224,0.0,6,6,1.0
deepseek-v3.2,Gen-Arithmetic 5-7 ops,"0-shot (filler = counting 300, ~600 tok)",300,0.15666666666666668,0.14,-0.016666666666666663,15,20,0.4995598332025112
deepseek-v3.2,Gen-Arithmetic 5-7 ops,3-shot (filler = 500 dots),300,0.18,0.18,0.0,18,18,1.0
deepseek-v3.2,"n-hop, 2 hops","0-shot (filler = counting 300, ~600 tok)",150,0.02666666666666667,0.04,0.013333333333333332,6,4,0.75390625
deepseek-v3.2,"n-hop, 2 hops",3-shot (filler = 500 dots),147,0.027210884353741496,0.006802721088435374,-0.02040816326530612,1,4,0.375
deepseek-v3.2,"n-hop, 3 hops","0-shot (filler = counting 300, ~600 tok)",150,0.02,0.02,0.0,3,3,1.0
deepseek-v3.2,"n-hop, 3 hops",3-shot (filler = 500 dots),147,0.027210884353741496,0.02040816326530612,-0.006802721088435375,3,4,1.0
