task,method A,method B,n pairs,levels,acc A,acc B,A−B,A>B / B>A,p
aime,counting (model),counting (user),435,"603, 2004 tok",0.6597701149425287,0.6850574712643678,-0.025287356321839094,9/20,0.06142834573984146
aime,counting (user),dots (user),217,63 tok,0.4608294930875576,0.43317972350230416,0.027649769585253448,11/5,0.210113525390625
aime,dots (model),dots (user),217,300 tok,0.576036866359447,0.5852534562211982,-0.009216589861751223,9/11,0.8238029479980469
aimepp,counting (user),dots (user),153,63 tok,0.1895424836601307,0.19607843137254902,-0.006535947712418305,3/4,1.0
arith,counting (model),counting (user),200,"603, 2004 tok",0.905,0.915,-0.010000000000000009,2/4,0.6875
arith,counting (user),dots (user),100,63 tok,0.89,0.83,0.06000000000000005,8/2,0.109375
arith,dots (model),dots (user),100,300 tok,0.9,0.93,-0.030000000000000027,0/3,0.25
lookup,dots (model),dots (user),840,"1, 5, 20, 70, 140, 340, 700 tok",0.8928571428571429,0.9178571428571428,-0.02499999999999991,19/40,0.008641499683281734
lookup,dots (model),prefix (model),360,"70, 340, 700 tok",0.9861111111111112,0.9916666666666667,-0.005555555555555536,2/4,0.6875
lookup,dots (model),prefix (user),360,"70, 340, 700 tok",0.9861111111111112,0.9972222222222222,-0.011111111111111072,1/5,0.21875
lookup,dots (user),prefix (model),360,"70, 340, 700 tok",0.9944444444444445,0.9916666666666667,0.002777777777777768,2/1,1.0
lookup,dots (user),prefix (user),360,"70, 340, 700 tok",0.9944444444444445,0.9972222222222222,-0.002777777777777768,1/2,1.0
lookup,prefix (model),prefix (user),480,"74, 174, 374, 700 tok",0.99375,0.9979166666666667,-0.004166666666666652,0/2,0.5
modchain,dots (model),dots (user),560,"1, 5, 20, 70, 140, 340, 700 tok",0.8714285714285714,0.9035714285714286,-0.03214285714285714,24/42,0.03558272445223169
modchain,dots (model),prefix (model),320,"70, 140, 340, 700 tok",0.959375,0.975,-0.015625,6/11,0.332305908203125
modchain,dots (model),prefix (user),320,"70, 140, 340, 700 tok",0.959375,0.96875,-0.009375000000000022,8/11,0.6476058959960938
modchain,dots (user),prefix (model),320,"70, 140, 340, 700 tok",0.978125,0.975,0.0031250000000000444,8/7,1.0
modchain,dots (user),prefix (user),320,"70, 140, 340, 700 tok",0.978125,0.96875,0.009375000000000022,8/5,0.5810546875
modchain,prefix (model),prefix (user),400,"33, 66, 67, 68, 73, 74, 136, 137 … tok",0.9475,0.9475,0.0,13/13,1.0
nhop,counting (model),counting (user),1800,"603, 2004 tok",0.42444444444444446,0.4272222222222222,-0.002777777777777768,66/71,0.732684093591041
nhop,dots (model),dots (user),900,300 tok,0.40555555555555556,0.39222222222222225,0.013333333333333308,43/31,0.20067820312938567
perm,copies (model),copies (user),960,"1, 2, 4, 8 copies",0.8916666666666667,0.9166666666666666,-0.02499999999999991,23/47,0.005582667351023373
perm,copies (model),dots≈copies (model),480,"1, 2, 4, 8 copies",0.7833333333333333,0.64375,0.13958333333333328,80/13,6.224673473360482e-13
perm,copies (model),dots≈copies (user),480,"1, 2, 4, 8 copies",0.7833333333333333,0.65625,0.12708333333333333,74/13,1.59389870813477e-11
perm,copies (user),dots≈copies (model),480,"1, 2, 4, 8 copies",0.8333333333333334,0.64375,0.18958333333333333,102/11,1.2518282545755144e-19
perm,copies (user),dots≈copies (user),480,"1, 2, 4, 8 copies",0.8333333333333334,0.65625,0.17708333333333337,95/10,1.5854524913510498e-18
perm,dots (model),dots (user),1280,"1, 2, 5, 10, 20, 40, 70, 140 tok",0.76640625,0.7265625,0.039843749999999956,106/55,7.149120725847529e-05
perm,dots (model),prefix (model),80,140 tok,0.8375,0.8625,-0.025000000000000022,4/6,0.75390625
perm,dots (model),prefix (user),80,140 tok,0.8375,0.825,0.012500000000000067,6/5,1.0
perm,dots (user),prefix (model),80,140 tok,0.8,0.8625,-0.0625,4/9,0.266845703125
perm,dots (user),prefix (user),80,140 tok,0.8,0.825,-0.02499999999999991,6/8,0.79052734375
perm,dots≈copies (model),dots≈copies (user),480,"1, 2, 4, 8 copies",0.64375,0.65625,-0.012499999999999956,32/38,0.5504125118224712
perm,prefix (model),prefix (user),600,"9, 81, 153, 333, 341, 342, 690, 691 … tok",0.5816666666666667,0.5516666666666666,0.030000000000000027,60/42,0.09183767826908254
reach,dots (model),dots (user),840,"1, 5, 20, 70, 140, 340, 700 tok",0.888095238095238,0.8857142857142857,0.0023809523809523725,24/22,0.8829959121223965
reach,dots (model),prefix (model),322,"70, 140, 340, 700 tok",0.9906832298136646,0.9906832298136646,0.0,2/2,1.0
reach,dots (model),prefix (user),322,"70, 140, 340, 700 tok",0.9906832298136646,0.9875776397515528,0.0031055900621118626,3/2,1.0
reach,dots (user),prefix (model),322,"70, 140, 340, 700 tok",0.9875776397515528,0.9906832298136646,-0.0031055900621118626,1/2,1.0
reach,dots (user),prefix (user),322,"70, 140, 340, 700 tok",0.9875776397515528,0.9875776397515528,0.0,4/4,1.0
reach,prefix (model),prefix (user),600,"13, 64, 68, 72, 76, 80, 84, 88 … tok",0.9333333333333333,0.935,-0.0016666666666667052,11/12,1.0
stack,dots (model),dots (user),560,"1, 5, 20, 70, 140, 340, 700 tok",0.8642857142857143,0.8767857142857143,-0.012499999999999956,22/29,0.4010619910279374
stack,dots (model),prefix (model),320,"70, 140, 340, 700 tok",0.884375,0.9,-0.015625,10/15,0.42435622215270996
stack,dots (model),prefix (user),320,"70, 140, 340, 700 tok",0.884375,0.9125,-0.028124999999999956,9/18,0.12207812070846558
stack,dots (user),prefix (model),320,"70, 140, 340, 700 tok",0.915625,0.9,0.015625,12/7,0.359283447265625
stack,dots (user),prefix (user),320,"70, 140, 340, 700 tok",0.915625,0.9125,0.0031250000000000444,9/8,1.0
stack,prefix (model),prefix (user),400,"36, 67, 69, 71, 137, 139, 141, 324 … tok",0.89,0.895,-0.0050000000000000044,14/16,0.8555355519056321
xor,dots (model),dots (user),560,"1, 5, 20, 70, 140, 340, 700 tok",0.8267857142857142,0.7946428571428571,0.03214285714285714,61/43,0.09504367479940816
xor,dots (model),prefix (model),320,"70, 140, 340, 700 tok",0.81875,0.728125,0.09062499999999996,54/25,0.0014660719473423367
xor,dots (model),prefix (user),320,"70, 140, 340, 700 tok",0.81875,0.8,0.018749999999999933,36/30,0.5385827752459466
xor,dots (user),prefix (model),320,"70, 140, 340, 700 tok",0.775,0.728125,0.046875,49/34,0.12385305946180147
xor,dots (user),prefix (user),320,"70, 140, 340, 700 tok",0.775,0.8,-0.025000000000000022,28/36,0.3817327947933377
xor,prefix (model),prefix (user),400,"25, 26, 67, 68, 69, 70, 71, 138 … tok",0.73,0.7925,-0.0625,28/53,0.007275502036308492
