model,cell,dots,n,ignore-them,thinking-space,Δ,space>ignore / ignore>space,p
gpt-5.6-sol:none,aimepp AIME,256,34,0.23529411764705882,0.2647058823529412,0.02941176470588236,3/2,1.0
gpt-5.6-sol:none,aimepp AIME,1024,34,0.3235294117647059,0.29411764705882354,-0.02941176470588236,1/2,1.0
gpt-5.6-sol:none,aimepp AIME Hard,256,98,0.0,0.01020408163265306,0.01020408163265306,1/0,1.0
gpt-5.6-sol:none,aimepp AIME Hard,1024,98,0.01020408163265306,0.01020408163265306,0.0,0/0,1.0
gpt-5.6-sol:none,aimepp AIME-Graduate,256,20,0.0,0.0,0.0,0/0,1.0
gpt-5.6-sol:none,aimepp AIME-Graduate,1024,20,0.0,0.0,0.0,0/0,1.0
gpt-5.6-sol:none,arith15,256,100,0.15,0.17,0.020000000000000018,6/4,0.75390625
gpt-5.6-sol:none,arith15,1024,100,0.21,0.19,-0.01999999999999999,3/5,0.7265625
gpt-5.6-sol:none,nhop4,256,150,0.04,0.05333333333333334,0.013333333333333336,7/5,0.7744140625
gpt-5.6-sol:none,nhop4,1024,150,0.02666666666666667,0.03333333333333333,0.0066666666666666645,5/4,1.0
gpt-6-astra:low,aime,256,218,0.5825688073394495,0.5779816513761468,-0.004587155963302725,8/9,1.0
gpt-6-astra:low,aime,1024,218,0.6788990825688074,0.6697247706422018,-0.00917431192660556,6/8,0.79052734375
gpt-6-astra:low,aimepp AIME,256,34,0.7647058823529411,0.7941176470588235,0.02941176470588236,1/0,1.0
gpt-6-astra:low,aimepp AIME,1024,34,0.8823529411764706,0.8823529411764706,0.0,0/0,1.0
gpt-6-astra:low,aimepp AIME Hard,256,98,0.02040816326530612,0.01020408163265306,-0.01020408163265306,0/1,1.0
gpt-6-astra:low,aimepp AIME Hard,1024,98,0.01020408163265306,0.02040816326530612,0.01020408163265306,1/0,1.0
gpt-6-astra:low,aimepp AIME-Graduate,1024,20,0.05,0.1,0.05,1/0,1.0
gpt-6-astra:low,arith15,256,100,0.91,0.91,0.0,0/0,1.0
gpt-6-astra:low,arith15,1024,100,0.9,0.93,0.030000000000000027,4/1,0.375
gpt-6-astra:low,nhop2,256,150,0.9066666666666666,0.9266666666666666,0.020000000000000018,4/1,0.375
gpt-6-astra:low,nhop2,1024,150,0.92,0.9266666666666666,0.006666666666666599,2/1,1.0
gpt-6-astra:low,nhop3,256,150,0.76,0.7466666666666667,-0.013333333333333308,1/3,0.625
gpt-6-astra:low,nhop3,1024,150,0.76,0.7533333333333333,-0.00666666666666671,3/4,1.0
gpt-6-astra:low,nhop4,256,150,0.32666666666666666,0.32,-0.006666666666666654,8/9,1.0
gpt-6-astra:low,nhop4,1024,150,0.44666666666666666,0.4266666666666667,-0.019999999999999962,7/10,0.629058837890625
gpt-6-astra:low,nhop5,256,150,0.14,0.16,0.01999999999999999,11/8,0.6476058959960938
gpt-6-astra:low,nhop5,1024,150,0.26,0.25333333333333335,-0.006666666666666654,8/9,1.0
gpt-6-astra:low,nhop6,256,150,0.06666666666666667,0.04,-0.026666666666666665,2/6,0.2890625
gpt-6-astra:low,nhop6,1024,150,0.08,0.05333333333333334,-0.026666666666666665,3/7,0.34375
gpt-6-astra:low,nhop7,256,150,0.05333333333333334,0.06,0.006666666666666661,4/3,1.0
gpt-6-astra:low,nhop7,1024,150,0.06,0.04,-0.019999999999999997,1/4,0.375
