model_eff,task,depth,arm,k0_acc,threshold_tokens,acc_at_max,max_tokens,compliant
gpt-5.6-sol:none,perm,2,XB,0.95,1.0,1.0,8,1.0
gpt-5.6-sol:none,perm,3,XB,0.20833333333333334,1.0,1.0,140,1.0
gpt-5.6-sol:none,perm,4,XB,0.15833333333333333,inf,0.375,140,1.0
gpt-5.6-sol:none,perm,6,XB,0.16666666666666666,inf,0.1,140,1.0
gpt-5.6-sol:none,perm,8,XB,0.0875,inf,0.125,140,1.0
gpt-5.6-sol:none,perm,12,XB,0.125,inf,0.1,8,1.0
gpt-5.6-sol:none,lookup,3,XB,0.75,1.0,1.0,700,1.0
gpt-5.6-sol:none,lookup,4,XB,0.1,1.0,0.875,700,1.0
gpt-5.6-sol:none,modchain,4,XB,0.7875,inf,0.725,700,1.0
gpt-5.6-sol:none,modchain,6,XB,0.375,inf,0.5,700,1.0
gpt-5.6-sol:none,reach,3,XB,0.725,5.0,0.875,700,1.0
gpt-5.6-sol:none,reach,4,XB,0.5875,inf,0.625,700,1.0
gpt-5.6-sol:none,stack,8,XB,0.7375,5.0,0.875,700,1.0
gpt-5.6-sol:none,stack,12,XB,0.55,inf,0.6,700,1.0
gpt-5.6-sol:none,xor,24,XB,0.85,1.0,1.0,700,1.0
gpt-5.6-sol:none,xor,32,XB,0.5875,1.0,0.875,700,1.0
gpt-6-astra:low,perm,2,XB,1.0,1.0,1.0,8,1.0
gpt-6-astra:low,perm,3,XB,1.0,1.0,1.0,140,1.0
gpt-6-astra:low,perm,4,XB,0.975,1.0,1.0,140,1.0
gpt-6-astra:low,perm,6,XB,0.5833333333333334,1.0,1.0,140,1.0
gpt-6-astra:low,perm,8,XB,0.05,1.0,0.975,140,1.0
gpt-6-astra:low,perm,12,XB,0.1125,2.0,0.575,8,1.0
gpt-6-astra:low,lookup,4,XB,0.95,1.0,1.0,700,1.0
gpt-6-astra:low,lookup,6,XB,0.75,1.0,1.0,700,1.0
gpt-6-astra:low,lookup,8,XB,0.5125,1.0,1.0,700,1.0
gpt-6-astra:low,modchain,8,XB,0.8875,1.0,0.925,700,1.0
gpt-6-astra:low,modchain,12,XB,0.5875,1.0,0.85,700,0.996875
gpt-6-astra:low,reach,4,XB,0.9125,1.0,1.0,700,1.0
gpt-6-astra:low,reach,6,XB,0.7125,1.0,1.0,700,1.0
gpt-6-astra:low,reach,8,XB,0.6125,1.0,1.0,700,1.0
gpt-6-astra:low,stack,24,XB,0.95,1.0,1.0,700,1.0
gpt-6-astra:low,stack,32,XB,0.725,1.0,0.85,700,1.0
gpt-6-astra:low,xor,48,XB,0.925,1.0,0.95,700,0.9928571428571429
gpt-6-astra:low,xor,64,XB,0.625,1.0,0.65,700,0.9714285714285714
