model_eff,task,depth,arm,k0_acc,threshold_tokens,acc_at_max,max_tokens,n_min,compliant
claude-opus-5:off,perm,2,XB,0.825,1.0,0.7,700,40,0.9571428571428572
claude-opus-5:off,perm,2,XC,0.825,inf,0.0,700,40,0.021428571428571432
claude-opus-5:off,perm,3,XB,0.15,140.0,0.4,700,40,0.9464285714285714
claude-opus-5:off,perm,3,XC,0.15,inf,0.0,700,40,0.028571428571428574
claude-opus-5:off,lookup,3,XB,0.7,inf,0.5,700,40,0.9500000000000001
claude-opus-5:off,lookup,3,XC,0.7,inf,0.0,700,40,0.09285714285714287
claude-opus-5:off,lookup,4,XB,0.375,inf,0.275,700,40,0.9321428571428572
claude-opus-5:off,lookup,4,XC,0.375,inf,0.0,700,40,0.07142857142857142
claude-opus-5:off,modchain,4,XB,0.575,inf,0.375,700,40,0.9749999999999999
claude-opus-5:off,modchain,4,XC,0.575,inf,0.0,700,40,0.075
claude-opus-5:off,modchain,6,XB,0.275,inf,0.325,700,40,0.9928571428571429
claude-opus-5:off,modchain,6,XC,0.275,inf,0.0,700,40,0.08214285714285714
qwen/qwen3.5-397b-a17b:off,perm,2,XB,0.075,inf,0.075,700,40,1.0
qwen/qwen3.5-397b-a17b:off,perm,2,XC,0.075,inf,0.075,700,40,0.8678571428571429
qwen/qwen3.5-397b-a17b:off,perm,3,XB,0.075,inf,0.125,700,40,1.0
qwen/qwen3.5-397b-a17b:off,perm,3,XC,0.075,inf,0.15,700,40,0.8571428571428571
qwen/qwen3.5-397b-a17b:off,lookup,2,XB,0.2,inf,0.075,700,40,1.0
qwen/qwen3.5-397b-a17b:off,lookup,2,XC,0.2,inf,0.1,700,40,0.8892857142857143
qwen/qwen3.5-397b-a17b:off,lookup,3,XB,0.225,inf,0.2,700,40,1.0
qwen/qwen3.5-397b-a17b:off,lookup,3,XC,0.225,inf,0.175,700,40,0.8535714285714285
qwen/qwen3.5-397b-a17b:off,modchain,3,XB,0.4,inf,0.325,700,40,1.0
qwen/qwen3.5-397b-a17b:off,modchain,3,XC,0.4,inf,0.325,700,40,0.85
qwen/qwen3.5-397b-a17b:off,modchain,4,XB,0.3,inf,0.325,700,40,1.0
qwen/qwen3.5-397b-a17b:off,modchain,4,XC,0.3,inf,0.325,700,40,0.85
deepseek/deepseek-v3.2:off,perm,2,XB,0.125,inf,0.15,700,40,1.0
deepseek/deepseek-v3.2:off,perm,2,XC,0.125,inf,0.125,700,40,0.6928571428571428
deepseek/deepseek-v3.2:off,perm,3,XB,0.125,inf,0.125,700,40,1.0
deepseek/deepseek-v3.2:off,perm,3,XC,0.125,inf,0.175,700,40,0.6964285714285714
deepseek/deepseek-v3.2:off,lookup,2,XB,0.325,inf,0.25,700,40,1.0
deepseek/deepseek-v3.2:off,lookup,2,XC,0.325,inf,0.3,700,40,0.7000000000000001
deepseek/deepseek-v3.2:off,lookup,3,XB,0.2,inf,0.2,700,40,1.0
deepseek/deepseek-v3.2:off,lookup,3,XC,0.2,inf,0.225,700,40,0.7000000000000001
deepseek/deepseek-v3.2:off,modchain,3,XB,0.6,inf,0.525,700,40,1.0
deepseek/deepseek-v3.2:off,modchain,3,XC,0.6,inf,0.375,700,40,0.6357142857142858
deepseek/deepseek-v3.2:off,modchain,4,XB,0.375,inf,0.3,700,40,1.0
