model_eff,arm,depth,k,n,acc,k0_acc,gain,se,compliant
anthropic/claude-opus-4.1:off,B,3,1,6,0.8333333333333334,0.0,1.1428571428571428,,1.0
anthropic/claude-opus-4.1:off,B,3,2,6,0.6666666666666666,0.0,0.7619047619047619,0.26937401188058957,1.0
anthropic/claude-opus-4.1:off,B,3,4,5,0.8,,,,1.0
anthropic/claude-opus-4.1:off,B,3,8,9,0.7777777777777778,0.0,1.1428571428571428,0.0,1.0
anthropic/claude-opus-4.1:off,B,4,1,8,0.0,,,,1.0
anthropic/claude-opus-4.1:off,B,4,2,5,0.0,,,,1.0
anthropic/claude-opus-4.1:off,B,4,4,7,0.14285714285714285,0.5,0.0,0.0,1.0
anthropic/claude-opus-4.1:off,B,4,8,9,0.3333333333333333,0.0,0.5714285714285714,0.2693740118805895,1.0
anthropic/claude-opus-4.1:off,B,6,1,10,0.2,0.0,0.0,0.0,1.0
anthropic/claude-opus-4.1:off,B,6,2,9,0.0,0.0,0.0,,1.0
anthropic/claude-opus-4.1:off,B,6,4,9,0.1111111111111111,0.0,0.0,,1.0
anthropic/claude-opus-4.1:off,B,6,8,7,0.0,,,,1.0
anthropic/claude-opus-4.1:off,B,8,1,9,0.0,0.0,0.0,0.0,1.0
anthropic/claude-opus-4.1:off,B,8,2,8,0.0,0.0,0.0,0.0,1.0
anthropic/claude-opus-4.1:off,B,8,4,8,0.0,0.3333333333333333,-0.38095238095238093,0.23328473740792172,1.0
anthropic/claude-opus-4.1:off,B,8,8,9,0.1111111111111111,0.75,-0.5714285714285714,0.219942959691286,1.0
anthropic/claude-opus-4.1:off,DB,3,1,3,0.0,0.0,0.0,,1.0
anthropic/claude-opus-4.1:off,DB,3,2,10,0.2,0.0,0.0,0.0,1.0
anthropic/claude-opus-4.1:off,DB,3,4,7,0.14285714285714285,0.0,0.0,0.0,1.0
anthropic/claude-opus-4.1:off,DB,3,8,6,0.16666666666666666,0.0,0.0,,1.0
anthropic/claude-opus-4.1:off,DB,4,1,9,0.1111111111111111,,,,1.0
anthropic/claude-opus-4.1:off,DB,4,2,9,0.1111111111111111,,,,0.8888888888888888
anthropic/claude-opus-4.1:off,DB,4,4,10,0.0,0.0,0.0,,1.0
anthropic/claude-opus-4.1:off,DB,4,8,6,0.0,,,,1.0
anthropic/claude-opus-4.1:off,DB,6,1,11,0.0,0.5,-0.5714285714285714,0.24365796154926905,1.0
anthropic/claude-opus-4.1:off,DB,6,2,12,0.08333333333333333,0.0,0.0,,1.0
anthropic/claude-opus-4.1:off,DB,6,4,6,0.16666666666666666,1.0,0.0,,1.0
anthropic/claude-opus-4.1:off,DB,6,8,5,0.4,,,,1.0
