model_eff,gain_copies,gain_copies_se,gain_copies_k1,gain_copies_k8,slope_copies,gain_dots,gain_dots_se,gain_dots_k1,gain_dots_k8,slope_dots,k0_norm_acc,model,release,family,label
meta-llama/llama-3.3-70b-instruct:default,0.04285714285714286,0.0391780443931315,0.11428571428571428,-0.23809523809523808,-0.08761904761904768,-0.023809523809523808,0.033297337969507006,-0.14285714285714285,0.023809523809523808,0.03333333333333335,0.036309523809523805,meta-llama/llama-3.3-70b-instruct,2024-12-06,open,llama-3.3-70b-instruct
deepseek/deepseek-chat-v3-0324:default,0.08253968253968254,0.029848359278842065,0.0,0.0,0.026190476190476198,0.05170068027210884,0.02006830466971947,0.0,0.014285714285714284,0.004285714285714282,-0.1251231527093596,deepseek/deepseek-chat-v3-0324,2025-03-24,open,deepseek-chat-v3-0324
meta-llama/llama-4-maverick:default,-0.07976190476190476,0.05718516027656862,-0.05714285714285714,-0.09523809523809523,-0.009047619047619042,-0.01853741496598639,0.029513856200137616,-0.047619047619047616,0.08571428571428572,0.07027210884353743,0.02534013605442177,meta-llama/llama-4-maverick,2025-04-05,open,llama-4-maverick
anthropic/claude-sonnet-4:off,0.20634920634920637,0.03306500356330541,0.2857142857142857,0.14285714285714285,-0.0682539682539683,0.025396825396825397,0.015586992159713741,0.0,0.0,0.009523809523809523,-0.04409171075837742,anthropic/claude-sonnet-4,2025-05-22,anthropic,claude-sonnet-4
google/gemini-2.5-flash:off,-0.12925170068027209,0.03133027993443586,0.0,-0.3571428571428571,-0.0976190476190476,0.033333333333333326,0.03548680387283655,-0.23809523809523808,0.42857142857142855,0.21333333333333343,0.06603174603174605,google/gemini-2.5-flash,2025-06-17,google,gemini-2.5-flash
qwen/qwen3-235b-a22b-2507:default,-0.041666666666666664,0.0385642745675004,0.0,-0.14285714285714285,-0.04047619047619048,0.08095238095238094,0.026054327370829244,0.14285714285714285,0.23809523809523808,0.03428571428571427,-0.08095238095238094,qwen/qwen3-235b-a22b-2507,2025-07-21,open,qwen3-235b-a22b-2507
anthropic/claude-opus-4.1:off,0.2222222222222222,0.031119815756662943,0.38095238095238093,0.38095238095238093,-0.038095238095238126,-0.09523809523809523,0.025633591520188334,-0.19047619047619047,0.0,0.07619047619047625,0.05158730158730159,anthropic/claude-opus-4.1,2025-08-05,anthropic,claude-opus-4.1
moonshotai/kimi-k2-0905:default,-0.001360544217687078,0.03455335446076151,0.07619047619047618,-0.23809523809523808,-0.16000000000000003,0.03428571428571428,0.03404767776993423,0.047619047619047616,-0.14285714285714285,-0.07031746031746033,-0.03645320197044335,moonshotai/kimi-k2-0905,2025-09-04,open,kimi-k2-0905
anthropic/claude-sonnet-4.5:off,0.12698412698412698,0.032350772404131305,0.19047619047619047,0.14285714285714285,-0.02380952380952385,0.20512820512820512,0.02480339098780485,0.2857142857142857,0.09523809523809523,-0.033333333333333395,-0.14285714285714285,anthropic/claude-sonnet-4.5,2025-09-29,anthropic,claude-sonnet-4.5
anthropic/claude-opus-4.5:off,0.36363636363636365,0.055328333517248814,0.0,-0.19047619047619047,-0.057142857142857134,-0.013605442176870748,0.022535350578572512,-0.25396825396825395,0.19047619047619047,0.13333333333333336,0.017142857142857154,anthropic/claude-opus-4.5,2025-11-24,anthropic,claude-opus-4.5
