model_eff,n,th50_min,th50_lo,th50_hi,th80_min,th80_lo,th80_hi,slope,intercept,norm_acc,model,release,family,label
gpt-4o:default,1920,0.355094262540786,0.3421049445784693,0.3689975305365148,0.2850255903295566,0.27204742859816405,0.2968678985684563,-4.371643136377336,-6.530037211296841,0.3334366732804233,gpt-4o,2024-05-13,openai,gpt-4o
meta-llama/llama-3.3-70b-instruct:default,1920,0.3293572463381002,0.31721556090284425,0.3421165092401445,0.26039415318039333,0.2394015026864418,0.27406845831097804,-4.089891880719288,-6.553130707578949,0.30185391865079364,meta-llama/llama-3.3-70b-instruct,2024-12-06,open,llama-3.3-70b-instruct
deepseek/deepseek-chat-v3-0324:default,1920,0.36537772284385533,0.348138200837649,0.38195713839255396,0.24992701571814654,0.22346232622271484,0.2710740477105277,-2.530279916906199,-3.6753313220772412,0.36180555555555555,deepseek/deepseek-chat-v3-0324,2025-03-24,open,deepseek-chat-v3-0324
meta-llama/llama-4-maverick:default,1920,0.3536746094212405,0.3411200784759052,0.37036024439518256,0.29132052668772396,0.2778465928078823,0.30026396796138705,-4.954319513002357,-7.429029082767615,0.3326781580687831,meta-llama/llama-4-maverick,2025-04-05,open,llama-4-maverick
gpt-4.1:default,1920,0.365578890676776,0.35192294013475933,0.3827630209765339,0.2833146200470964,0.267265145210015,0.2967823402348854,-3.769381065291547,-5.47218134513677,0.3568834738756614,gpt-4.1,2025-04-14,openai,gpt-4.1
anthropic/claude-sonnet-4:off,1920,0.42741975661851966,0.40604829558772493,0.4530045891126163,0.24748096386627164,0.2207956120161292,0.26858312603413553,-1.7585069000936524,-2.156412169082134,0.42888558201058197,anthropic/claude-sonnet-4,2025-05-22,anthropic,claude-sonnet-4
google/gemini-2.5-flash:off,1920,0.37303035737324497,0.3582688344866472,0.3915752261348563,0.28994552706302384,0.2752575200910087,0.3013555493909704,-3.8136225597605664,-5.42539313043381,0.3588779348544973,google/gemini-2.5-flash,2025-06-17,google,gemini-2.5-flash
qwen/qwen3-235b-a22b-2507:default,1920,0.36681256879456214,0.35052422998994964,0.3862299819603307,0.2622201885705124,0.23647211944824442,0.28349385359893775,-2.862681255644361,-4.141970629581759,0.3896505042989418,qwen/qwen3-235b-a22b-2507,2025-07-21,open,qwen3-235b-a22b-2507
anthropic/claude-opus-4.1:off,1920,0.4252865389258247,0.4026511087307252,0.4500321253627451,0.2773155003945175,0.2575600630873873,0.2970416662832046,-2.247169359668516,-2.7718674571272306,0.457988177910053,anthropic/claude-opus-4.1,2025-08-05,anthropic,claude-opus-4.1
gpt-5:minimal,1920,0.37160539598363757,0.3567518951799445,0.3888110599451507,0.28263976659422035,0.2629722026596683,0.29591079419295174,-3.511321743454891,-5.014717477212997,0.360566509589947,gpt-5,2025-08-07,openai,gpt-5
moonshotai/kimi-k2-0905:default,1920,0.3680162071705656,0.3540620723553865,0.3842114353356896,0.2795696424305304,0.2626862155453833,0.2940447740741245,-3.49578575280246,-5.041478158171313,0.3429253472222223,moonshotai/kimi-k2-0905,2025-09-04,open,kimi-k2-0905
anthropic/claude-sonnet-4.5:off,1920,0.3910533585948757,0.3797366772576964,0.40819113250603334,0.29355638124092204,0.28250091650340914,0.30646361458525373,-3.3507397181221776,-4.538786773296995,0.24640170304232803,anthropic/claude-sonnet-4.5,2025-09-29,anthropic,claude-sonnet-4.5
claude-haiku-4-5:off,1920,0.3518182454536369,0.3374392490123125,0.3687842378934414,0.2714321122757557,0.2512808872520226,0.2850039280332438,-3.704303295764915,-5.582747315422143,0.3161551339285714,claude-haiku-4-5,2025-10-15,anthropic,claude-haiku-4-5
gpt-5.1:none,1920,0.38313246889984737,0.3638248867043125,0.40091678090181776,0.2806857226034117,0.2665110652232537,0.2962162186636764,-3.088288302102259,-4.274452901521316,0.34209449404761905,gpt-5.1,2025-11-13,openai,gpt-5.1
anthropic/claude-opus-4.5:off,1920,0.47425129511888,0.45265824711566177,0.5043290244061003,0.2812637479709686,0.2602041894219872,0.3029791519873437,-1.8392499440026588,-1.979541274279966,0.4714812748015873,anthropic/claude-opus-4.5,2025-11-24,anthropic,claude-opus-4.5
deepseek/deepseek-v3.2:off,1920,0.3622825242359621,0.34486357270205487,0.37760538908305263,0.24207119619698406,0.2208067003026425,0.2632330092300414,-2.3832439286826705,-3.4910064030591537,0.36242662863756614,deepseek/deepseek-v3.2,2025-12-01,open,deepseek-v3.2
mistralai/mistral-large-2512:default,1920,0.3696644069593083,0.35388871565798946,0.387527775336076,0.2763091153919813,0.2566393050494475,0.2912492719709043,-3.301227613971604,-4.739611948880158,0.33327442956349207,mistralai/mistral-large-2512,2025-12-01,open,mistral-large-2512
gpt-5.2:none,1920,0.4185746124479667,0.39858335852295906,0.4418003964958788,0.29786738709238725,0.2826347252285885,0.31335332969046364,-2.8244764048420685,-3.5487944084016316,0.4238198578042328,gpt-5.2,2025-12-11,openai,gpt-5.2
anthropic/claude-opus-4.6:off,1920,0.46838005544080963,0.4452008041854358,0.4920537664170002,0.30637877857201107,0.28940410428002755,0.32114468770933813,-2.263843087504664,-2.4772067908571316,0.4746207423941799,anthropic/claude-opus-4.6,2026-02-04,anthropic,claude-opus-4.6
qwen/qwen3.5-397b-a17b:off,1920,0.3604750616933574,0.3474003073424276,0.3781657809013384,0.26899309625413376,0.25148606068009494,0.2845748212436001,-3.282488453884059,-4.831917015180165,0.3503751240079365,qwen/qwen3.5-397b-a17b,2026-02-16,open,qwen3.5-397b-a17b
claude-sonnet-4-6:off,1920,0.4456073921681756,0.43237828663525985,0.45914283359364033,0.3615144600998396,0.3471094529098438,0.3745644068029642,-4.594641479846222,-5.358063809558168,0.3745101686507937,claude-sonnet-4-6,2026-02-17,anthropic,claude-sonnet-4-6
gpt-5.4:none,1920,0.437974487205886,0.4194010037484391,0.46038376044800244,0.3184747781188123,0.3057973360447908,0.330815544236131,-3.015861952928039,-3.592136661422555,0.4542131696428572,gpt-5.4,2026-03-05,openai,gpt-5.4
x-ai/grok-4.20:off,1920,0.36303271682966615,0.34954846384885574,0.3805295107443105,0.27722188524999025,0.2582103177614752,0.29046566247988514,-3.5632036354755945,-5.208792710637516,0.34713128306878305,x-ai/grok-4.20,2026-03-31,x-ai,grok-4.20
anthropic/claude-opus-4.7:off,1920,0.473499447323034,0.44596401195605456,0.5008185622585817,0.31056027339092757,0.2925238362343046,0.3287785955031386,-2.278255382062834,-2.4572473206794765,0.4864697007275132,anthropic/claude-opus-4.7,2026-04-16,anthropic,claude-opus-4.7
moonshotai/kimi-k2.6:off,1920,0.3871406481342141,0.36834880645406404,0.4061886992933833,0.27520431588312394,0.25732632855972987,0.2909722068245858,-2.8156415870545652,-3.854811279077217,0.3865844080687831,moonshotai/kimi-k2.6,2026-04-20,open,kimi-k2.6
gpt-5.5:none,1920,0.4977423577079587,0.4742520515858639,0.5365396551670946,0.31809131312580635,0.3019301254447166,0.3348205592357051,-2.1461053962159964,-2.1601171676554816,0.5386098710317461,gpt-5.5,2026-04-23,openai,gpt-5.5
