model_eff,arm,x,n,parse_rate,compliant,acc_all,acc_parsed,acc_compliant
claude-fable-5-1:low,B,0.0,120,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664
claude-fable-5-1:low,XB,1.0,120,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
claude-fable-5-1:low,XB,2.0,120,1.0,1.0,0.35,0.35,0.35
claude-fable-5-1:low,XB,5.0,120,1.0,1.0,0.31666666666666665,0.31666666666666665,0.31666666666666665
claude-fable-5-1:low,XB,10.0,120,1.0,1.0,0.38333333333333336,0.38333333333333336,0.38333333333333336
claude-fable-5-1:low,XB,20.0,120,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
claude-fable-5-1:low,XB,40.0,120,1.0,1.0,0.4,0.4,0.4
claude-fable-5-1:low,XB,70.0,120,1.0,1.0,0.38333333333333336,0.38333333333333336,0.38333333333333336
claude-fable-5-1:low,XB,140.0,120,1.0,1.0,0.4,0.4,0.4
claude-fable-5-1:low,XC,1.0,120,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
claude-fable-5-1:low,XC,2.0,120,1.0,1.0,0.325,0.325,0.325
claude-fable-5-1:low,XC,5.0,120,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664
claude-fable-5-1:low,XC,10.0,120,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664
claude-fable-5-1:low,XC,20.0,120,1.0,1.0,0.38333333333333336,0.38333333333333336,0.38333333333333336
claude-fable-5-1:low,XC,40.0,120,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664
claude-fable-5-1:low,XC,70.0,120,1.0,1.0,0.4083333333333333,0.4083333333333333,0.4083333333333333
claude-fable-5-1:low,XC,140.0,120,1.0,1.0,0.48333333333333334,0.48333333333333334,0.48333333333333334
deepseek/deepseek-chat-v3-0324:default,B,0.0,160,1.0,1.0,0.24375,0.24375,0.24375
deepseek/deepseek-chat-v3-0324:default,XB,1.0,160,0.9875,0.9875,0.20625,0.2088607594936709,0.2088607594936709
deepseek/deepseek-chat-v3-0324:default,XB,5.0,160,0.99375,0.99375,0.175,0.1761006289308176,0.1761006289308176
deepseek/deepseek-chat-v3-0324:default,XB,20.0,160,1.0,1.0,0.225,0.225,0.225
deepseek/deepseek-chat-v3-0324:default,XB,70.0,160,1.0,1.0,0.18125,0.18125,0.18125
deepseek/deepseek-chat-v3-0324:default,XB,140.0,160,1.0,1.0,0.23125,0.23125,0.23125
deepseek/deepseek-chat-v3-0324:default,XB,340.0,159,1.0,1.0,0.23270440251572327,0.23270440251572327,0.23270440251572327
deepseek/deepseek-chat-v3-0324:default,XB,700.0,160,1.0,1.0,0.2375,0.2375,0.2375
deepseek/deepseek-chat-v3-0324:default,XC,1.0,159,0.9937106918238994,0.29559748427672955,0.2138364779874214,0.21518987341772153,0.1702127659574468
deepseek/deepseek-chat-v3-0324:default,XC,5.0,159,0.9937106918238994,0.9937106918238994,0.18238993710691823,0.18354430379746836,0.18354430379746836
deepseek/deepseek-chat-v3-0324:default,XC,20.0,160,0.98125,0.7375,0.2125,0.21656050955414013,0.22033898305084745
deepseek/deepseek-chat-v3-0324:default,XC,70.0,160,0.96875,0.85625,0.21875,0.22580645161290322,0.24087591240875914
deepseek/deepseek-chat-v3-0324:default,XC,140.0,160,0.96875,0.75625,0.1625,0.16774193548387098,0.1652892561983471
deepseek/deepseek-chat-v3-0324:default,XC,340.0,159,0.8742138364779874,0.3018867924528302,0.16352201257861634,0.18705035971223022,0.25
deepseek/deepseek-chat-v3-0324:default,XC,700.0,160,0.8875,0.05625,0.1625,0.18309859154929578,0.4444444444444444
gpt-4o:default,B,0.0,520,1.0,1.0,0.42115384615384616,0.42115384615384616,0.42115384615384616
gpt-4o:default,XB,1.0,520,1.0,1.0,0.4230769230769231,0.4230769230769231,0.4230769230769231
gpt-4o:default,XB,5.0,520,1.0,1.0,0.4230769230769231,0.4230769230769231,0.4230769230769231
gpt-4o:default,XB,20.0,520,1.0,1.0,0.4480769230769231,0.4480769230769231,0.4480769230769231
gpt-4o:default,XB,70.0,520,1.0,1.0,0.4307692307692308,0.4307692307692308,0.4307692307692308
gpt-4o:default,XB,140.0,520,1.0,1.0,0.4442307692307692,0.4442307692307692,0.4442307692307692
gpt-4o:default,XB,340.0,520,1.0,1.0,0.4288461538461538,0.4288461538461538,0.4288461538461538
gpt-4o:default,XB,700.0,520,1.0,1.0,0.4288461538461538,0.4288461538461538,0.4288461538461538
gpt-4o:default,XC,1.0,520,0.9846153846153847,0.12884615384615383,0.4076923076923077,0.4140625,0.40298507462686567
gpt-4o:default,XC,5.0,520,0.9942307692307693,0.9192307692307692,0.45384615384615384,0.4564796905222437,0.4560669456066946
gpt-4o:default,XC,20.0,520,0.9980769230769231,0.26153846153846155,0.40384615384615385,0.4046242774566474,0.4264705882352941
gpt-4o:default,XC,70.0,520,1.0,0.23653846153846153,0.46153846153846156,0.46153846153846156,0.4715447154471545
gpt-4o:default,XC,140.0,520,0.9980769230769231,0.38076923076923075,0.4403846153846154,0.441233140655106,0.4090909090909091
gpt-4o:default,XC,340.0,520,0.9865384615384616,0.13846153846153847,0.4269230769230769,0.4327485380116959,0.5
gpt-4o:default,XC,700.0,520,0.9980769230769231,0.0,0.45,0.4508670520231214,
gpt-5.6-sol:none,B,0.0,1160,1.0,1.0,0.4698275862068966,0.4698275862068966,0.4698275862068966
gpt-5.6-sol:none,PB,9.0,120,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
gpt-5.6-sol:none,PB,13.0,80,1.0,1.0,0.6125,0.6125,0.6125
gpt-5.6-sol:none,PB,25.0,33,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-5.6-sol:none,PB,26.0,47,1.0,1.0,0.7446808510638298,0.7446808510638298,0.7446808510638298
gpt-5.6-sol:none,PB,33.0,80,1.0,1.0,0.5,0.5,0.5
gpt-5.6-sol:none,PB,36.0,80,1.0,1.0,0.725,0.725,0.725
gpt-5.6-sol:none,PB,60.0,2,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,64.0,18,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
gpt-5.6-sol:none,PB,66.0,13,1.0,1.0,0.5384615384615384,0.5384615384615384,0.5384615384615384
gpt-5.6-sol:none,PB,67.0,48,1.0,1.0,0.5416666666666666,0.5416666666666666,0.5416666666666666
gpt-5.6-sol:none,PB,68.0,64,1.0,1.0,0.640625,0.640625,0.640625
gpt-5.6-sol:none,PB,69.0,50,1.0,1.0,0.84,0.84,0.84
gpt-5.6-sol:none,PB,70.0,17,1.0,1.0,0.7647058823529411,0.7647058823529411,0.7647058823529411
gpt-5.6-sol:none,PB,71.0,59,1.0,1.0,0.711864406779661,0.711864406779661,0.711864406779661
gpt-5.6-sol:none,PB,72.0,41,1.0,1.0,0.5365853658536586,0.5365853658536586,0.5365853658536586
gpt-5.6-sol:none,PB,73.0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,74.0,164,1.0,1.0,0.9390243902439024,0.9390243902439024,0.9390243902439024
gpt-5.6-sol:none,PB,78.0,1,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,81.0,120,1.0,1.0,0.4083333333333333,0.4083333333333333,0.4083333333333333
gpt-5.6-sol:none,PB,134.0,1,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,136.0,2,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,137.0,7,1.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
gpt-5.6-sol:none,PB,138.0,27,1.0,1.0,0.5925925925925926,0.5925925925925926,0.5925925925925926
gpt-5.6-sol:none,PB,139.0,34,1.0,1.0,0.7058823529411765,0.7058823529411765,0.7058823529411765
gpt-5.6-sol:none,PB,140.0,40,1.0,1.0,0.625,0.625,0.625
gpt-5.6-sol:none,PB,141.0,85,1.0,1.0,0.8235294117647058,0.8235294117647058,0.8235294117647058
gpt-5.6-sol:none,PB,142.0,52,1.0,1.0,0.6923076923076923,0.6923076923076923,0.6923076923076923
gpt-5.6-sol:none,PB,143.0,8,1.0,1.0,0.75,0.75,0.75
gpt-5.6-sol:none,PB,144.0,18,1.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778
gpt-5.6-sol:none,PB,145.0,2,1.0,1.0,0.5,0.5,0.5
gpt-5.6-sol:none,PB,146.0,4,1.0,1.0,0.75,0.75,0.75
gpt-5.6-sol:none,PB,148.0,3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-5.6-sol:none,PB,150.0,18,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
gpt-5.6-sol:none,PB,153.0,80,1.0,1.0,0.1375,0.1375,0.1375
gpt-5.6-sol:none,PB,158.0,32,1.0,1.0,0.71875,0.71875,0.71875
gpt-5.6-sol:none,PB,166.0,27,1.0,1.0,0.48148148148148145,0.48148148148148145,0.48148148148148145
gpt-5.6-sol:none,PB,174.0,80,1.0,1.0,0.975,0.975,0.975
gpt-5.6-sol:none,PB,324.0,14,1.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
gpt-5.6-sol:none,PB,325.0,1,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,327.0,40,1.0,1.0,0.975,0.975,0.975
gpt-5.6-sol:none,PB,330.0,4,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,333.0,5,1.0,1.0,0.6,0.6,0.6
gpt-5.6-sol:none,PB,334.0,43,1.0,1.0,0.4418604651162791,0.4418604651162791,0.4418604651162791
gpt-5.6-sol:none,PB,335.0,3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-5.6-sol:none,PB,336.0,5,1.0,1.0,0.6,0.6,0.6
gpt-5.6-sol:none,PB,337.0,24,1.0,1.0,0.5833333333333334,0.5833333333333334,0.5833333333333334
gpt-5.6-sol:none,PB,338.0,47,1.0,1.0,0.7021276595744681,0.7021276595744681,0.7021276595744681
gpt-5.6-sol:none,PB,339.0,29,1.0,1.0,0.8620689655172413,0.8620689655172413,0.8620689655172413
gpt-5.6-sol:none,PB,340.0,2,1.0,1.0,0.5,0.5,0.5
gpt-5.6-sol:none,PB,341.0,26,1.0,1.0,0.6538461538461539,0.6538461538461539,0.6538461538461539
gpt-5.6-sol:none,PB,342.0,70,1.0,1.0,0.3142857142857143,0.3142857142857143,0.3142857142857143
gpt-5.6-sol:none,PB,343.0,15,1.0,1.0,0.4666666666666667,0.4666666666666667,0.4666666666666667
gpt-5.6-sol:none,PB,344.0,41,1.0,1.0,0.7317073170731707,0.7317073170731707,0.7317073170731707
gpt-5.6-sol:none,PB,345.0,10,1.0,1.0,0.9,0.9,0.9
gpt-5.6-sol:none,PB,346.0,12,1.0,1.0,0.5833333333333334,0.5833333333333334,0.5833333333333334
gpt-5.6-sol:none,PB,347.0,3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-5.6-sol:none,PB,348.0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,354.0,43,1.0,1.0,0.5116279069767442,0.5116279069767442,0.5116279069767442
gpt-5.6-sol:none,PB,374.0,80,1.0,1.0,0.975,0.975,0.975
gpt-5.6-sol:none,PB,568.0,10,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,576.0,14,1.0,1.0,0.7857142857142857,0.7857142857142857,0.7857142857142857
gpt-5.6-sol:none,PB,584.0,14,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
gpt-5.6-sol:none,PB,592.0,2,1.0,1.0,0.5,0.5,0.5
gpt-5.6-sol:none,PB,624.0,1,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,656.0,2,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,671.0,27,1.0,1.0,0.48148148148148145,0.48148148148148145,0.48148148148148145
gpt-5.6-sol:none,PB,688.0,25,1.0,1.0,0.88,0.88,0.88
gpt-5.6-sol:none,PB,693.0,8,1.0,1.0,0.75,0.75,0.75
gpt-5.6-sol:none,PB,694.0,8,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,695.0,4,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,696.0,49,1.0,1.0,0.4489795918367347,0.4489795918367347,0.4489795918367347
gpt-5.6-sol:none,PB,697.0,30,1.0,1.0,0.6333333333333333,0.6333333333333333,0.6333333333333333
gpt-5.6-sol:none,PB,698.0,55,1.0,1.0,0.6727272727272727,0.6727272727272727,0.6727272727272727
gpt-5.6-sol:none,PB,699.0,21,1.0,1.0,0.6190476190476191,0.6190476190476191,0.6190476190476191
gpt-5.6-sol:none,PB,700.0,83,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156
gpt-5.6-sol:none,PB,701.0,23,1.0,1.0,0.6956521739130435,0.6956521739130435,0.6956521739130435
gpt-5.6-sol:none,PB,702.0,4,1.0,1.0,0.75,0.75,0.75
gpt-5.6-sol:none,PB,703.0,6,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,704.0,35,1.0,1.0,0.9142857142857143,0.9142857142857143,0.9142857142857143
gpt-5.6-sol:none,PB,705.0,46,1.0,1.0,0.9782608695652174,0.9782608695652174,0.9782608695652174
gpt-5.6-sol:none,PB,706.0,7,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,707.0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,708.0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PB,711.0,40,1.0,1.0,0.1,0.1,0.1
gpt-5.6-sol:none,PC,9.0,120,1.0,1.0,0.11666666666666667,0.11666666666666667,0.11666666666666667
gpt-5.6-sol:none,PC,13.0,80,1.0,1.0,0.675,0.675,0.675
gpt-5.6-sol:none,PC,25.0,33,1.0,1.0,0.9393939393939394,0.9393939393939394,0.9393939393939394
gpt-5.6-sol:none,PC,26.0,47,1.0,1.0,0.7446808510638298,0.7446808510638298,0.7446808510638298
gpt-5.6-sol:none,PC,33.0,80,1.0,1.0,0.5625,0.5625,0.5625
gpt-5.6-sol:none,PC,36.0,80,1.0,1.0,0.5875,0.5875,0.5875
gpt-5.6-sol:none,PC,60.0,2,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PC,64.0,18,1.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778
gpt-5.6-sol:none,PC,66.0,13,1.0,1.0,0.3076923076923077,0.3076923076923077,0.3076923076923077
gpt-5.6-sol:none,PC,67.0,48,1.0,1.0,0.4791666666666667,0.4791666666666667,0.4791666666666667
gpt-5.6-sol:none,PC,68.0,64,1.0,1.0,0.671875,0.671875,0.671875
gpt-5.6-sol:none,PC,69.0,50,1.0,1.0,0.7,0.7,0.7
gpt-5.6-sol:none,PC,70.0,17,1.0,1.0,0.8823529411764706,0.8823529411764706,0.8823529411764706
gpt-5.6-sol:none,PC,71.0,59,1.0,1.0,0.6949152542372882,0.6949152542372882,0.6949152542372882
gpt-5.6-sol:none,PC,72.0,41,1.0,1.0,0.6097560975609756,0.6097560975609756,0.6097560975609756
gpt-5.6-sol:none,PC,73.0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PC,74.0,164,1.0,1.0,0.9512195121951219,0.9512195121951219,0.9512195121951219
gpt-5.6-sol:none,PC,78.0,1,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PC,81.0,120,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664
gpt-5.6-sol:none,PC,134.0,1,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PC,136.0,2,1.0,1.0,0.5,0.5,0.5
gpt-5.6-sol:none,PC,137.0,7,1.0,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714
gpt-5.6-sol:none,PC,138.0,27,1.0,1.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
gpt-5.6-sol:none,PC,139.0,34,1.0,1.0,0.7941176470588235,0.7941176470588235,0.7941176470588235
gpt-5.6-sol:none,PC,140.0,40,1.0,1.0,0.65,0.65,0.65
gpt-5.6-sol:none,PC,141.0,85,1.0,1.0,0.788235294117647,0.788235294117647,0.788235294117647
gpt-5.6-sol:none,PC,142.0,52,1.0,1.0,0.8269230769230769,0.8269230769230769,0.8269230769230769
gpt-5.6-sol:none,PC,143.0,8,1.0,1.0,0.75,0.75,0.75
gpt-5.6-sol:none,PC,144.0,18,1.0,1.0,0.7222222222222222,0.7222222222222222,0.7222222222222222
gpt-5.6-sol:none,PC,145.0,2,1.0,1.0,0.5,0.5,0.5
gpt-5.6-sol:none,PC,146.0,4,1.0,1.0,0.75,0.75,0.75
gpt-5.6-sol:none,PC,148.0,3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-5.6-sol:none,PC,150.0,18,1.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778
gpt-5.6-sol:none,PC,153.0,80,1.0,1.0,0.2,0.2,0.2
gpt-5.6-sol:none,PC,158.0,32,1.0,1.0,0.65625,0.65625,0.65625
gpt-5.6-sol:none,PC,166.0,27,0.9629629629629629,0.9629629629629629,0.4074074074074074,0.4230769230769231,0.4230769230769231
gpt-5.6-sol:none,PC,174.0,80,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PC,324.0,14,1.0,1.0,0.6428571428571429,0.6428571428571429,0.6428571428571429
gpt-5.6-sol:none,PC,325.0,1,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PC,327.0,40,1.0,1.0,0.975,0.975,0.975
gpt-5.6-sol:none,PC,330.0,4,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PC,333.0,5,1.0,1.0,0.4,0.4,0.4
gpt-5.6-sol:none,PC,334.0,43,1.0,1.0,0.4418604651162791,0.4418604651162791,0.4418604651162791
gpt-5.6-sol:none,PC,335.0,3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-5.6-sol:none,PC,336.0,5,1.0,1.0,0.6,0.6,0.6
gpt-5.6-sol:none,PC,337.0,24,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-5.6-sol:none,PC,338.0,47,1.0,1.0,0.6595744680851063,0.6595744680851063,0.6595744680851063
gpt-5.6-sol:none,PC,339.0,29,1.0,1.0,0.8275862068965517,0.8275862068965517,0.8275862068965517
gpt-5.6-sol:none,PC,340.0,2,1.0,1.0,0.5,0.5,0.5
gpt-5.6-sol:none,PC,341.0,26,1.0,1.0,0.6153846153846154,0.6153846153846154,0.6153846153846154
gpt-5.6-sol:none,PC,342.0,70,1.0,1.0,0.3,0.3,0.3
gpt-5.6-sol:none,PC,343.0,15,1.0,1.0,0.4,0.4,0.4
gpt-5.6-sol:none,PC,344.0,41,1.0,1.0,0.8536585365853658,0.8536585365853658,0.8536585365853658
gpt-5.6-sol:none,PC,345.0,10,1.0,1.0,0.8,0.8,0.8
gpt-5.6-sol:none,PC,346.0,12,1.0,1.0,0.75,0.75,0.75
gpt-5.6-sol:none,PC,347.0,3,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
gpt-5.6-sol:none,PC,348.0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PC,354.0,43,1.0,0.9767441860465116,0.5581395348837209,0.5581395348837209,0.5476190476190477
gpt-5.6-sol:none,PC,374.0,80,1.0,1.0,0.975,0.975,0.975
gpt-5.6-sol:none,PC,568.0,10,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PC,576.0,14,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
gpt-5.6-sol:none,PC,584.0,14,1.0,1.0,0.6428571428571429,0.6428571428571429,0.6428571428571429
gpt-5.6-sol:none,PC,592.0,2,1.0,1.0,0.5,0.5,0.5
gpt-5.6-sol:none,PC,624.0,1,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PC,656.0,2,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PC,671.0,27,1.0,1.0,0.48148148148148145,0.48148148148148145,0.48148148148148145
gpt-5.6-sol:none,PC,688.0,25,1.0,1.0,0.92,0.92,0.92
gpt-5.6-sol:none,PC,693.0,8,1.0,1.0,0.75,0.75,0.75
gpt-5.6-sol:none,PC,694.0,8,1.0,1.0,0.625,0.625,0.625
gpt-5.6-sol:none,PC,695.0,4,1.0,1.0,1.0,1.0,1.0
gpt-5.6-sol:none,PC,696.0,49,1.0,1.0,0.4897959183673469,0.4897959183673469,0.4897959183673469
gpt-5.6-sol:none,PC,697.0,30,1.0,1.0,0.5333333333333333,0.5333333333333333,0.5333333333333333
gpt-5.6-sol:none,PC,698.0,55,1.0,1.0,0.6545454545454545,0.6545454545454545,0.6545454545454545
gpt-5.6-sol:none,PC,699.0,21,1.0,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714
gpt-5.6-sol:none,PC,700.0,83,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156
gpt-5.6-sol:none,PC,701.0,23,1.0,1.0,0.6086956521739131,0.6086956521739131,0.6086956521739131
gpt-5.6-sol:none,PC,702.0,4,1.0,1.0,0.75,0.75,0.75
gpt-5.6-sol:none,PC,703.0,6,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
gpt-5.6-sol:none,PC,704.0,35,1.0,1.0,0.8,0.8,0.8
gpt-5.6-sol:none,PC,705.0,46,1.0,1.0,0.9782608695652174,0.9782608695652174,0.9782608695652174
gpt-5.6-sol:none,PC,706.0,7,1.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
