model_eff,depth,arm,k,n,acc,k0_acc,gain,se,compliant,reason_tok
gpt-5.6-sol:none,3,DB,1,40,0.375,0.2,0.175,0.08687966921597319,1.0,0.0
gpt-5.6-sol:none,3,DB,2,40,0.5,0.2,0.3,0.08915558282417287,1.0,0.0
gpt-5.6-sol:none,3,DB,4,40,0.5,0.2,0.3,0.08915558282417287,1.0,0.0
gpt-5.6-sol:none,3,DB,8,40,0.45,0.2,0.25,0.08585915718078574,1.0,0.0
gpt-5.6-sol:none,3,DC,1,40,0.6,0.2,0.4,0.08623164985025762,1.0,0.0
gpt-5.6-sol:none,3,DC,2,40,0.85,0.2,0.65,0.07637626158259733,1.0,0.0
gpt-5.6-sol:none,3,DC,4,40,0.725,0.2,0.525,0.08761439408728482,1.0,0.0
gpt-5.6-sol:none,3,DC,8,40,0.625,0.2,0.425,0.07915823166939519,0.975,0.0
gpt-5.6-sol:none,4,DB,1,40,0.225,0.125,0.1,0.08623164985025762,1.0,0.0
gpt-5.6-sol:none,4,DB,2,40,0.05,0.125,-0.075,0.06590105247982553,1.0,0.0
gpt-5.6-sol:none,4,DB,4,40,0.15,0.125,0.025,0.07584988548577463,1.0,0.0
gpt-5.6-sol:none,4,DB,8,40,0.125,0.125,0.0,0.07161148740394328,1.0,0.0
gpt-5.6-sol:none,4,DC,1,40,0.125,0.125,0.0,0.07161148740394328,1.0,0.0
gpt-5.6-sol:none,4,DC,2,40,0.125,0.125,0.0,0.07161148740394328,1.0,0.0
gpt-5.6-sol:none,4,DC,4,40,0.1,0.125,-0.025,0.06686668711812965,1.0,0.0
gpt-5.6-sol:none,4,DC,8,40,0.075,0.125,-0.05,0.07116250813527136,0.65,0.0
gpt-5.6-sol:none,6,DB,1,40,0.125,0.175,-0.05,0.04999999999999999,1.0,0.0
gpt-5.6-sol:none,6,DB,2,40,0.25,0.175,0.075,0.09049366035310188,1.0,0.0
gpt-5.6-sol:none,6,DB,4,40,0.2,0.175,0.025,0.08387643536927646,1.0,0.0
gpt-5.6-sol:none,6,DB,8,40,0.175,0.175,0.0,0.07161148740394328,1.0,0.0
gpt-5.6-sol:none,6,DC,1,40,0.15,0.175,-0.025,0.06686668711812965,1.0,0.0
gpt-5.6-sol:none,6,DC,2,40,0.175,0.175,0.0,0.08770580193070292,1.0,0.0
gpt-5.6-sol:none,6,DC,4,40,0.15,0.175,-0.025,0.08387643536927646,1.0,0.0
gpt-5.6-sol:none,6,DC,8,40,0.2,0.175,0.025,0.0911992746259952,0.05,0.0
gpt-5.6-sol:none,8,DB,1,40,0.15,0.05,0.1,0.059914468951527806,1.0,0.0
gpt-5.6-sol:none,8,DB,2,40,0.075,0.05,0.025,0.05647213971599238,1.0,0.0
gpt-5.6-sol:none,8,DB,4,40,0.125,0.05,0.075,0.06590105247982553,1.0,0.0
gpt-5.6-sol:none,8,DB,8,40,0.125,0.05,0.075,0.06590105247982553,1.0,0.0
gpt-5.6-sol:none,8,DC,1,40,0.2,0.05,0.15,0.07637626158259732,1.0,0.0
gpt-5.6-sol:none,8,DC,2,40,0.1,0.05,0.05,0.049999999999999996,1.0,0.0
