model_eff,depth,arm,k,gain,se,n
gpt-5.6-sol:low,3,C,1,0.675,0.075,40
gpt-5.6-sol:low,3,C,2,0.7,0.07337993857053426,40
gpt-5.6-sol:low,3,C,4,0.7,0.07337993857053428,40
gpt-5.6-sol:low,3,C,8,0.7,0.07337993857053426,40
gpt-5.6-sol:low,3,B,1,0.7,0.07337993857053428,40
gpt-5.6-sol:low,3,B,2,0.7,0.07337993857053426,40
gpt-5.6-sol:low,3,B,4,0.7,0.07337993857053426,40
gpt-5.6-sol:low,3,B,8,0.7,0.07337993857053428,40
gpt-5.6-sol:low,4,C,1,0.425,0.07915823166939519,40
gpt-5.6-sol:low,4,C,2,0.6,0.08623164985025762,40
gpt-5.6-sol:low,4,C,4,0.825,0.06084343084444759,40
gpt-5.6-sol:low,4,C,8,0.9,0.04803844614152613,40
gpt-5.6-sol:low,4,B,1,0.3,0.08915558282417288,40
gpt-5.6-sol:low,4,B,2,0.4,0.09336995618478525,40
gpt-5.6-sol:low,4,B,4,0.375,0.09259437320225214,40
gpt-5.6-sol:low,4,B,8,0.425,0.0939687618580143,40
gpt-5.6-sol:low,6,C,1,0.475,0.08761439408728482,40
gpt-5.6-sol:low,6,C,2,0.7,0.07337993857053426,40
gpt-5.6-sol:low,6,C,4,0.8,0.06405126152203484,40
gpt-5.6-sol:low,6,C,8,0.775,0.07584988548577465,40
gpt-5.6-sol:low,6,B,1,0.075,0.0831086715213959,40
gpt-5.6-sol:low,6,B,2,-0.05,0.07116250813527136,40
gpt-5.6-sol:low,6,B,4,-0.025,0.06686668711812965,40
gpt-5.6-sol:low,6,B,8,0.0,0.07161148740394328,40
gpt-5.6-sol:low,8,C,1,0.775,0.06686668711812964,40
gpt-5.6-sol:low,8,C,2,0.925,0.042176369614348674,40
gpt-5.6-sol:low,8,C,4,0.875,0.0529574091085202,40
gpt-5.6-sol:low,8,C,8,0.9,0.048038446141526144,40
gpt-5.6-sol:low,8,B,1,0.025,0.06686668711812965,40
gpt-5.6-sol:low,8,B,2,-0.025,0.05647213971599238,40
gpt-5.6-sol:low,8,B,4,0.1,0.06979824404521127,40
gpt-5.6-sol:low,8,B,8,0.175,0.07059726877843334,40
gpt-5.6-sol:low,12,C,1,0.75,0.08585915718078573,40
