model_eff,depth,k,delta,se,n
gpt-5.6-sol:low,4,1,0.125,0.07327066086497203,40
gpt-5.6-sol:low,4,2,0.2,0.0816496580927726,40
gpt-5.6-sol:low,4,4,0.45,0.09439415453435879,40
gpt-5.6-sol:low,4,8,0.475,0.08761439408728482,40
gpt-5.6-sol:low,6,1,0.4,0.09999999999999999,40
gpt-5.6-sol:low,6,2,0.75,0.07803680919760615,40
gpt-5.6-sol:low,6,4,0.825,0.06084343084444759,40
gpt-5.6-sol:low,6,8,0.775,0.06686668711812965,40
gpt-5.6-sol:low,8,1,0.75,0.06933752452815363,40
gpt-5.6-sol:low,8,2,0.95,0.03489912202260564,40
gpt-5.6-sol:low,8,4,0.775,0.07584988548577465,40
gpt-5.6-sol:low,8,8,0.725,0.07149950690165273,40
gpt-5.6-sol:low,12,1,0.825,0.060843430844447585,40
gpt-5.6-sol:low,12,2,0.875,0.05295740910852022,40
gpt-5.6-sol:low,12,4,0.85,0.05717718748968655,40
gpt-5.6-sol:low,12,8,0.8,0.07337993857053428,40
gpt-5.6-sol:none,4,1,0.25,0.08585915718078574,40
gpt-5.6-sol:none,4,2,0.175,0.06084343084444759,40
gpt-5.6-sol:none,4,4,0.05,0.07116250813527136,40
gpt-5.6-sol:none,4,8,-0.025,0.07584988548577465,40
gpt-5.6-sol:none,6,1,0.075,0.075,40
gpt-5.6-sol:none,6,2,0.025,0.06686668711812965,40
gpt-5.6-sol:none,6,4,0.025,0.056472139715992374,40
gpt-5.6-sol:none,6,8,-0.075,0.075,40
gpt-5.6-sol:none,8,1,0.0,0.08770580193070292,40
gpt-5.6-sol:none,8,2,0.025,0.08387643536927646,40
gpt-5.6-sol:none,8,4,0.0,0.07161148740394327,40
gpt-5.6-sol:none,8,8,-0.075,0.075,40
gpt-5.6-sol:none,12,1,-0.05,0.07116250813527136,40
gpt-5.6-sol:none,12,2,-0.025,0.05647213971599238,40
gpt-5.6-sol:none,12,4,0.1,0.04803844614152613,40
gpt-5.6-sol:none,12,8,-0.025,0.06686668711812965,40
gpt-6-astra:low,4,1,0.0,0.0,40
gpt-6-astra:low,4,2,0.0,0.0,40
gpt-6-astra:low,4,4,0.0,0.0,40
gpt-6-astra:low,4,8,0.0,0.0,40
gpt-6-astra:low,6,1,0.0,0.0,40
gpt-6-astra:low,6,2,0.0,0.0,40
gpt-6-astra:low,6,4,0.0,0.0,40
gpt-6-astra:low,6,8,0.0,0.0,40
gpt-6-astra:low,8,1,-0.025,0.04366979828269513,40
gpt-6-astra:low,8,2,-0.05,0.03489912202260564,40
gpt-6-astra:low,8,4,-0.025,0.024999999999999994,40
gpt-6-astra:low,8,8,-0.025,0.024999999999999994,40
gpt-6-astra:low,12,1,0.025,0.0911992746259952,40
gpt-6-astra:low,12,2,-0.15,0.11065075572986267,40
gpt-6-astra:low,12,4,-0.1,0.10000000000000002,40
gpt-6-astra:low,12,8,-0.25,0.08585915718078573,40
