model_eff,depth,arm,k,n,acc,compliant,acc_compliant,incomplete,reason_tok,out_tok,latency
gpt-5.6-sol:low,2,B,0,40,0.95,1.0,0.95,0.0,0.0,8.0,0.9789150953292847
gpt-5.6-sol:low,2,B,1,40,1.0,1.0,1.0,0.0,0.0,8.0,1.0072596073150635
gpt-5.6-sol:low,2,B,2,40,1.0,1.0,1.0,0.0,0.0,8.0,0.9868375062942505
gpt-5.6-sol:low,2,B,4,40,1.0,1.0,1.0,0.0,0.0,8.0,1.0224671363830566
gpt-5.6-sol:low,2,B,8,40,1.0,1.0,1.0,0.0,0.0,8.0,1.0337430238723755
gpt-5.6-sol:low,2,C,1,40,1.0,1.0,1.0,0.0,0.0,109.0,2.2161834239959717
gpt-5.6-sol:low,2,C,2,40,0.975,1.0,0.975,0.0,0.0,210.0,3.0554004907608032
gpt-5.6-sol:low,2,C,4,40,1.0,1.0,1.0,0.0,1.075,413.125,5.0010998249053955
gpt-5.6-sol:low,2,C,8,40,1.0,1.0,1.0,0.0,11.0,827.75,9.126137852668762
gpt-5.6-sol:low,3,B,0,40,0.3,1.0,0.3,0.0,0.0,8.0,0.9954153299331665
gpt-5.6-sol:low,3,B,1,40,1.0,1.0,1.0,0.0,0.0,8.0,1.0145257711410522
gpt-5.6-sol:low,3,B,2,40,1.0,1.0,1.0,0.0,0.0,8.0,1.02022123336792
gpt-5.6-sol:low,3,B,4,40,1.0,1.0,1.0,0.0,0.0,8.0,1.0007120370864868
gpt-5.6-sol:low,3,B,8,40,1.0,1.0,1.0,0.0,0.0,8.0,1.0100281238555908
gpt-5.6-sol:low,3,C,1,40,0.975,1.0,0.975,0.0,0.825,149.875,2.571181297302246
gpt-5.6-sol:low,3,C,2,40,1.0,1.0,1.0,0.0,6.025,296.425,3.9697482585906982
gpt-5.6-sol:low,3,C,4,40,1.0,1.0,1.0,0.0,16.675,589.675,7.110315442085266
gpt-5.6-sol:low,3,C,8,40,1.0,1.0,1.0,0.0,19.7,1156.9,12.302994728088379
gpt-5.6-sol:low,4,B,0,40,0.05,1.0,0.05,0.0,0.0,8.0,0.9313807487487793
gpt-5.6-sol:low,4,B,1,40,0.35,1.0,0.35,0.0,0.0,8.0,1.0099736452102661
gpt-5.6-sol:low,4,B,2,40,0.45,1.0,0.45,0.0,0.0,8.0,1.0245944261550903
gpt-5.6-sol:low,4,B,4,40,0.425,1.0,0.425,0.0,0.0,8.0,1.1077443361282349
gpt-5.6-sol:low,4,B,8,40,0.475,1.0,0.475,0.0,0.0,8.0,0.9949363470077515
gpt-5.6-sol:low,4,C,1,40,0.475,1.0,0.475,0.0,0.8,189.85,2.8662848472595215
gpt-5.6-sol:low,4,C,2,40,0.65,1.0,0.65,0.0,9.0,379.5,4.740320444107056
gpt-5.6-sol:low,4,C,4,40,0.875,1.0,0.875,0.0,22.4,755.55,8.10109293460846
gpt-5.6-sol:low,4,C,8,40,0.95,1.0,0.95,0.0,31.8,1489.4,15.54231083393097
gpt-5.6-sol:low,6,B,0,40,0.125,1.0,0.125,0.0,0.0,8.0,1.0064361095428467
gpt-5.6-sol:low,6,B,1,40,0.2,1.0,0.2,0.0,0.0,8.0,1.021952509880066
gpt-5.6-sol:low,6,B,2,40,0.075,1.0,0.075,0.0,0.0,8.0,0.9593536853790283
gpt-5.6-sol:low,6,B,4,40,0.1,1.0,0.1,0.0,0.0,8.0,1.0084044933319092
gpt-5.6-sol:low,6,B,8,40,0.125,1.0,0.125,0.0,0.0,8.0,0.9800429344177246
gpt-5.6-sol:low,6,C,1,40,0.6,1.0,0.6,0.0,25.7,295.8,3.851040482521057
gpt-5.6-sol:low,6,C,2,40,0.825,1.0,0.825,0.0,37.7,569.4,6.769695281982422
gpt-5.6-sol:low,6,C,4,40,0.925,1.0,0.925,0.0,37.925,1091.575,11.708000421524048
gpt-5.6-sol:low,6,C,8,40,0.9,1.0,0.9,0.0,46.0,2143.85,22.0033620595932
gpt-5.6-sol:low,8,B,0,40,0.075,1.0,0.075,0.0,0.0,8.0,0.9808801412582397
gpt-5.6-sol:low,8,B,1,40,0.1,0.975,0.10256410256410256,0.025,0.95,8.75,0.9774069786071777
gpt-5.6-sol:low,8,B,2,40,0.05,1.0,0.05,0.0,0.0,8.0,0.9940863847732544
gpt-5.6-sol:low,8,B,4,40,0.175,1.0,0.175,0.0,0.0,8.0,0.9953268766403198
