model_eff,task,depth,arm,k0_acc,threshold_tokens,acc_at_max,max_tokens,n_min,compliant
gpt-5.6-sol:none,perm,3,XB,0.1875,81.0,1.0,705,40,1.0
gpt-5.6-sol:none,perm,3,XC,0.1875,81.0,1.0,705,40,1.0
gpt-5.6-sol:none,perm,4,XB,0.1,inf,0.4,696,40,1.0
gpt-5.6-sol:none,perm,4,XC,0.1,inf,0.425,696,40,1.0
gpt-5.6-sol:none,perm,6,XB,0.175,inf,0.1,711,40,1.0
gpt-5.6-sol:none,perm,6,XC,0.175,inf,0.075,711,40,1.0
gpt-5.6-sol:none,lookup,3,XB,0.725,74.0,1.0,700,40,1.0
gpt-5.6-sol:none,lookup,3,XC,0.725,74.0,1.0,700,40,1.0
gpt-5.6-sol:none,lookup,4,XB,0.15,74.0,0.975,700,40,1.0
gpt-5.6-sol:none,lookup,4,XC,0.15,74.0,0.975,700,40,1.0
gpt-5.6-sol:none,modchain,4,XB,0.8,inf,0.85,578,40,1.0
gpt-5.6-sol:none,modchain,4,XC,0.8,inf,0.8,578,40,1.0
gpt-5.6-sol:none,modchain,6,XB,0.375,inf,0.4,698,40,1.0
gpt-5.6-sol:none,modchain,6,XC,0.375,inf,0.375,698,40,1.0
gpt-5.6-sol:none,reach,3,XB,0.675,153.0,0.9,690,40,1.0
gpt-5.6-sol:none,reach,3,XC,0.675,340.0,0.9,690,40,1.0
gpt-5.6-sol:none,reach,4,XB,0.575,inf,0.55,680,40,1.0
gpt-5.6-sol:none,reach,4,XC,0.575,inf,0.55,680,40,0.99
gpt-5.6-sol:none,stack,8,XB,0.75,140.0,0.875,700,40,1.0
gpt-5.6-sol:none,stack,8,XC,0.75,340.0,0.875,700,40,1.0
gpt-5.6-sol:none,stack,12,XB,0.575,inf,0.6,700,40,1.0
gpt-5.6-sol:none,stack,12,XC,0.575,inf,0.5,700,40,1.0
gpt-5.6-sol:none,xor,24,XB,0.875,69.0,0.95,700,40,1.0
gpt-5.6-sol:none,xor,24,XC,0.875,69.0,0.75,700,40,1.0
gpt-5.6-sol:none,xor,32,XB,0.55,700.0,0.95,700,40,1.0
gpt-5.6-sol:none,xor,32,XC,0.55,700.0,0.85,700,40,1.0
gpt-6-astra:low,perm,6,XB,0.575,81.0,1.0,711,40,1.0
gpt-6-astra:low,perm,6,XC,0.575,81.0,1.0,711,40,1.0
gpt-6-astra:low,perm,8,XB,0.075,153.0,1.0,691,40,1.0
gpt-6-astra:low,perm,8,XC,0.075,153.0,1.0,691,40,1.0
gpt-6-astra:low,perm,12,XB,0.1125,inf,0.35,690,40,1.0
gpt-6-astra:low,perm,12,XC,0.1125,inf,0.3,690,40,1.0
gpt-6-astra:low,lookup,4,XB,0.975,74.0,1.0,700,40,1.0
gpt-6-astra:low,lookup,4,XC,0.975,74.0,1.0,700,40,1.0
gpt-6-astra:low,lookup,6,XB,0.75,74.0,1.0,700,40,1.0
gpt-6-astra:low,lookup,6,XC,0.75,74.0,1.0,700,40,1.0
gpt-6-astra:low,lookup,8,XB,0.425,74.0,1.0,700,40,1.0
gpt-6-astra:low,lookup,8,XC,0.425,74.0,1.0,700,40,1.0
gpt-6-astra:low,modchain,8,XB,0.9,33.0,1.0,699,40,1.0
gpt-6-astra:low,modchain,8,XC,0.9,33.0,1.0,699,40,1.0
gpt-6-astra:low,modchain,12,XB,0.575,68.0,1.0,695,40,1.0
gpt-6-astra:low,modchain,12,XC,0.575,68.0,1.0,695,40,1.0
gpt-6-astra:low,reach,4,XB,0.925,71.0,1.0,680,40,1.0
gpt-6-astra:low,reach,4,XC,0.925,71.0,1.0,680,40,1.0
gpt-6-astra:low,reach,6,XB,0.75,82.0,1.0,709,40,1.0
gpt-6-astra:low,reach,6,XC,0.75,82.0,1.0,709,40,1.0
gpt-6-astra:low,reach,8,XB,0.6,94.0,1.0,704,40,1.0
gpt-6-astra:low,reach,8,XC,0.6,94.0,1.0,704,40,1.0
gpt-6-astra:low,stack,24,XB,0.95,69.0,1.0,701,40,1.0
gpt-6-astra:low,stack,24,XC,0.95,36.0,0.975,701,40,1.0
gpt-6-astra:low,stack,32,XB,0.725,700.0,0.9,700,40,1.0
gpt-6-astra:low,stack,32,XC,0.725,700.0,0.9,700,40,1.0
gpt-6-astra:low,xor,48,XB,1.0,700.0,1.0,700,40,1.0
gpt-6-astra:low,xor,48,XC,1.0,inf,0.975,700,40,0.9949999999999999
gpt-6-astra:low,xor,64,XB,0.675,inf,0.8,700,40,1.0
gpt-6-astra:low,xor,64,XC,0.675,inf,0.675,700,40,0.9949999999999999
