task,model_eff,ceiling_90,ceiling_75,norm_area
ca,gpt-5.5:none,0.0,0.0,0.11250000000000003
ca,gpt-5.6-sol:low,0.0,1.0,-0.5499999999999999
ca,gpt-5.6-sol:none,0.0,1.0,0.018750000000000017
ca,gpt-6-astra:low,1.0,1.0,0.3125
lookup,gpt-5.5:none,2.0,2.0,0.33333333333333337
lookup,gpt-5.6-sol:low,2.0,2.0,0.4166666666666667
lookup,gpt-5.6-sol:none,2.0,2.0,0.3923611111111111
lookup,gpt-6-astra:low,4.0,6.0,0.7569444444444444
modchain,gpt-5.5:none,3.0,3.0,0.47500000000000003
modchain,gpt-5.6-sol:low,3.0,3.0,0.46770833333333334
modchain,gpt-5.6-sol:none,3.0,4.0,0.5041666666666667
modchain,gpt-6-astra:low,8.0,8.0,0.7994791666666667
perm,gpt-5.5:none,1.0,1.0,0.21785714285714283
perm,gpt-5.6-sol:low,2.0,2.0,0.22857142857142856
perm,gpt-5.6-sol:none,2.0,2.0,0.2571428571428572
perm,gpt-6-astra:low,4.0,4.0,0.5607142857142857
reach,gpt-5.5:none,1.0,2.0,0.45
reach,gpt-5.6-sol:low,1.0,3.0,0.30625
reach,gpt-5.6-sol:none,2.0,3.0,0.3125
reach,gpt-6-astra:low,3.0,6.0,0.5625
stack,gpt-5.5:none,4.0,4.0,0.56171875
stack,gpt-5.6-sol:low,4.0,8.0,0.5453125
stack,gpt-5.6-sol:none,4.0,8.0,0.61328125
stack,gpt-6-astra:low,24.0,24.0,0.86171875
xor,gpt-5.5:none,16.0,24.0,0.7083333333333334
xor,gpt-5.6-sol:low,24.0,24.0,0.7458333333333336
xor,gpt-5.6-sol:none,24.0,24.0,0.7666666666666666
xor,gpt-6-astra:low,48.0,48.0,0.9208333333333334
