10240 records; compliance 0.968; max reasoning tokens 37
depth                        1     2     3     4     6     8     12    16    24    32    48    64
task     model_eff                                                                               
ca       gpt-5.5:none      0.68  0.42  0.68  0.55  0.57  0.52  0.40  0.62   NaN   NaN   NaN   NaN
         gpt-5.6-sol:low   0.80  0.45  0.30  0.08  0.02  0.08  0.08  0.00   NaN   NaN   NaN   NaN
         gpt-5.6-sol:none  0.75  0.35  0.52  0.45  0.50  0.52  0.52  0.45   NaN   NaN   NaN   NaN
         gpt-6-astra:low   0.92  0.55  0.62  0.48  0.57  0.62  0.72  0.75   NaN   NaN   NaN   NaN
lookup   gpt-5.5:none      1.00  1.00  0.20  0.18  0.25  0.08  0.30  0.20   NaN   NaN   NaN   NaN
         gpt-5.6-sol:low   1.00  1.00  0.72  0.12  0.22  0.20  0.30  0.22   NaN   NaN   NaN   NaN
         gpt-5.6-sol:none  1.00  1.00  0.70  0.05  0.10  0.30  0.20  0.28   NaN   NaN   NaN   NaN
         gpt-6-astra:low   1.00  1.00  1.00  0.95  0.78  0.57  0.52  0.42   NaN   NaN   NaN   NaN
modchain gpt-5.5:none      1.00  1.00  0.95  0.52  0.38  0.25  0.08  0.22   NaN   NaN   NaN   NaN
         gpt-5.6-sol:low   1.00  1.00  0.92  0.70  0.35  0.12  0.15  0.10   NaN   NaN   NaN   NaN
         gpt-5.6-sol:none  1.00  1.00  0.92  0.78  0.35  0.25  0.12  0.18   NaN   NaN   NaN   NaN
         gpt-6-astra:low   1.00  1.00  1.00  1.00  1.00  0.95  0.52  0.15   NaN   NaN   NaN   NaN
perm     gpt-5.5:none      1.00  0.70  0.30  0.12  0.05  0.10  0.15  0.10   NaN   NaN   NaN   NaN
         gpt-5.6-sol:low   1.00  0.92  0.18  0.10  0.18  0.05  0.18  0.00   NaN   NaN   NaN   NaN
         gpt-5.6-sol:none  1.00  0.98  0.20  0.05  0.18  0.10  0.10  0.20   NaN   NaN   NaN   NaN
         gpt-6-astra:low   1.00  1.00  1.00  0.95  0.68  0.05  0.15  0.10   NaN   NaN   NaN   NaN
reach    gpt-5.5:none      1.00  0.88  0.70  0.68  0.55  0.75  0.68  0.57   NaN   NaN   NaN   NaN
         gpt-5.6-sol:low   1.00  0.88  0.80  0.62  0.42  0.52  0.48  0.50   NaN   NaN   NaN   NaN
         gpt-5.6-sol:none  1.00  0.90  0.78  0.60  0.32  0.52  0.65  0.48   NaN   NaN   NaN   NaN
         gpt-6-astra:low   1.00  1.00  1.00  0.88  0.75  0.60  0.52  0.50   NaN   NaN   NaN   NaN
stack    gpt-5.5:none      1.00  1.00  1.00  1.00  0.72  0.65  0.40  0.57  0.38  0.22  0.15  0.22
         gpt-5.6-sol:low   1.00  1.00  1.00  0.98  0.88  0.75  0.57  0.40  0.30  0.22  0.05  0.00
         gpt-5.6-sol:none  1.00  1.00  1.00  0.98  0.80  0.78  0.55  0.45  0.35  0.35  0.28  0.35
         gpt-6-astra:low   1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.95  0.92  0.68  0.57  0.40
xor      gpt-5.5:none      1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.95  0.88  0.45  0.50  0.48
         gpt-5.6-sol:low   1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.90  0.52  0.52  0.52
         gpt-5.6-sol:none  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.92  0.68  0.50  0.50
         gpt-6-astra:low   1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.95  0.95  0.62

Depth ceiling (largest d with acc>=0.9 / >=0.75, monotone) and chance-corrected mean accuracy:
    task        model_eff  ceiling_90  ceiling_75  norm_area
      ca     gpt-5.5:none         0.0         0.0      0.113
      ca  gpt-5.6-sol:low         0.0         1.0     -0.550
      ca gpt-5.6-sol:none         0.0         1.0      0.019
      ca  gpt-6-astra:low         1.0         1.0      0.312
  lookup     gpt-5.5:none         2.0         2.0      0.333
  lookup  gpt-5.6-sol:low         2.0         2.0      0.417
  lookup gpt-5.6-sol:none         2.0         2.0      0.392
  lookup  gpt-6-astra:low         4.0         6.0      0.757
modchain     gpt-5.5:none         3.0         3.0      0.475
modchain  gpt-5.6-sol:low         3.0         3.0      0.468
modchain gpt-5.6-sol:none         3.0         4.0      0.504
modchain  gpt-6-astra:low         8.0         8.0      0.799
    perm     gpt-5.5:none         1.0         1.0      0.218
    perm  gpt-5.6-sol:low         2.0         2.0      0.229
    perm gpt-5.6-sol:none         2.0         2.0      0.257
    perm  gpt-6-astra:low         4.0         4.0      0.561
   reach     gpt-5.5:none         1.0         2.0      0.450
   reach  gpt-5.6-sol:low         1.0         3.0      0.306
   reach gpt-5.6-sol:none         2.0         3.0      0.312
   reach  gpt-6-astra:low         3.0         6.0      0.562
   stack     gpt-5.5:none         4.0         4.0      0.562
   stack  gpt-5.6-sol:low         4.0         8.0      0.545
   stack gpt-5.6-sol:none         4.0         8.0      0.613
   stack  gpt-6-astra:low        24.0        24.0      0.862
     xor     gpt-5.5:none        16.0        24.0      0.708
     xor  gpt-5.6-sol:low        24.0        24.0      0.746
     xor gpt-5.6-sol:none        24.0        24.0      0.767
     xor  gpt-6-astra:low        48.0        48.0      0.921
figs -> /workspace/neuralese-filler/results/suite/figs
