task,model_eff,depth,n,acc,chance,compliant,reason_tok,incomplete
ca,gpt-5.5:none,1,40,0.675,0.5,1.0,0.0,0.0
ca,gpt-5.5:none,2,40,0.425,0.5,1.0,0.0,0.0
ca,gpt-5.5:none,3,40,0.675,0.5,1.0,0.0,0.0
ca,gpt-5.5:none,4,40,0.55,0.5,1.0,0.0,0.0
ca,gpt-5.5:none,6,40,0.575,0.5,1.0,0.0,0.0
ca,gpt-5.5:none,8,40,0.525,0.5,1.0,0.0,0.0
ca,gpt-5.5:none,12,40,0.4,0.5,1.0,0.0,0.0
ca,gpt-5.5:none,16,40,0.625,0.5,1.0,0.0,0.0
ca,gpt-5.6-sol:low,1,40,0.8,0.5,1.0,0.0,0.0
ca,gpt-5.6-sol:low,2,40,0.45,0.5,0.85,5.55,0.15
ca,gpt-5.6-sol:low,3,40,0.3,0.5,0.55,16.65,0.45
ca,gpt-5.6-sol:low,4,40,0.075,0.5,0.175,30.525,0.825
ca,gpt-5.6-sol:low,6,40,0.025,0.5,0.025,36.075,0.975
ca,gpt-5.6-sol:low,8,40,0.075,0.5,0.075,34.225,0.925
ca,gpt-5.6-sol:low,12,40,0.075,0.5,0.1,33.3,0.9
ca,gpt-5.6-sol:low,16,40,0.0,0.5,0.025,36.075,0.975
ca,gpt-5.6-sol:none,1,40,0.75,0.5,1.0,0.0,0.0
ca,gpt-5.6-sol:none,2,40,0.35,0.5,1.0,0.0,0.0
ca,gpt-5.6-sol:none,3,40,0.525,0.5,1.0,0.0,0.0
ca,gpt-5.6-sol:none,4,40,0.45,0.5,1.0,0.0,0.0
ca,gpt-5.6-sol:none,6,40,0.5,0.5,1.0,0.0,0.0
ca,gpt-5.6-sol:none,8,40,0.525,0.5,1.0,0.0,0.0
ca,gpt-5.6-sol:none,12,40,0.525,0.5,1.0,0.0,0.0
ca,gpt-5.6-sol:none,16,40,0.45,0.5,1.0,0.0,0.0
ca,gpt-6-astra:low,1,40,0.925,0.5,1.0,0.0,0.0
ca,gpt-6-astra:low,2,40,0.55,0.5,1.0,0.0,0.0
ca,gpt-6-astra:low,3,40,0.625,0.5,1.0,0.0,0.0
ca,gpt-6-astra:low,4,40,0.475,0.5,1.0,0.0,0.0
ca,gpt-6-astra:low,6,40,0.575,0.5,1.0,0.0,0.0
ca,gpt-6-astra:low,8,40,0.625,0.5,1.0,0.0,0.0
ca,gpt-6-astra:low,12,40,0.725,0.5,1.0,0.0,0.0
ca,gpt-6-astra:low,16,40,0.75,0.5,0.975,0.925,0.025
lookup,gpt-5.5:none,1,40,1.0,0.1,1.0,0.0,0.0
lookup,gpt-5.5:none,2,40,1.0,0.1,1.0,0.0,0.0
lookup,gpt-5.5:none,3,40,0.2,0.1,1.0,0.0,0.0
lookup,gpt-5.5:none,4,40,0.175,0.1,1.0,0.0,0.0
lookup,gpt-5.5:none,6,40,0.25,0.1,1.0,0.0,0.0
lookup,gpt-5.5:none,8,40,0.075,0.1,1.0,0.0,0.0
lookup,gpt-5.5:none,12,40,0.3,0.1,1.0,0.0,0.0
lookup,gpt-5.5:none,16,40,0.2,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:low,1,40,1.0,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:low,2,40,1.0,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:low,3,40,0.725,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:low,4,40,0.125,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:low,6,40,0.225,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:low,8,40,0.2,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:low,12,40,0.3,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:low,16,40,0.225,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:none,1,40,1.0,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:none,2,40,1.0,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:none,3,40,0.7,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:none,4,40,0.05,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:none,6,40,0.1,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:none,8,40,0.3,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:none,12,40,0.2,0.1,1.0,0.0,0.0
lookup,gpt-5.6-sol:none,16,40,0.275,0.1,1.0,0.0,0.0
lookup,gpt-6-astra:low,1,40,1.0,0.1,1.0,0.0,0.0
lookup,gpt-6-astra:low,2,40,1.0,0.1,1.0,0.0,0.0
lookup,gpt-6-astra:low,3,40,1.0,0.1,1.0,0.0,0.0
lookup,gpt-6-astra:low,4,40,0.95,0.1,1.0,0.0,0.0
lookup,gpt-6-astra:low,6,40,0.775,0.1,1.0,0.0,0.0
lookup,gpt-6-astra:low,8,40,0.575,0.1,1.0,0.0,0.0
lookup,gpt-6-astra:low,12,40,0.525,0.1,1.0,0.0,0.0
lookup,gpt-6-astra:low,16,40,0.425,0.1,1.0,0.0,0.0
modchain,gpt-5.5:none,1,40,1.0,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.5:none,2,40,1.0,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.5:none,3,40,0.95,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.5:none,4,40,0.525,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.5:none,6,40,0.375,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.5:none,8,40,0.25,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.5:none,12,40,0.075,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.5:none,16,40,0.225,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:low,1,40,1.0,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:low,2,40,1.0,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:low,3,40,0.925,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:low,4,40,0.7,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:low,6,40,0.35,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:low,8,40,0.125,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:low,12,40,0.15,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:low,16,40,0.1,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:none,1,40,1.0,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:none,2,40,1.0,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:none,3,40,0.925,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:none,4,40,0.775,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:none,6,40,0.35,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:none,8,40,0.25,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:none,12,40,0.125,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-5.6-sol:none,16,40,0.175,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-6-astra:low,1,40,1.0,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-6-astra:low,2,40,1.0,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-6-astra:low,3,40,1.0,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-6-astra:low,4,40,1.0,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-6-astra:low,6,40,1.0,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-6-astra:low,8,40,0.95,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-6-astra:low,12,40,0.525,0.14285714285714285,1.0,0.0,0.0
modchain,gpt-6-astra:low,16,40,0.15,0.14285714285714285,1.0,0.0,0.0
perm,gpt-5.5:none,1,40,1.0,0.125,1.0,0.0,0.0
perm,gpt-5.5:none,2,40,0.7,0.125,1.0,0.0,0.0
perm,gpt-5.5:none,3,40,0.3,0.125,1.0,0.0,0.0
perm,gpt-5.5:none,4,40,0.125,0.125,1.0,0.0,0.0
perm,gpt-5.5:none,6,40,0.05,0.125,1.0,0.0,0.0
perm,gpt-5.5:none,8,40,0.1,0.125,1.0,0.0,0.0
perm,gpt-5.5:none,12,40,0.15,0.125,1.0,0.0,0.0
perm,gpt-5.5:none,16,40,0.1,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:low,1,40,1.0,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:low,2,40,0.925,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:low,3,40,0.175,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:low,4,40,0.1,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:low,6,40,0.175,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:low,8,40,0.05,0.125,0.975,0.925,0.025
perm,gpt-5.6-sol:low,12,40,0.175,0.125,0.8,7.4,0.2
perm,gpt-5.6-sol:low,16,40,0.0,0.125,0.65,12.95,0.35
perm,gpt-5.6-sol:none,1,40,1.0,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:none,2,40,0.975,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:none,3,40,0.2,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:none,4,40,0.05,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:none,6,40,0.175,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:none,8,40,0.1,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:none,12,40,0.1,0.125,1.0,0.0,0.0
perm,gpt-5.6-sol:none,16,40,0.2,0.125,1.0,0.0,0.0
perm,gpt-6-astra:low,1,40,1.0,0.125,1.0,0.0,0.0
perm,gpt-6-astra:low,2,40,1.0,0.125,1.0,0.0,0.0
perm,gpt-6-astra:low,3,40,1.0,0.125,1.0,0.0,0.0
perm,gpt-6-astra:low,4,40,0.95,0.125,1.0,0.0,0.0
perm,gpt-6-astra:low,6,40,0.675,0.125,1.0,0.0,0.0
perm,gpt-6-astra:low,8,40,0.05,0.125,1.0,0.0,0.0
perm,gpt-6-astra:low,12,40,0.15,0.125,1.0,0.0,0.0
perm,gpt-6-astra:low,16,40,0.1,0.125,1.0,0.0,0.0
reach,gpt-5.5:none,1,40,1.0,0.5,1.0,0.0,0.0
reach,gpt-5.5:none,2,40,0.875,0.5,1.0,0.0,0.0
reach,gpt-5.5:none,3,40,0.7,0.5,1.0,0.0,0.0
reach,gpt-5.5:none,4,40,0.675,0.5,1.0,0.0,0.0
reach,gpt-5.5:none,6,40,0.55,0.5,1.0,0.0,0.0
reach,gpt-5.5:none,8,40,0.75,0.5,1.0,0.0,0.0
reach,gpt-5.5:none,12,40,0.675,0.5,1.0,0.0,0.0
reach,gpt-5.5:none,16,40,0.575,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,1,40,1.0,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,2,40,0.875,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,3,40,0.8,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,4,40,0.625,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,6,40,0.425,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,8,40,0.525,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,12,40,0.475,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,16,40,0.5,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:none,1,40,1.0,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:none,2,40,0.9,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:none,3,40,0.775,0.5,1.0,0.0,0.0
