model_eff,depth,arm,k,gain,se,n
gpt-5.6-sol:low,4,C,1,0.425,0.0939687618580143,40
gpt-5.6-sol:low,4,C,2,0.2,0.09607689228305229,40
gpt-5.6-sol:low,4,C,4,0.05,0.07116250813527136,40
gpt-5.6-sol:low,4,C,8,-0.025,0.07584988548577465,40
gpt-5.6-sol:low,4,B,1,0.15,0.09163752450517143,40
gpt-5.6-sol:low,4,B,2,0.275,0.1011947855147913,40
gpt-5.6-sol:low,4,B,4,0.325,0.09731985329907689,40
gpt-5.6-sol:low,4,B,8,0.3,0.09607689228305229,40
gpt-5.6-sol:low,6,C,1,-0.1,0.0784464540552736,40
gpt-5.6-sol:low,6,C,2,-0.15,0.05717718748968655,40
gpt-5.6-sol:low,6,C,4,-0.15,0.0674631903431942,40
gpt-5.6-sol:low,6,C,8,-0.15,0.05717718748968656,40
gpt-5.6-sol:low,6,B,1,0.025,0.07584988548577465,40
gpt-5.6-sol:low,6,B,2,0.025,0.09119927462599518,40
gpt-5.6-sol:low,6,B,4,-0.1,0.0784464540552736,40
gpt-5.6-sol:low,6,B,8,-0.05,0.08733959656539025,40
gpt-5.6-sol:low,8,C,1,0.075,0.04217636961434867,40
gpt-5.6-sol:low,8,C,2,0.0,0.0,40
gpt-5.6-sol:low,8,C,4,0.025,0.024999999999999994,40
gpt-5.6-sol:low,8,C,8,0.0,0.0,40
gpt-5.6-sol:low,8,B,1,0.15,0.05717718748968655,40
gpt-5.6-sol:low,8,B,2,0.175,0.060843430844447585,40
gpt-5.6-sol:low,8,B,4,0.175,0.06084343084444759,40
gpt-5.6-sol:low,8,B,8,0.15,0.05717718748968656,40
gpt-5.6-sol:low,12,C,1,-0.125,0.05295740910852021,40
gpt-5.6-sol:low,12,C,2,-0.125,0.05295740910852021,40
gpt-5.6-sol:low,12,C,4,-0.125,0.0529574091085202,40
gpt-5.6-sol:low,12,C,8,-0.125,0.05295740910852021,40
gpt-5.6-sol:low,12,B,1,-0.05,0.07116250813527136,40
gpt-5.6-sol:low,12,B,2,-0.075,0.06590105247982553,40
gpt-5.6-sol:low,12,B,4,-0.025,0.07584988548577465,40
gpt-5.6-sol:low,12,B,8,-0.05,0.07116250813527136,40
