model_eff,depth,k,delta,se,n
gpt-5.6-sol:low,4,1,0.275,0.07149950690165273,40
gpt-5.6-sol:low,4,2,-0.075,0.10369766211542633,40
gpt-5.6-sol:low,4,4,-0.275,0.10119478551479127,40
gpt-5.6-sol:low,4,8,-0.325,0.09731985329907689,40
gpt-5.6-sol:low,6,1,-0.125,0.08155146243716922,40
gpt-5.6-sol:low,6,2,-0.175,0.07059726877843334,40
gpt-5.6-sol:low,6,4,-0.05,0.049999999999999996,40
gpt-5.6-sol:low,6,8,-0.1,0.05991446895152782,40
gpt-5.6-sol:low,8,1,-0.075,0.075,40
gpt-5.6-sol:low,8,2,-0.175,0.06084343084444759,40
gpt-5.6-sol:low,8,4,-0.15,0.05717718748968656,40
gpt-5.6-sol:low,8,8,-0.15,0.05717718748968656,40
gpt-5.6-sol:low,12,1,-0.075,0.04217636961434867,40
gpt-5.6-sol:low,12,2,-0.05,0.03489912202260564,40
gpt-5.6-sol:low,12,4,-0.1,0.048038446141526144,40
gpt-5.6-sol:low,12,8,-0.075,0.04217636961434866,40
