model_eff,depth,arm,k,n,acc,compliant,acc_compliant,incomplete,reason_tok,out_tok,latency
gpt-5.6-sol:low,4,B,0,40,0.15,1.0,0.15,0.0,0.0,8.0,0.9324502944946289
gpt-5.6-sol:low,4,B,1,40,0.3,1.0,0.3,0.0,0.0,8.0,1.044040322303772
gpt-5.6-sol:low,4,B,2,40,0.425,1.0,0.425,0.0,0.0,8.0,1.088164210319519
gpt-5.6-sol:low,4,B,4,40,0.475,1.0,0.475,0.0,0.0,8.0,1.0708975791931152
gpt-5.6-sol:low,4,B,8,40,0.45,1.0,0.45,0.0,0.0,8.0,1.052742600440979
gpt-5.6-sol:low,4,C,1,40,0.575,0.975,0.5897435897435898,0.025,1.1,189.1,2.9023176431655884
gpt-5.6-sol:low,4,C,2,40,0.35,0.6,0.5833333333333334,0.4,14.05,371.6,4.934418678283691
gpt-5.6-sol:low,4,C,4,40,0.2,0.35,0.5714285714285714,0.65,24.5,734.6,8.364371061325073
gpt-5.6-sol:low,4,C,8,40,0.125,0.225,0.5555555555555556,0.775,30.0,1459.1,14.839807629585266
gpt-5.6-sol:low,6,B,0,40,0.175,1.0,0.175,0.0,0.0,8.0,1.0174248218536377
gpt-5.6-sol:low,6,B,1,40,0.2,1.0,0.2,0.0,0.0,8.0,1.0165404081344604
gpt-5.6-sol:low,6,B,2,40,0.2,1.0,0.2,0.0,0.0,8.0,1.013258457183838
gpt-5.6-sol:low,6,B,4,40,0.075,1.0,0.075,0.0,0.0,8.0,1.0802175998687744
gpt-5.6-sol:low,6,B,8,40,0.125,1.0,0.125,0.0,0.0,8.0,1.1160236597061157
gpt-5.6-sol:low,6,C,1,40,0.075,0.45,0.16666666666666666,0.55,25.4,271.2,3.7618449926376343
gpt-5.6-sol:low,6,C,2,40,0.025,0.15,0.16666666666666666,0.85,38.925,533.4,6.867553949356079
gpt-5.6-sol:low,6,C,4,40,0.025,0.15,0.16666666666666666,0.85,41.35,1055.4,11.28896963596344
gpt-5.6-sol:low,6,C,8,40,0.025,0.1,0.25,0.9,44.2,2099.6,21.834616661071777
gpt-5.6-sol:low,8,B,0,40,0.0,1.0,0.0,0.0,0.0,8.0,1.0962320566177368
gpt-5.6-sol:low,8,B,1,40,0.15,0.975,0.15384615384615385,0.025,0.4,8.2,1.0635899305343628
gpt-5.6-sol:low,8,B,2,40,0.175,1.0,0.175,0.0,0.0,8.0,1.1069951057434082
gpt-5.6-sol:low,8,B,4,40,0.175,1.0,0.175,0.0,0.0,8.0,1.0465524196624756
gpt-5.6-sol:low,8,B,8,40,0.15,1.0,0.15,0.0,0.0,8.0,1.1235357522964478
gpt-5.6-sol:low,8,C,1,40,0.075,0.275,0.2727272727272727,0.725,39.5,351.9,4.688056826591492
gpt-5.6-sol:low,8,C,2,40,0.0,0.075,0.0,0.925,51.85,693.7,8.193573713302612
gpt-5.6-sol:low,8,C,4,40,0.025,0.075,0.3333333333333333,0.925,54.125,1375.7,14.500037431716919
gpt-5.6-sol:low,8,C,8,40,0.0,0.0,,1.0,58.025,2740.0,24.874182105064392
gpt-5.6-sol:low,12,B,0,40,0.125,0.9,0.1388888888888889,0.1,1.6,8.8,1.0898154973983765
gpt-5.6-sol:low,12,B,1,40,0.075,0.8,0.09375,0.2,3.2,9.6,1.069416880607605
gpt-5.6-sol:low,12,B,2,40,0.05,0.975,0.05128205128205128,0.025,0.4,8.2,1.2067039012908936
gpt-5.6-sol:low,12,B,4,40,0.1,0.975,0.10256410256410256,0.025,0.4,8.2,1.150619626045227
gpt-5.6-sol:low,12,B,8,40,0.075,1.0,0.075,0.0,0.0,8.0,1.044040560722351
gpt-5.6-sol:low,12,C,1,40,0.0,0.05,0.0,0.95,64.85,512.8,6.638781666755676
gpt-5.6-sol:low,12,C,2,40,0.0,0.0,,1.0,75.625,1014.0,11.597055435180664
gpt-5.6-sol:low,12,C,4,40,0.0,0.125,0.0,0.875,69.675,2015.5,21.344942331314087
gpt-5.6-sol:low,12,C,8,40,0.0,0.025,0.0,0.975,81.45,4019.9,38.4597384929657
